experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1a,14,100154,1,1,1,18,M,NA,variable,heterogeneous,3,absent,NaN,0,horizontal,none,0,0.717579412460327,red,1,NaN,786.654331158049,854.650531362416,NaN,NaN,786.654331158049,854.650531362416,1027.20666366803,484.232422566416,586.139005173917,461.117046071168,0,0,0,0,0,0,4,5,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1a,14,100154,1,2,2,18,M,NA,variable,heterogeneous,5,present,1.63750696182251,1,horizontal,horizontal,1,1.02328588485718,green,4,2,561.936991243214,508.616172865948,1046.31108570371,534.001143498857,938.882953928832,813.860994826083,1046.31108570371,534.001143498857,813.345668841951,345.349468637584,561.936991243214,508.616172865948,639.523300282292,798.172220171528,0,0,6,3,0,4,3,NaN,horizontal,horizontal,horizontal,horizontal,horizontal,none
1a,14,100154,1,3,3,18,M,NA,variable,heterogeneous,3,absent,1.42352294921875,1,horizontal,horizontal,1,1.04680176734924,red,1,NaN,716.980120613425,841.107236777826,NaN,NaN,716.980120613425,841.107236777826,1050.31493177915,551.343706178981,632.704947607421,407.549057043193,0,0,0,0,0,0,4,0,5,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1a,14,100154,1,4,4,18,M,NA,variable,heterogeneous,4,present,NaN,0,vertical,none,0,0.999770002365112,red,4,3,546.39691668109,573.345241866748,826.654758133252,346.39691668109,773.345241866748,853.60308331891,1053.60308331891,626.654758133252,826.654758133252,346.39691668109,546.39691668109,573.345241866748,0,0,0,0,6,5,5,4,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1a,14,100154,1,5,5,18,M,NA,variable,heterogeneous,5,absent,1.91072106361389,1,horizontal,horizontal,1,0.905706472396851,green,2,NaN,963.910840470068,795.341332995339,NaN,NaN,664.870587620533,816.252264519889,963.910840470068,795.341332995339,1036.43188291453,504.475318678942,782.212099195248,345.621167183745,552.574589799621,538.309916622085,0,0,6,4,0,0,3,NaN,vertical,horizontal,horizontal,horizontal,horizontal,none
1a,14,100154,1,6,6,18,M,NA,variable,heterogeneous,4,absent,1.23299884796143,1,horizontal,horizontal,1,0.999770002365112,green,3,NaN,661.117046071168,386.139005173917,NaN,NaN,938.882953928832,813.860994826083,1013.86099482608,461.117046071168,661.117046071168,386.139005173917,586.139005173917,738.882953928832,0,0,0,0,0,3,4,0,NaN,NaN,vertical,vertical,horizontal,vertical,none,none
1a,14,100154,1,7,7,18,M,NA,variable,heterogeneous,4,present,1.88787794113159,1,vertical,vertical,1,0.893948531150818,green,3,1,738.309916622085,352.574589799621,861.690083377915,847.425410200379,861.690083377915,847.425410200379,1047.42541020038,538.309916622085,738.309916622085,352.574589799621,552.574589799621,661.690083377915,0,0,0,0,6,3,4,5,NaN,NaN,horizontal,horizontal,vertical,horizontal,none,none
1a,14,100154,1,8,8,18,M,NA,variable,heterogeneous,3,absent,1.09121179580688,1,vertical,vertical,1,1.09383353233337,red,2,NaN,1054.96116226488,604.450363641507,NaN,NaN,668.665290897936,818.577661679039,1054.96116226488,604.450363641507,676.373546837184,376.971974679454,0,0,0,0,0,0,5,4,6,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1a,14,100154,1,9,9,18,M,NA,variable,heterogeneous,5,present,1.82644510269165,1,vertical,vertical,1,0.85867470741272,green,1,5,835.489140744817,852.518357529101,570.807518193712,711.784642431215,835.489140744817,852.518357529101,1051.12597701811,644.280285305067,919.715248510402,374.848363820974,622.862115532956,416.568350913644,570.807518193712,711.784642431215,0,0,4,0,6,0,3,NaN,vertical,vertical,vertical,vertical,horizontal,none
1a,14,100154,1,10,10,18,M,NA,variable,heterogeneous,5,present,NaN,0,horizontal,none,0,0.846916766166687,red,1,3,923.626453162816,823.028025320546,831.076682568313,346.900731331463,923.626453162816,823.028025320546,1050.31493177915,551.343706178981,831.076682568313,346.900731331463,568.891514305654,492.232343256122,626.090418184063,786.495193912888,0,0,4,5,0,3,3,NaN,horizontal,vertical,horizontal,horizontal,vertical,none
