experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1b,14,100199,1,1,1,20,F,NA,constant,heterogeneous,5,present,0.825358867645264,1,vertical,vertical,1,0.670587262240323,green,2,1,1047.42541020038,661.690083377915,817.787900804752,854.378832816255,817.787900804752,854.378832816255,1047.42541020038,661.690083377915,935.129412379467,383.747735480111,636.089159529932,404.658667004661,563.568117085469,695.524681321058,0,0,6,4,5,3,5,NaN,horizontal,vertical,horizontal,vertical,horizontal,none
1b,14,100199,1,2,2,20,F,NA,constant,heterogeneous,4,absent,1.13594484329224,1,horizontal,horizontal,1,0.694116349653764,green,1,NaN,915.767577433584,827.206663668034,NaN,NaN,915.767577433584,827.206663668034,1027.20666366803,484.232422566416,684.232422566416,372.793336331966,572.793336331966,715.767577433584,0,0,0,0,4,3,3,5,NaN,NaN,horizontal,vertical,horizontal,vertical,none,none
1b,14,100199,1,3,3,20,F,NA,constant,heterogeneous,6,present,1.38736319541931,1,horizontal,horizontal,1,0.623529087413441,green,5,6,596.34794493794,446.537169096228,565.271262369628,699.636437764765,768.923317431687,853.099268668537,1003.65205506206,753.462830903772,1034.72873763037,500.363562235235,831.076682568313,346.900731331463,596.34794493794,446.537169096228,565.271262369628,699.636437764765,3,3,0,6,4,0,vertical,horizontal,vertical,vertical,horizontal,vertical
1b,14,100199,1,4,4,20,F,NA,constant,heterogeneous,6,absent,0.975157976150513,1,vertical,vertical,1,0.788232699307528,green,3,NaN,1051.86052685176,560.109211414741,NaN,NaN,708.616172865948,838.063008756786,960.476699717708,798.172220171528,1051.86052685176,560.109211414741,891.383827134052,361.936991243214,639.523300282292,401.827779828472,548.13947314824,639.890788585259,3,6,4,5,0,6,horizontal,vertical,vertical,horizontal,vertical,vertical
1b,14,100199,1,5,5,20,F,NA,constant,heterogeneous,4,absent,1.14255690574646,0,vertical,horizontal,1,0.988229942321777,green,4,NaN,567.045908301137,703.717843984329,NaN,NaN,903.717843984329,832.954091698863,1032.95409169886,496.282156015671,696.282156015671,367.045908301137,567.045908301137,703.717843984329,0,0,0,0,6,3,6,4,NaN,NaN,vertical,vertical,vertical,vertical,none,none
1b,14,100199,1,6,6,20,F,NA,constant,heterogeneous,5,absent,1.21882915496826,1,vertical,vertical,1,0.658822718533603,green,1,NaN,751.343706178981,850.314931779154,NaN,NaN,751.343706178981,850.314931779154,1023.02802532055,723.626453162816,986.495193912888,426.090418184063,692.232343256122,368.891514305654,546.900731331463,631.076682568313,0,0,4,3,6,5,5,NaN,vertical,horizontal,vertical,horizontal,vertical,none
1b,14,100199,1,7,7,20,F,NA,constant,heterogeneous,5,present,1.42917203903198,1,horizontal,horizontal,1,0.694116349653764,green,2,4,1003.65205506206,753.462830903772,725.445215295702,356.142287229426,716.980120613425,841.107236777826,1003.65205506206,753.462830903772,1008.88377129369,453.738008730483,725.445215295702,356.142287229426,545.03883773512,595.549636358493,0,0,6,4,0,0,3,NaN,horizontal,horizontal,horizontal,horizontal,vertical,none
1b,14,100199,1,8,8,20,F,NA,constant,heterogeneous,3,present,1.00668287277222,1,horizontal,horizontal,1,0.635293631120162,green,3,2,712.784863451954,360.378381699593,1051.12597701811,644.280285305067,636.089159529932,795.341332995339,1051.12597701811,644.280285305067,712.784863451954,360.378381699593,0,0,0,0,0,0,6,6,4,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1b,14,100199,1,9,9,20,F,NA,constant,heterogeneous,5,absent,1.81505084037781,1,horizontal,horizontal,1,0.611764543706721,green,2,NaN,992.450942956807,767.295052392579,NaN,NaN,700.363562235235,834.728737630372,992.450942956807,767.295052392579,1018.57766167904,468.665290897936,742.637481142314,351.535633479765,545.970351986605,577.775285599347,0,0,0,4,0,5,3,NaN,horizontal,horizontal,horizontal,horizontal,horizontal,none
1b,14,100199,1,10,10,20,F,NA,constant,heterogeneous,3,present,1.27780795097351,1,vertical,vertical,1,0.905878136374734,green,3,2,616.568350913644,422.862115532956,1045.12173246427,529.712474266665,738.309916622085,847.425410200379,1045.12173246427,529.712474266665,616.568350913644,422.862115532956,0,0,0,0,0,0,5,3,4,NaN,NaN,NaN,vertical,vertical,vertical,none,none,none
1b,14,100199,1,11,11,20,F,NA,constant,heterogeneous,3,present,1.62795400619507,1,horizontal,horizontal,1,1.02352357344194,green,3,2,676.373546837184,376.971974679454,1054.96116226488,604.450363641507,668.665290897936,818.577661679039,1054.96116226488,604.450363641507,676.373546837184,376.971974679454,0,0,0,0,0,0,5,6,4,NaN,NaN,NaN,vertical,vertical,horizontal,none,none,none
