experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1d,19,100244,1,1,1,18,F,NA,constant,homogeneous,6,absent,1.8709888458252,1,horizontal,horizontal,1,0.941172160925688,green,2,NaN,935.129412379467,816.252264519889,NaN,NaN,680.284751489598,825.151636179026,935.129412379467,816.252264519889,1054.84466088987,591.100628340862,919.715248510402,374.848363820974,664.870587620533,383.747735480111,545.155339110131,608.899371659138,0,4,0,0,0,0,vertical,horizontal,vertical,vertical,vertical,horizontal
1d,19,100244,1,2,2,18,F,NA,constant,homogeneous,3,absent,0.725642204284668,1,horizontal,horizontal,1,0.847055702739292,green,1,NaN,1016.25226451989,735.129412379467,NaN,NaN,1016.25226451989,735.129412379467,808.899371659138,345.155339110131,574.848363820974,719.715248510402,NaN,NaN,NaN,NaN,NaN,NaN,4,0,0,NaN,NaN,NaN,horizontal,horizontal,vertical,none,none,none
1d,19,100244,1,3,3,18,F,NA,constant,homogeneous,4,absent,0.661565065383911,1,horizontal,horizontal,1,1.04705317638538,green,1,NaN,953.462830903772,803.65205506206,NaN,NaN,953.462830903772,803.65205506206,1003.65205506206,446.537169096228,646.537169096228,396.34794493794,596.34794493794,753.462830903772,NaN,NaN,NaN,NaN,4,0,0,0,NaN,NaN,horizontal,vertical,horizontal,horizontal,none,none
1d,19,100244,1,4,4,18,F,NA,constant,homogeneous,3,absent,0.686444997787476,1,vertical,vertical,1,0.776468359099494,green,3,NaN,746.982518841471,350.57236181288,NaN,NaN,610.498069503264,770.628304621509,1042.51941165526,678.799333565612,746.982518841471,350.57236181288,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1d,19,100244,1,5,5,18,F,NA,constant,homogeneous,6,present,1.33315205574036,1,vertical,vertical,1,1.05881773365868,green,5,3,636.089159529932,404.658667004661,1051.12597701811,555.719714694933,712.784863451954,839.621618300407,963.910840470068,795.341332995339,1051.12597701811,555.719714694933,887.215136548046,360.378381699593,636.089159529932,404.658667004661,548.874022981887,644.280285305067,0,0,0,0,4,0,vertical,vertical,horizontal,vertical,vertical,horizontal
1d,19,100244,1,6,6,18,F,NA,constant,homogeneous,6,present,1.19297504425049,1,horizontal,horizontal,1,0.847055702739292,green,6,1,545.349468637584,613.345668841951,684.232422566416,827.206663668034,684.232422566416,827.206663668034,938.882953928832,813.860994826083,1054.65053136242,586.654331158049,915.767577433584,372.793336331966,661.117046071168,386.139005173917,545.349468637584,613.345668841951,0,0,0,0,0,4,horizontal,vertical,horizontal,vertical,horizontal,horizontal
1d,19,100244,1,7,7,18,F,NA,constant,homogeneous,3,present,0.776741981506348,1,horizontal,horizontal,1,0.976465832745587,green,1,2,1006.29933356561,749.885239334581,826.654758133252,346.39691668109,1006.29933356561,749.885239334581,826.654758133252,346.39691668109,567.045908301137,703.717843984329,NaN,NaN,NaN,NaN,NaN,NaN,4,0,0,NaN,NaN,NaN,horizontal,vertical,horizontal,none,none,none
1d,19,100244,1,8,8,18,F,NA,constant,homogeneous,6,absent,0.559101104736328,1,vertical,vertical,1,0.917643046379089,green,1,NaN,831.076682568313,853.099268668537,NaN,NaN,831.076682568313,853.099268668537,1034.72873763037,699.636437764765,1003.65205506206,446.537169096228,768.923317431687,346.900731331463,565.271262369628,500.363562235235,596.34794493794,753.462830903772,4,0,0,0,0,0,vertical,vertical,horizontal,horizontal,vertical,vertical
1d,19,100244,1,9,9,18,F,NA,constant,homogeneous,4,present,1.13103199005127,0,horizontal,vertical,1,0.847055702739292,green,3,2,874.554784704298,356.142287229426,1043.85771277057,674.554784704298,725.445215295702,843.857712770574,1043.85771277057,674.554784704298,874.554784704298,356.142287229426,556.142287229426,525.445215295702,NaN,NaN,NaN,NaN,0,0,4,0,NaN,NaN,vertical,horizontal,horizontal,horizontal,none,none
1d,19,100244,1,10,10,18,F,NA,constant,homogeneous,5,absent,0.962697982788086,1,vertical,vertical,1,0.835291145465992,green,1,NaN,755.719714694933,851.125977018113,NaN,NaN,755.719714694933,851.125977018113,1025.15163617903,719.715248510402,983.431649086356,422.862115532956,688.215357568785,370.807518193712,547.481642470899,635.489140744817,NaN,NaN,4,0,0,0,0,NaN,vertical,vertical,vertical,vertical,horizontal,none
1d,19,100244,1,11,11,18,F,NA,constant,homogeneous,5,present,0.858262062072754,1,horizontal,horizontal,1,0.6117645572733,green,2,1,1054.96116226488,604.450363641507,874.554784704298,843.857712770574,874.554784704298,843.857712770574,1054.96116226488,604.450363641507,883.019879386575,358.892763222174,596.34794493794,446.537169096228,591.116228706307,746.261991269517,NaN,NaN,0,4,0,0,0,NaN,horizontal,horizontal,horizontal,vertical,horizontal,none
1d,19,100244,1,12,12,18,F,NA,constant,homogeneous,3,absent,0.534455060958862,1,horizontal,horizontal,1,0.941172160925688,green,1,NaN,927.5,820.836477965032,NaN,NaN,927.5,820.836477965032,927.5,379.163522034968,545,600,NaN,NaN,NaN,NaN,NaN,NaN,4,0,0,NaN,NaN,NaN,horizontal,horizontal,vertical,none,none,none
1d,19,100244,1,13,13,18,F,NA,constant,homogeneous,3,absent,0.79941987991333,1,vertical,vertical,1,0.90587848910579,green,2,NaN,826.654758133252,346.39691668109,NaN,NaN,1006.29933356561,749.885239334581,826.654758133252,346.39691668109,567.045908301137,703.717843984329,NaN,NaN,NaN,NaN,NaN,NaN,0,4,0,NaN,NaN,NaN,horizontal,vertical,vertical,none,none,none
1d,19,100244,1,14,14,18,F,NA,constant,homogeneous,4,present,0.97124195098877,1,horizontal,horizontal,1,0.776468359099494,green,2,3,1013.86099482608,461.117046071168,661.117046071168,386.139005173917,938.882953928832,813.860994826083,1013.86099482608,461.117046071168,661.117046071168,386.139005173917,586.139005173917,738.882953928832,NaN,NaN,NaN,NaN,0,4,0,0,NaN,NaN,horizontal,horizontal,horizontal,vertical,none,none
1d,19,100244,1,15,15,18,F,NA,constant,homogeneous,4,present,0.738802909851074,1,vertical,vertical,1,0.6,green,1,2,773.345241866748,853.60308331891,1053.60308331891,626.654758133252,773.345241866748,853.60308331891,1053.60308331891,626.654758133252,826.654758133252,346.39691668109,546.39691668109,573.345241866748,NaN,NaN,NaN,NaN,4,0,0,0,NaN,NaN,vertical,horizontal,horizontal,vertical,none,none
1d,19,100244,1,16,16,18,F,NA,constant,homogeneous,4,absent,0.815792083740234,1,vertical,vertical,1,0.717645572732996,green,4,NaN,613.504806087112,773.909581815937,NaN,NaN,973.909581815937,786.495193912888,986.495193912888,426.090418184063,626.090418184063,413.504806087112,613.504806087112,773.909581815937,NaN,NaN,NaN,NaN,0,0,0,4,NaN,NaN,horizontal,vertical,vertical,vertical,none,none
1d,19,100244,1,17,17,18,F,NA,constant,homogeneous,4,present,0.764245986938477,1,horizontal,horizontal,1,0.988230390018887,green,2,4,1025.15163617903,719.715248510402,574.848363820974,480.284751489598,680.284751489598,825.151636179026,1025.15163617903,719.715248510402,919.715248510402,374.848363820974,574.848363820974,480.284751489598,NaN,NaN,NaN,NaN,0,4,0,0,NaN,NaN,vertical,horizontal,vertical,horizontal,none,none
1d,19,100244,1,18,18,18,F,NA,constant,homogeneous,5,present,0.748541831970215,1,horizontal,horizontal,1,0.823526588192693,green,2,3,1050.31493177915,551.343706178981,831.076682568313,346.900731331463,923.626453162816,823.028025320546,1050.31493177915,551.343706178981,831.076682568313,346.900731331463,568.891514305654,492.232343256122,626.090418184063,786.495193912888,NaN,NaN,0,4,0,0,0,NaN,horizontal,horizontal,vertical,vertical,horizontal,none
1d,19,100244,1,19,19,18,F,NA,constant,homogeneous,5,absent,0.792668104171753,1,vertical,vertical,1,0.658822786366498,green,5,NaN,550.57236181288,546.982518841471,NaN,NaN,672.5,820.836477965032,970.628304621509,789.501930496736,1032.95409169886,496.282156015671,773.345241866748,346.39691668109,550.57236181288,546.982518841471,NaN,NaN,0,0,0,0,4,NaN,vertical,vertical,vertical,horizontal,vertical,none
1d,19,100244,1,20,20,18,F,NA,constant,homogeneous,6,absent,0.788987874984741,1,vertical,vertical,1,0.6117645572733,green,3,NaN,963.910840470068,404.658667004661,NaN,NaN,887.215136548046,839.621618300407,1051.12597701811,644.280285305067,963.910840470068,404.658667004661,712.784863451954,360.378381699593,548.874022981887,555.719714694933,636.089159529932,795.341332995339,0,0,4,0,0,0,horizontal,vertical,vertical,vertical,horizontal,horizontal
1d,19,100244,1,21,21,18,F,NA,constant,homogeneous,6,absent,1.40574383735657,1,vertical,vertical,1,1.04705317638538,green,5,NaN,657.405809614959,388.595418998464,NaN,NaN,688.215357568785,829.192481806288,942.594190385041,811.404581001536,1054.37883281626,582.212099195248,911.784642431215,370.807518193712,657.405809614959,388.595418998464,545.621167183745,617.787900804752,0,0,0,0,4,0,vertical,horizontal,vertical,vertical,vertical,horizontal
