Subject,Include,ID,Image,RT,Drop_Slow_and_Fast,Exceeds_Ss_Mean_Plus_3SD,Exceeds_Item_Mean_Plus_3SD,RT_With_Exclusions,Frequency,Relatedness,Frequency_Code,Relatedness_Code,,,,NOTE: THIS TABLE INCLUDES ONLY THE TRIALS THAT WERE INCLUDED IN THE FINAL DATA ANALYSIS
2,1,1,AIRPLANE,1167,1167,1167,1167,1167,HF,Related,1,1,,,,
2,1,2,BED,894,894,894,894,894,HF,Related,1,1,,,,
2,1,3,BOTTLE,1362,1362,1362,1362,1362,HF,Related,1,1,,,,
2,1,4,BREAD,1170,1170,1170,1170,1170,HF,Related,1,1,,,,
2,1,5,CAR,971,971,971,971,971,HF,Related,1,1,,,,
2,1,6,CHURCH,907,907,907,907,907,HF,Related,1,1,,,,
2,1,7,DOG,1455,1455,1455,1455,1455,HF,Related,1,1,,,,
2,1,8,EYE,1013,1013,1013,1013,1013,HF,Related,1,1,,,,
2,1,9,FISH,999,999,999,999,999,HF,Related,1,1,,,,
2,1,10,HAND,1127,1127,1127,1127,1127,HF,Related,1,1,,,,
2,1,11,HEART,900,900,900,900,900,HF,Related,1,1,,,,
2,1,12,HORSE,954,954,954,954,954,HF,Related,1,1,,,,
2,1,13,LEG,634,634,634,634,634,HF,Related,1,1,,,,
2,1,14,LIPS,959,959,959,959,959,HF,Related,1,1,,,,
2,1,15,MOUNTAIN,669,669,669,669,669,HF,Related,1,1,,,,
2,1,16,RAIN,846,846,846,846,846,HF,Related,1,1,,,,
2,1,17,SHOE,873,873,873,873,873,HF,Related,1,1,,,,
2,1,18,SUN,1173,1173,1173,1173,1173,HF,Related,1,1,,,,
2,1,19,TABLE,942,942,942,942,942,HF,Related,1,1,,,,
2,1,20,TRAIN,956,956,956,956,956,HF,Related,1,1,,,,
3,1,1,AIRPLANE,533,533,533,533,533,HF,Related,1,1,,,,
3,1,2,BED,883,883,883,883,883,HF,Related,1,1,,,,
3,1,3,BOTTLE,810,810,810,810,810,HF,Related,1,1,,,,
3,1,4,BREAD,534,534,534,534,534,HF,Related,1,1,,,,
3,1,5,CAR,800,800,800,800,800,HF,Related,1,1,,,,
3,1,6,CHURCH,619,619,619,619,619,HF,Related,1,1,,,,
3,1,7,DOG,740,740,740,740,740,HF,Related,1,1,,,,
3,1,8,EYE,791,791,791,791,791,HF,Related,1,1,,,,
3,1,9,FISH,777,777,777,777,777,HF,Related,1,1,,,,
3,1,10,HAND,423,423,423,423,423,HF,Related,1,1,,,,
