"Subject" "TrialNr" "Arrow" "ArrowTask.CRESP" "ArrowTask.RESP" "ArrowTask.ACC" "ArrowTask.RT" "Target" "Distractor" "Task" "TypeOfRelation" "Relatedness" "Word" "WordColor" "Picture" "PictureColor" "VoiceTask.RT" "WordError" "SpeechError" "IncorrectTrigger" "AnyError"
10 1 "left" 1 1 1 1585 "beker" "waaier" "pic" "phonological" "unrelated" "waaier" "red" "beker_green.bmp" "green" 1979.3 0 0 0 0
10 2 "right" 2 2 1 1835 "lepel" "lelie" "word" "phonological" "related" "lepel" "green" "lelie_red.bmp" "red" 1128.3 1 0 0 1
10 3 "right" 2 2 1 1222 "zwemvlies" "banaan" "pic" "semantic" "unrelated" "banaan" "red" "zwemvlies_green.bmp" "green" 1578.3 0 0 0 0
10 4 "left" 1 1 1 957 "kabel" "lelie" "word" "phonological" "unrelated" "kabel" "green" "lelie_red.bmp" "red" 1274.3 0 0 0 0
10 5 "right" 2 1 0 546 "wapen" "waaier" "pic" "phonological" "related" "waaier" "red" "wapen_green.bmp" "green" 1393.3 0 0 0 0
10 6 "left" 1 1 1 1248 "trompet" "cello" "word" "semantic" "related" "trompet" "green" "cello_red.bmp" "red" 2319.3 0 0 0 0
10 7 "left" 1 1 1 969 "koning" "rugby" "word" "phonological" "unrelated" "koning" "green" "rugby_red.bmp" "red" 1246.3 0 0 0 0
10 8 "right" 2 2 1 1129 "lelie" "kabel" "word" "phonological" "unrelated" "lelie" "green" "kabel_red.bmp" "red" 1379.3 0 0 0 0
10 9 "left" 1 1 1 709 "beitel" "bureau" "pic" "semantic" "unrelated" "bureau" "red" "beitel_green.bmp" "green" 1390.3 0 0 0 0
10 10 "right" 2 2 1 702 "sandaal" "appel" "pic" "semantic" "unrelated" "appel" "red" "sandaal_green.bmp" "green" 1029.3 0 0 0 0
10 11 "right" 2 2 1 677 "koning" "rugby" "pic" "phonological" "unrelated" "rugby" "red" "koning_green.bmp" "green" 1051.3 0 0 0 0
10 12 "left" 1 1 1 669 "kogel" "rugzak" "pic" "phonological" "unrelated" "rugzak" "red" "kogel_green.bmp" "green" 1803.3 0 0 0 0
10 13 "left" 1 1 1 313 "totem" "toren" "word" "phonological" "related" "totem" "green" "toren_red.bmp" "red" 1366.3 0 0 0 0
10 14 "left" 1 1 1 534 "tafel" "zebra" "pic" "phonological" "unrelated" "zebra" "red" "tafel_green.bmp" "green" 1492.3 0 0 0 0
10 15 "right" 2 2 1 533 "sandaal" "appel" "word" "semantic" "unrelated" "sandaal" "green" "appel_red.bmp" "red" 1325.3 0 0 0 0
10 16 "right" 2 2 1 549 "rugby" "koning" "word" "phonological" "unrelated" "rugby" "green" "koning_red.bmp" "red" 930.3 0 0 0 0
10 17 "right" 2 2 1 454 "cello" "trompet" "word" "semantic" "related" "cello" "green" "trompet_red.bmp" "red" 974.3 0 0 0 0
10 18 "right" 2 2 1 663 "beker" "bezem" "pic" "phonological" "related" "bezem" "red" "beker_green.bmp" "green" 1008.3 0 0 0 0
10 19 "left" 1 1 1 521 "zebra" "tafel" "word" "phonological" "unrelated" "zebra" "green" "tafel_red.bmp" "red" 1025.3 0 0 0 0
10 20 "left" 1 1 1 339 "toren" "totem" "word" "phonological" "related" "toren" "green" "totem_red.bmp" "red" 1168.3 0 0 0 0
10 21 "right" 2 2 1 575 "taco" "tafel" "word" "phonological" "related" "taco" "green" "tafel_red.bmp" "red" 751.3 0 0 0 0
10 22 "left" 1 1 1 621 "bezem" "wapen" "pic" "phonological" "unrelated" "wapen" "red" "bezem_green.bmp" "green" 923.3 0 0 0 0
10 23 "left" 1 1 1 363 "auto" "vliegtuig" "word" "semantic" "related" "auto" "green" "vliegtuig_red.bmp" "red" 812.3 0 0 0 0
10 24 "left" 1 1 1 406 "molen" "pistool" "pic" "semantic" "unrelated" "pistool" "red" "molen_green.bmp" "green" 999.3 0 0 0 0
10 25 "left" 1 1 1 328 "toren" "circus" "pic" "phonological" "unrelated" "circus" "red" "toren_green.bmp" "green" 1684.3 0 0 0 0
10 26 "left" 1 1 1 302 "kanon" "pistool" "pic" "semantic" "related" "pistool" "red" "kanon_green.bmp" "green" 1198.3 0 0 0 0
10 27 "left" 1 1 1 365 "waaier" "wapen" "pic" "phonological" "related" "wapen" "red" "waaier_green.bmp" "green" 1010.3 0 0 0 0
10 28 "right" 2 2 1 528 "taco" "tafel" "pic" "phonological" "related" "tafel" "red" "taco_green.bmp" "green" 909.3 0 0 0 0
10 29 "left" 1 1 1 486 "kogel" "koning" "pic" "phonological" "related" "koning" "red" "kogel_green.bmp" "green" 1583.3 0 0 0 0
10 30 "left" 1 1 1 318 "cello" "potlood" "pic" "semantic" "unrelated" "potlood" "red" "cello_green.bmp" "green" 1051.3 0 0 0 0
10 31 "left" 1 1 1 265 "konijn" "auto" "word" "semantic" "unrelated" "konijn" "green" "auto_red.bmp" "red" 883.3 0 0 0 0
10 32 "right" 2 1 0 302 "tafel" "taco" "word" "phonological" "related" "tafel" "green" "taco_red.bmp" "red" 943.3 0 0 0 0
10 33 "left" 1 1 1 282 "wapen" "bezem" "pic" "phonological" "unrelated" "bezem" "red" "wapen_green.bmp" "green" 1715.3 0 0 0 0
10 34 "right" 2 2 1 197 "fabriek" "molen" "pic" "semantic" "related" "molen" "red" "fabriek_green.bmp" "green" 1186.3 0 0 0 0
10 35 "right" 2 2 1 453 "cirkel" "totem" "word" "phonological" "unrelated" "cirkel" "green" "totem_red.bmp" "red" 1749.3 0 0 0 0
10 36 "left" 1 1 1 319 "taco" "zegel" "word" "phonological" "unrelated" "taco" "green" "zegel_red.bmp" "red" 900.3 0 0 0 0
10 37 "right" 2 2 1 219 "trompet" "cello" "pic" "semantic" "related" "cello" "red" "trompet_green.bmp" "green" 3160.3 0 0 0 0
10 38 "right" 2 2 1 338 "zegel" "taco" "word" "phonological" "unrelated" "zegel" "green" "taco_red.bmp" "red" 1057.3 0 0 0 0
10 39 "right" 2 2 1 194 "appel" "sandaal" "word" "semantic" "unrelated" "appel" "green" "sandaal_red.bmp" "red" 1788.3 0 0 0 0
10 40 "left" 1 1 1 373 "cirkel" "totem" "pic" "phonological" "unrelated" "totem" "red" "cirkel_green.bmp" "green" 1334.3 0 0 0 0
10 41 "right" 2 2 1 350 "circus" "toren" "word" "phonological" "unrelated" "circus" "green" "toren_red.bmp" "red" 2043.3 0 0 0 0
10 42 "right" 2 2 1 390 "konijn" "schildpad" "word" "semantic" "related" "konijn" "green" "schildpad_red.bmp" "red" 806.3 0 0 0 0
10 43 "right" 2 2 1 171 "fabriek" "kanon" "pic" "semantic" "unrelated" "kanon" "red" "fabriek_green.bmp" "green" 1223.3 0 0 0 0
10 44 "right" 2 2 1 276 "zetel" "hamer" "pic" "semantic" "unrelated" "hamer" "red" "zetel_green.bmp" "green" 1240.3 0 0 0 0
10 45 "left" 1 1 1 273 "schildpad" "vliegtuig" "word" "semantic" "unrelated" "schildpad" "green" "vliegtuig_red.bmp" "red" 900.3 0 0 0 0
10 46 "left" 1 1 1 739 "potlood" "cello" "pic" "semantic" "unrelated" "cello" "red" "potlood_green.bmp" "green" 2096.3 0 0 0 0
10 47 "left" 1 1 1 249 "kano" "kabel" "word" "phonological" "related" "kano" "green" "kabel_red.bmp" "red" 1056.3 0 0 0 0
10 48 "right" 2 2 1 420 "vulpen" "trompet" "pic" "semantic" "unrelated" "trompet" "red" "vulpen_green.bmp" "green" 1446.3 0 0 0 0
10 49 "right" 2 2 1 412 "appel" "sandaal" "pic" "semantic" "unrelated" "sandaal" "red" "appel_green.bmp" "green" 2138.3 0 0 0 0
10 50 "right" 2 2 1 220 "pistool" "kanon" "pic" "semantic" "related" "kanon" "red" "pistool_green.bmp" "green" 1322.3 0 0 0 0
10 51 "left" 1 1 1 343 "zwemvlies" "sandaal" "pic" "semantic" "related" "sandaal" "red" "zwemvlies_green.bmp" "green" 1341.3 0 0 0 0
10 52 "left" 1 1 1 167 "waaier" "beker" "pic" "phonological" "unrelated" "beker" "red" "waaier_green.bmp" "green" 983.3 0 0 0 0
10 53 "left" 1 1 1 254 "tafel" "taco" "pic" "phonological" "related" "taco" "red" "tafel_green.bmp" "green" 1179.3 0 0 0 0
10 54 "right" 2 2 1 202 "zegel" "zebra" "word" "phonological" "related" "zegel" "green" "zebra_red.bmp" "red" 1044.3 0 0 0 0
10 55 "left" 1 1 1 373 "konijn" "schildpad" "pic" "semantic" "related" "schildpad" "red" "konijn_green.bmp" "green" 1140.3 0 0 0 0
10 56 "left" 1 1 1 183 "banaan" "appel" "word" "semantic" "related" "banaan" "green" "appel_red.bmp" "red" 766.3 0 0 0 0
10 57 "right" 2 2 1 170 "cirkel" "circus" "pic" "phonological" "related" "circus" "red" "cirkel_green.bmp" "green" 1037.3 0 0 0 0
10 58 "right" 2 2 1 304 "wapen" "bezem" "word" "phonological" "unrelated" "wapen" "green" "bezem_red.bmp" "red" 980.3 0 0 0 0
10 59 "left" 1 1 1 294 "sandaal" "zwemvlies" "word" "semantic" "related" "sandaal" "green" "zwemvlies_red.bmp" "red" 940.3 0 0 0 0
10 60 "right" 2 2 1 220 "hamer" "beitel" "pic" "semantic" "related" "beitel" "red" "hamer_green.bmp" "green" 1149.3 0 0 0 0
10 61 "right" 2 2 1 150 "pistool" "molen" "pic" "semantic" "unrelated" "molen" "red" "pistool_green.bmp" "green" 2603.3 0 0 0 0
10 62 "right" 2 2 1 260 "zetel" "bureau" "pic" "semantic" "related" "bureau" "red" "zetel_green.bmp" "green" 1082.3 0 0 0 0
10 63 "right" 2 2 1 301 "zegel" "zebra" "pic" "phonological" "related" "zebra" "red" "zegel_green.bmp" "green" 1667.3 0 0 0 0
10 64 "right" 2 2 1 480 "pistool" "kanon" "word" "semantic" "related" "pistool" "green" "kanon_red.bmp" "red" 1465.3 0 0 0 0
10 65 "right" 2 2 1 178 "lelie" "lepel" "word" "phonological" "related" "lelie" "green" "lepel_red.bmp" "red" 722.3 0 0 0 0
10 66 "right" 2 2 1 398 "rugzak" "rugby" "pic" "phonological" "related" "rugby" "red" "rugzak_green.bmp" "green" 1475.3 0 0 0 0
10 67 "left" 1 2 0 226 "cello" "trompet" "pic" "semantic" "related" "trompet" "red" "cello_green.bmp" "green" 1242.3 0 0 0 0
10 68 "left" 1 2 0 1584 "taco" "zegel" "pic" "phonological" "unrelated" "zegel" "red" "taco_green.bmp" "green" 919.3 0 0 0 0
10 69 "left" 1 1 1 554 "kano" "lepel" "word" "phonological" "unrelated" "kano" "green" "lepel_red.bmp" "red" 936.3 0 0 0 0
10 70 "right" 2 2 1 353 "zwemvlies" "banaan" "word" "semantic" "unrelated" "zwemvlies" "green" "banaan_red.bmp" "red" 997.3 0 0 0 0
10 71 "right" 2 2 1 521 "totem" "cirkel" "pic" "phonological" "unrelated" "cirkel" "red" "totem_green.bmp" "green" 2037.3 0 0 0 0
10 72 "right" 2 2 1 347 "potlood" "vulpen" "pic" "semantic" "related" "vulpen" "red" "potlood_green.bmp" "green" 1739.3 0 0 0 0
10 73 "left" 1 1 1 624 "beitel" "hamer" "word" "semantic" "related" "beitel" "green" "hamer_red.bmp" "red" 1452.3 0 0 0 0
10 74 "left" 1 1 1 916 "rugzak" "kogel" "word" "phonological" "unrelated" "rugzak" "green" "kogel_red.bmp" "red" 970.3 0 0 0 0
10 75 "left" 1 1 1 431 "zegel" "taco" "pic" "phonological" "unrelated" "taco" "red" "zegel_green.bmp" "green" 1610.3 0 0 0 0
10 76 "right" 2 2 1 469 "bezem" "beker" "pic" "phonological" "related" "beker" "red" "bezem_green.bmp" "green" 1208.3 0 0 0 0
10 77 "left" 1 1 1 330 "kabel" "kano" "pic" "phonological" "related" "kano" "red" "kabel_green.bmp" "green" 887.3 0 0 0 0
10 78 "left" 1 1 1 294 "beker" "bezem" "word" "phonological" "related" "beker" "green" "bezem_red.bmp" "red" 1124.3 0 0 0 0
10 79 "right" 2 2 1 495 "lepel" "kano" "word" "phonological" "unrelated" "lepel" "green" "kano_red.bmp" "red" 903.3 0 0 0 0
10 80 "left" 1 1 1 457 "waaier" "beker" "word" "phonological" "unrelated" "waaier" "green" "beker_red.bmp" "red" 866.3 0 0 0 0
10 81 "right" 2 2 1 215 "fabriek" "kanon" "word" "semantic" "unrelated" "fabriek" "green" "kanon_red.bmp" "red" 763.3 0 0 0 0
10 82 "right" 2 2 1 163 "waaier" "wapen" "word" "phonological" "related" "waaier" "green" "wapen_red.bmp" "red" 948.3 0 0 0 0
10 83 "right" 2 2 1 195 "zebra" "zegel" "word" "phonological" "related" "zebra" "green" "zegel_red.bmp" "red" 899.3 0 0 0 0
10 84 "right" 2 2 1 241 "trompet" "vulpen" "word" "semantic" "unrelated" "trompet" "green" "vulpen_red.bmp" "red" 831.3 0 0 0 0
10 85 "right" 2 2 1 130 "schildpad" "konijn" "word" "semantic" "related" "schildpad" "green" "konijn_red.bmp" "red" 980.3 0 0 0 0
10 86 "right" 2 2 1 365 "vliegtuig" "auto" "word" "semantic" "related" "vliegtuig" "green" "auto_red.bmp" "red" 790.3 0 0 0 0
10 87 "right" 2 2 1 278 "rugby" "rugzak" "pic" "phonological" "related" "rugzak" "red" "rugby_green.bmp" "green" 1096.3 0 0 0 0
10 88 "left" 1 1 1 400 "vliegtuig" "schildpad" "word" "semantic" "unrelated" "vliegtuig" "green" "schildpad_red.bmp" "red" 1110.3 0 0 0 0
10 89 "right" 2 2 1 198 "koning" "kogel" "pic" "phonological" "related" "kogel" "red" "koning_green.bmp" "green" 1080.3 0 0 0 0
10 90 "left" 1 1 1 470 "kano" "lepel" "pic" "phonological" "unrelated" "lepel" "red" "kano_green.bmp" "green" 1161.3 0 0 0 0
10 91 "right" 2 2 1 365 "kabel" "lelie" "pic" "phonological" "unrelated" "lelie" "red" "kabel_green.bmp" "green" 850.3 0 0 0 0
10 92 "left" 1 1 1 431 "bureau" "beitel" "word" "semantic" "unrelated" "bureau" "green" "beitel_red.bmp" "red" 854.3 0 0 0 0
10 93 "right" 2 2 1 307 "wapen" "waaier" "word" "phonological" "related" "wapen" "green" "waaier_red.bmp" "red" 1103.3 0 0 0 0
10 94 "left" 1 1 1 262 "auto" "konijn" "word" "semantic" "unrelated" "auto" "green" "konijn_red.bmp" "red" 860.3 0 0 0 0
10 95 "left" 1 1 1 282 "lepel" "kano" "pic" "phonological" "unrelated" "kano" "red" "lepel_green.bmp" "green" 1094.3 0 0 0 0
10 96 "left" 1 1 1 338 "kogel" "koning" "word" "phonological" "related" "kogel" "green" "koning_red.bmp" "red" 807.3 0 0 0 0
10 97 "left" 1 1 1 39 "schildpad" "konijn" "pic" "semantic" "related" "konijn" "red" "schildpad_green.bmp" "green" 1136.3 0 0 0 0
10 98 "left" 1 1 1 498 "kano" "kabel" "pic" "phonological" "related" "kabel" "red" "kano_green.bmp" "green" 1283.3 0 0 0 0
10 99 "right" 2 2 1 264 "zebra" "tafel" "pic" "phonological" "unrelated" "tafel" "red" "zebra_green.bmp" "green" 913.3 0 0 0 0
10 100 "right" 2 2 1 372 "zwemvlies" "sandaal" "word" "semantic" "related" "zwemvlies" "green" "sandaal_red.bmp" "red" 891.3 0 0 0 0
10 101 "right" 2 2 1 294 "hamer" "zetel" "word" "semantic" "unrelated" "hamer" "green" "zetel_red.bmp" "red" 717.3 0 0 0 0
10 102 "right" 2 2 1 279 "auto" "konijn" "pic" "semantic" "unrelated" "konijn" "red" "auto_green.bmp" "green" 942.3 0 0 0 0
10 103 "left" 1 1 1 209 "toren" "circus" "word" "phonological" "unrelated" "toren" "green" "circus_red.bmp" "red" 918.3 0 0 0 0
10 104 "left" 1 1 1 1039 "kogel" "rugzak" "word" "phonological" "unrelated" "kogel" "green" "rugzak_red.bmp" "red" 765.3 0 0 0 0
10 105 "left" 1 1 1 502 "fabriek" "molen" "word" "semantic" "related" "fabriek" "green" "molen_red.bmp" "red" 763.3 0 0 0 0
10 106 "right" 2 2 1 327 "konijn" "auto" "pic" "semantic" "unrelated" "auto" "red" "konijn_green.bmp" "green" 745.3 0 0 0 0
10 107 "left" 1 1 1 428 "rugzak" "rugby" "word" "phonological" "related" "rugzak" "green" "rugby_red.bmp" "red" 865.3 0 0 0 0
10 108 "right" 2 2 1 291 "beker" "waaier" "word" "phonological" "unrelated" "beker" "green" "waaier_red.bmp" "red" 751.3 0 0 0 0
10 109 "right" 2 2 1 224 "totem" "cirkel" "word" "phonological" "unrelated" "totem" "green" "cirkel_red.bmp" "red" 891.3 0 0 0 0
10 110 "right" 2 2 1 224 "bureau" "beitel" "pic" "semantic" "unrelated" "beitel" "red" "bureau_green.bmp" "green" 959.3 0 0 0 0
10 111 "left" 1 1 1 425 "kanon" "fabriek" "word" "semantic" "unrelated" "kanon" "green" "fabriek_red.bmp" "red" 928.3 0 0 0 0
10 112 "right" 2 2 1 216 "potlood" "vulpen" "word" "semantic" "related" "potlood" "green" "vulpen_red.bmp" "red" 724.3 0 0 0 0
10 113 "left" 1 1 1 237 "zetel" "bureau" "word" "semantic" "related" "zetel" "green" "bureau_red.bmp" "red" 894.3 0 0 0 0
10 114 "right" 2 2 1 363 "kanon" "pistool" "word" "semantic" "related" "kanon" "green" "pistool_red.bmp" "red" 743.3 0 0 0 0
10 115 "right" 2 2 1 202 "zebra" "zegel" "pic" "phonological" "related" "zegel" "red" "zebra_green.bmp" "green" 985.3 0 0 0 0
10 116 "left" 1 1 1 309 "molen" "fabriek" "pic" "semantic" "related" "fabriek" "red" "molen_green.bmp" "green" 806.3 0 0 0 0
10 117 "left" 1 1 1 319 "bezem" "wapen" "word" "phonological" "unrelated" "bezem" "green" "wapen_red.bmp" "red" 769.3 0 0 0 0
10 118 "right" 2 2 1 87 "beitel" "bureau" "word" "semantic" "unrelated" "beitel" "green" "bureau_red.bmp" "red" 754.3 0 0 0 0
10 119 "left" 1 1 1 200 "toren" "totem" "pic" "phonological" "related" "totem" "red" "toren_green.bmp" "green" 1038.3 0 0 0 0
10 120 "left" 1 1 1 443 "molen" "pistool" "word" "semantic" "unrelated" "molen" "green" "pistool_red.bmp" "red" 969.3 0 0 0 0
10 121 "left" 1 1 1 202 "vliegtuig" "schildpad" "pic" "semantic" "unrelated" "schildpad" "red" "vliegtuig_green.bmp" "green" 930.3 0 0 0 0
10 122 "right" 2 1 0 211 "cello" "potlood" "word" "semantic" "unrelated" "cello" "green" "potlood_red.bmp" "red" 857.3 0 0 0 0
10 123 "left" 1 1 1 1284 "rugzak" "kogel" "pic" "phonological" "unrelated" "kogel" "red" "rugzak_green.bmp" "green" 1009.3 0 1 0 1
