Subject,ldtfreq,Procedure,word_NW,Target.ACC,Target.RT,border,z,,,
501,1,CleanProc,1,1,504,0,-1.136664879,,,
501,1,CleanProc,1,1,521,1,-1.085180489,,,
501,1,CleanProc,1,1,530,1,-1.057924048,,,
501,1,CleanProc,1,1,537,1,-1.036724593,,,
501,1,CleanProc,1,1,543,1,-1.018553632,,,
501,1,CleanProc,1,1,553,1,-0.988268697,,,
501,1,DegradedProc,1,1,561,1,-0.964040748,,,
501,1,CleanProc,1,1,562,1,-0.961012255,,,
501,1,CleanProc,1,1,566,1,-0.948898281,,,
501,1,DegradedProc,1,1,566,1,-0.948898281,,,
501,1,CleanProc,1,1,575,1,-0.921641839,,,
501,1,CleanProc,1,1,578,1,-0.912556358,,,
501,1,CleanProc,1,1,578,1,-0.912556358,,,
501,1,CleanProc,1,1,592,1,-0.870157449,,,
501,1,DegradedProc,1,1,594,1,-0.864100462,,,
501,1,DegradedProc,1,1,594,1,-0.864100462,,,
501,1,CleanProc,1,1,597,1,-0.855014981,,,
501,1,CleanProc,1,1,602,1,-0.839872514,,,
501,1,CleanProc,1,1,603,1,-0.83684402,,,
501,1,CleanProc,1,1,603,1,-0.83684402,,,
501,1,CleanProc,1,1,604,1,-0.833815527,,,
501,1,CleanProc,1,1,605,1,-0.830787033,,,
501,1,CleanProc,1,1,618,1,-0.791416617,,,
501,1,CleanProc,1,1,632,1,-0.749017708,,,
501,1,CleanProc,1,1,635,1,-0.739932227,,,
501,1,CleanProc,1,1,635,1,-0.739932227,,,
501,1,CleanProc,1,1,636,1,-0.736903734,,,
501,1,CleanProc,1,1,643,1,-0.715704279,,,
501,1,CleanProc,1,1,647,1,-0.703590305,,,
501,1,CleanProc,1,1,647,1,-0.703590305,,,
501,1,CleanProc,1,1,648,1,-0.700561811,,,
501,1,CleanProc,1,1,648,1,-0.700561811,,,
501,1,DegradedProc,1,1,649,1,-0.697533318,,,
501,1,CleanProc,1,1,653,1,-0.685419344,,,
501,1,CleanProc,1,1,656,1,-0.676333863,,,
501,1,CleanProc,1,1,665,1,-0.649077422,,,
501,1,CleanProc,1,1,673,1,-0.624849473,,,
501,1,DegradedProc,1,1,673,1,-0.624849473,,,
501,1,CleanProc,1,1,680,1,-0.603650019,,,
501,1,DegradedProc,1,1,691,1,-0.57033659,,,
501,1,CleanProc,1,1,696,1,-0.555194122,,,
501,1,CleanProc,1,1,700,1,-0.543080148,,,
501,1,DegradedProc,1,1,700,1,-0.543080148,,,
501,1,CleanProc,1,1,701,1,-0.540051655,,,
