"","idv","iv","iv2","exp","dv"
"1",1,1,0,"Benthien & Hesselmann_2021",0.51435
"2",1,1,0,"Benthien & Hesselmann_2021",0.57788
"3",1,1,0,"Benthien & Hesselmann_2021",0.53157
"4",1,1,0,"Benthien & Hesselmann_2021",0.50062
"5",1,1,0,"Benthien & Hesselmann_2021",0.52963
"6",1,0,0,"Benthien & Hesselmann_2021",0.68516
"7",1,0,0,"Benthien & Hesselmann_2021",0.44297
"8",1,1,0,"Benthien & Hesselmann_2021",0.69349
"9",1,0,0,"Benthien & Hesselmann_2021",0.68593
"10",1,0,0,"Benthien & Hesselmann_2021",0.67253
"11",1,1,0,"Benthien & Hesselmann_2021",0.59908
"12",1,1,0,"Benthien & Hesselmann_2021",0.6536
"13",1,0,0,"Benthien & Hesselmann_2021",0.66474
"14",1,0,0,"Benthien & Hesselmann_2021",0.63548
"15",1,0,0,"Benthien & Hesselmann_2021",0.77983
"16",1,0,0,"Benthien & Hesselmann_2021",0.50274
"17",1,1,0,"Benthien & Hesselmann_2021",0.48589
"18",1,0,0,"Benthien & Hesselmann_2021",0.58044
"19",1,0,0,"Benthien & Hesselmann_2021",0.56141
"20",1,1,0,"Benthien & Hesselmann_2021",0.58861
"21",1,1,0,"Benthien & Hesselmann_2021",0.61611
"22",1,1,0,"Benthien & Hesselmann_2021",0.60117
"23",1,0,0,"Benthien & Hesselmann_2021",0.53572
"24",1,0,0,"Benthien & Hesselmann_2021",0.51055
"25",1,1,0,"Benthien & Hesselmann_2021",0.59373
"26",1,1,0,"Benthien & Hesselmann_2021",0.42432
"27",1,0,0,"Benthien & Hesselmann_2021",0.59728
"28",1,1,0,"Benthien & Hesselmann_2021",0.55327
"29",1,0,0,"Benthien & Hesselmann_2021",0.74172
"30",1,0,0,"Benthien & Hesselmann_2021",0.49357
"31",1,1,0,"Benthien & Hesselmann_2021",0.56459
"32",1,1,0,"Benthien & Hesselmann_2021",0.5724
"33",1,1,0,"Benthien & Hesselmann_2021",0.69931
"34",1,1,0,"Benthien & Hesselmann_2021",0.45481
"35",1,0,0,"Benthien & Hesselmann_2021",0.74396
"36",1,0,0,"Benthien & Hesselmann_2021",0.46349
"37",1,0,0,"Benthien & Hesselmann_2021",0.56218
"38",1,1,0,"Benthien & Hesselmann_2021",0.60625
"39",1,0,0,"Benthien & Hesselmann_2021",0.68321
"40",1,0,0,"Benthien & Hesselmann_2021",0.62039
"41",1,1,0,"Benthien & Hesselmann_2021",0.79994
"42",1,1,0,"Benthien & Hesselmann_2021",0.77837
"43",1,1,0,"Benthien & Hesselmann_2021",0.59905
"44",1,1,0,"Benthien & Hesselmann_2021",0.74204
"45",1,1,0,"Benthien & Hesselmann_2021",0.59301
"46",1,0,0,"Benthien & Hesselmann_2021",0.54007
"47",1,0,0,"Benthien & Hesselmann_2021",0.56561
"48",1,1,0,"Benthien & Hesselmann_2021",0.57865
"49",1,0,0,"Benthien & Hesselmann_2021",0.74483
"50",1,1,0,"Benthien & Hesselmann_2021",0.59092
"51",1,1,0,"Benthien & Hesselmann_2021",0.65623
"52",1,1,0,"Benthien & Hesselmann_2021",0.58859
"53",1,1,0,"Benthien & Hesselmann_2021",0.64741
"54",1,1,0,"Benthien & Hesselmann_2021",0.82505
"55",1,0,0,"Benthien & Hesselmann_2021",0.68779
"56",1,1,0,"Benthien & Hesselmann_2021",0.64158
"57",1,0,0,"Benthien & Hesselmann_2021",0.55686
"58",1,0,0,"Benthien & Hesselmann_2021",0.56459
"59",1,0,0,"Benthien & Hesselmann_2021",0.68774
"60",1,1,0,"Benthien & Hesselmann_2021",0.74128
"61",1,0,0,"Benthien & Hesselmann_2021",0.63556
"62",1,1,0,"Benthien & Hesselmann_2021",0.56493
"63",1,0,0,"Benthien & Hesselmann_2021",0.75414
"64",1,0,0,"Benthien & Hesselmann_2021",0.60888
"65",1,1,0,"Benthien & Hesselmann_2021",0.80319
