"","no.","idv","word","scene","condition","acc","dv","visibility","exp","iv"
"1",1,"s1",1,2,1,1,0.665781926,2,"2A",1
"2",1,"s1",3,9,1,1,0.696761597,2,"2A",1
"3",1,"s1",7,15,3,1,0.856624757,2,"2A",1
"4",1,"s1",9,20,3,1,0.932543984,2,"2A",1
"5",1,"s1",12,10,4,1,0.722741525,2,"2A",0
"6",1,"s1",3,3,1,1,0.932079879,2,"2A",1
"7",1,"s1",3,13,2,1,0.823367329,2,"2A",0
"8",1,"s1",10,12,3,1,0.711211187,2,"2A",1
"9",1,"s1",12,2,4,1,0.627460606,2,"2A",0
"10",1,"s1",1,8,1,1,0.95266282,2,"2A",1
"11",1,"s1",6,7,1,1,0.83777867,2,"2A",1
"12",1,"s1",7,8,4,1,0.523866158,2,"2A",0
"13",1,"s1",10,17,3,1,0.643823235,2,"2A",1
"14",1,"s1",11,15,3,1,0.914886017,2,"2A",1
"15",1,"s1",1,15,2,1,0.78919946,2,"2A",0
"16",1,"s1",3,18,2,1,0.61875164,2,"2A",0
"17",1,"s1",1,6,1,1,0.731284847,2,"2A",1
"18",1,"s1",11,14,3,1,0.887837233,2,"2A",1
"19",1,"s1",3,12,2,1,0.901777542,2,"2A",0
"20",1,"s1",5,9,1,1,0.600744917,2,"2A",1
"21",1,"s1",6,6,1,1,0.789874083,2,"2A",1
"22",1,"s1",7,3,4,1,0.54499181,2,"2A",0
"23",1,"s1",11,7,4,1,0.541874387,2,"2A",0
"24",1,"s1",2,9,1,1,0.613325137,2,"2A",1
"25",1,"s1",4,14,2,1,0.721479015,2,"2A",0
"26",1,"s1",8,16,3,1,0.59414204,2,"2A",1
"27",1,"s1",8,6,4,1,0.46553593,2,"2A",0
"28",1,"s1",8,14,3,1,0.8169054,2,"2A",1
"29",1,"s1",9,14,3,1,0.60234263,2,"2A",1
"30",1,"s1",7,10,4,1,0.596966725,2,"2A",0
"31",1,"s1",4,7,1,1,0.560496101,2,"2A",1
"32",1,"s1",1,17,2,1,0.597820244,2,"2A",0
"33",1,"s1",11,3,4,1,0.730479215,2,"2A",0
"34",1,"s1",8,18,3,1,0.995645667,2,"2A",1
"35",1,"s1",8,10,4,1,0.617406609,2,"2A",0
"36",1,"s1",5,18,2,1,1.142800308,2,"2A",0
"37",1,"s1",6,9,1,1,0.710297434,2,"2A",1
"38",1,"s1",10,20,3,1,1.318828227,2,"2A",1
"39",1,"s1",7,14,3,1,0.583483894,2,"2A",1
"40",1,"s1",7,19,3,1,1.034777439,2,"2A",1
"41",1,"s1",6,11,2,1,0.664491709,2,"2A",0
"42",1,"s1",4,6,1,1,0.55514941,2,"2A",1
"43",1,"s1",4,4,1,1,0.568931303,2,"2A",1
"44",1,"s1",5,20,2,1,0.856341355,2,"2A",0
"45",1,"s1",5,1,1,1,0.519306427,2,"2A",1
"46",1,"s1",7,13,3,1,0.82691392,2,"2A",1
"47",1,"s1",3,20,2,1,0.769196274,2,"2A",0
"48",1,"s1",7,12,3,1,0.704134869,2,"2A",1
"49",1,"s1",10,11,3,1,0.591612504,2,"2A",1
"50",1,"s1",5,5,1,1,0.913949074,2,"2A",1
"51",1,"s1",10,19,3,1,0.725982127,2,"2A",1
"52",1,"s1",6,4,1,1,0.904984714,2,"2A",1
"53",1,"s1",11,16,3,1,0.88642474,2,"2A",1
"54",1,"s1",11,11,3,1,0.571015408,2,"2A",1
"55",1,"s1",1,12,2,1,0.780768474,2,"2A",0
"56",1,"s1",12,20,3,1,0.533501527,2,"2A",1
"57",1,"s1",3,11,2,1,0.592123591,2,"2A",0
"58",1,"s1",6,12,2,1,0.611129901,2,"2A",0
"59",1,"s1",2,1,1,1,1.125892257,2,"2A",1
"60",1,"s1",12,14,3,1,0.481968129,2,"2A",1
"61",1,"s1",11,18,3,1,0.624931973,2,"2A",1
"62",1,"s1",9,18,3,1,0.625248805,2,"2A",1
"63",1,"s1",3,8,1,1,0.714019307,2,"2A",1
"64",1,"s1",1,3,1,1,0.700836142,2,"2A",1
"65",1,"s1",8,3,4,1,0.503303396,2,"2A",0
