Subject	Group	Block	ColorTMS[Block]	Confidence.RESP[Block]	correctResponseButton	correctRT[Block]	GrayTMS[Block]	leftStimulus[Block]	Number[Block]	NumberResponse[Block]	PracticeList	PracticeList.Cycle	PracticeList.Sample	Reaction.RT[Block]	Response.RESP[Block]	ResponseAccuracy[Block]	responseHand	rightStimulus[Block]	Running[Block]	StimulusColor[Block]	TMS	Trial	Hemisphere	Procedure[Trial]	Running[Trial]	SubTrial	CenterColorList	CenterColorList.Cycle	CenterColorList.Sample	LeftColorList	LeftColorList.Cycle	LeftColorList.Sample	Procedure[SubTrial]	RightColorList	RightColorList.Cycle	RightColorList.Sample	Running[SubTrial]	StimulusColor[SubTrial]	VariOhje	VariOhje2	LogLevel5	CenterTrialList	CenterTrialList.Cycle	CenterTrialList.Sample	ColorTMS[LogLevel5]	Confidence.RESP[LogLevel5]	correctRT[LogLevel5]	GrayTMS[LogLevel5]	leftStimulus[LogLevel5]	LeftTrialList	LeftTrialList.Cycle	LeftTrialList.Sample	Number[LogLevel5]	NumberResponse[LogLevel5]	Procedure[LogLevel5]	Reaction.RT[LogLevel5]	Response.RESP[LogLevel5]	ResponseAccuracy[LogLevel5]	rightStimulus[LogLevel5]	RightTrialList	RightTrialList.Cycle	RightTrialList.Sample	Running[LogLevel5]
1	1	1	0	4	6	0	0	0	0	0	4	1	1	0	3	1		0	PracticeList	Red	0																																										
1	1	2	0	4	6	791	0	0	1	1	2	1	2	774	1	1		1	PracticeList	Red	0																																										
1	1	3	0	4	6	466	0	0	1	1	2	1	3	450	1	1		1	PracticeList	Red	0																																										
1	1	4	0	4	6	750	0	1	1	1	1	1	4	734	1	1		0	PracticeList	Red	0																																										
1	1	5	0	4	6	461	0	1	1	1	1	1	5	444	1	1		0	PracticeList	Red	0																																										
1	1	6	0	4	6	490	0	1	2	2	3	1	6	474	2	1		1	PracticeList	Red	0																																										
1	1	7	0	4	6	578	0	1	2	2	3	1	7	561	2	1		1	PracticeList	Red	0																																										
1	1	8	0	4	6	325	0	1	2	2	3	1	8	308	2	1		1	PracticeList	Red	0																																										
1	1	9	0	4	6	625	0	0	1	1	2	1	9	609	1	1		1	PracticeList	Red	0																																										
1	1	10	0	4	6	461	0	1	2	2	3	1	10	444	2	1		1	PracticeList	Red	0																																										
1	1	11	0	4	6	381	0	1	1	1	1	1	11	364	1	1		0	PracticeList	Red	0																																										
1	1	12	0	4	6	375	0	1	1	1	1	1	12	359	1	1		0	PracticeList	Red	0																																										
1	1	13	0	3	6	0	0	0	0	0	4	1	13	0	3	1		0	PracticeList	Red	0																																										
1	1	14	0	3	6	368	0	0	1	1	2	1	14	351	1	1		1	PracticeList	Red	0																																										
1	1	15	0	4	6	370	0	1	1	1	1	1	15	353	1	1		0	PracticeList	Red	0																																										
1	1	16	0	4	6	0	0	0	1	0	2	1	16	0	3	0		1	PracticeList	Red	0																																										
1	1	17	0	4	6	0	0	0	0	0	4	1	17	0	3	1		0	PracticeList	Red	0																																										
1	1	18	0	4	6	0	0	0	0	0	4	1	18	0	3	1		0	PracticeList	Red	0																																										
1	1	19	0	4	6	0	0	1	1	1	1	1	19	0	1	1		0	PracticeList	Red	0																																										
1	1	20	0	4	6	0	0	0	0	0	4	1	20	0	3	1		0	PracticeList	Red	0																																										
1	1	21	0	4	6	433	0	1	2	2	3	1	21	416	2	1		1	PracticeList	Red	0																																										
1	1	22	0	4	6	408	0	1	2	2	3	1	22	392	2	1		1	PracticeList	Red	0																																										
1	1	23	0	4	6	389	0	1	1	1	1	1	23	372	1	1		0	PracticeList	Red	0																																										
1	1	24	0	4	6	377	0	1	2	2	3	1	24	360	2	1		1	PracticeList	Red	0																																										
1	1	25	0	4	6	0	0	0	0	0	4	1	25	0	3	1		0	PracticeList	Red	0																																										
1	1	26	0	4	6	0	0	0	0	0	4	1	26	0	3	1		0	PracticeList	Red	0																																										
1	1	27	0	2	6	0	0	0	0	1	4	1	27	0	1	0		0	PracticeList	Red	0																																										
1	1	28	0	2	6	0	0	0	1	1	2	1	28	0	1	1		1	PracticeList	Red	0																																										
1	1	29	0	3	6	379	0	1	1	1	1	1	29	362	1	1		0	PracticeList	Red	0																																										
1	1	30	0	4	6	379	0	0	1	1	2	1	30	362	1	1		1	PracticeList	Red	0																																										
1	1	31	0	4	6	475	0	0	1	1	2	1	31	458	1	1		1	PracticeList	Red	0																																										
1	1	32	0	2	6	0	0	0	0	0	4	1	32	0	3	1		0	PracticeList	Red	0																																										
1	1	33	0	4	6	361	0	0	1	1	2	1	33	345	1	1		1	PracticeList	Red	0																																										
1	1	34	0	4	6	465	0	1	2	2	3	1	34	448	2	1		1	PracticeList	Red	0																																										
1	1	35	0	4	6	437	0	1	1	1	1	1	35	421	1	1		0	PracticeList	Red	0																																										
1	1	36	0	4	6	357	0	1	2	2	3	1	36	340	2	1		1	PracticeList	Red	0																																										
1	1	37	0	4	6	0	0	0	0	0	4	1	37	0	3	1		0	PracticeList	Red	0																																										
1	1	38	0	4	6	335	0	0	1	1	2	1	38	318	1	1		1	PracticeList	Red	0																																										
1	1	39	0	4	6	359	0	1	1	1	1	1	39	342	1	1		0	PracticeList	Red	0																																										
1	1	40	0	2	6	394	0	1	2	1	3	1	40	377	1	0		1	PracticeList	Red	0																																										
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	1				1	3	335	0	1	3	1	1	2	2	LeftTrialProc	318	2	1	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	2				1	4	362	0	1	3	1	2	2	1	LeftTrialProc	345	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	3				0	4	0	1	0	4	1	3	0	0	LeftTrialProc	0	3	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	4				1	3	0	0	0	2	1	4	1	0	LeftTrialProc	0	3	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	5				1	4	345	0	1	3	1	5	2	1	LeftTrialProc	328	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	6				1	3	334	0	1	3	1	6	2	1	LeftTrialProc	317	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	7				0	4	308	1	1	1	1	7	1	1	LeftTrialProc	292	1	1	0				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	8				1	4	360	0	1	3	1	8	2	1	LeftTrialProc	343	1	0	1				LeftTrialList
1	1	41			5												VASENTA		ResponseHandList		1	1	Left	LeftHemiProc	HemiList	1				2	1	1	LeftColorProc				LeftColorList	Blue	SINISEN	sini	9				1	4	374	0	1	3	1	9	2	1	LeftTrialProc	357	1	0	1				LeftTrialList
