Subject	correctResponseButton	responseHand	StimulusColor	SubTrial	ColorMasked	Confidence.RESP	correctRT	GrayMasked	leftMask	leftStimulus	Number	NumberResponse	Response.RESP	ResponseAccuracy	rightMask	rightStimulus
1	6	right	Red	1	0	3	414	0	0	0	0	0	3	1	0	0
1	6	right	Red	2	0	3	0	1	1	0	0	0	3	1	0	0
1	6	right	Red	3	1	4	405	0	0	1	2	1	1	0	1	1
1	6	right	Red	4	0	4	211	0	0	0	0	1	1	0	1	0
1	6	right	Red	5	1	3	231	0	1	1	2	2	2	1	0	1
1	6	right	Red	6	0	3	229	0	0	0	0	0	3	1	0	0
1	6	right	Red	7	0	4	0	1	1	0	0	0	3	1	0	0
1	6	right	Red	8	0	4	220	1	0	1	1	1	1	1	1	0
1	6	right	Red	9	1	4	262	0	1	1	2	2	2	1	0	1
1	6	right	Red	10	1	3	217	0	0	1	2	2	2	1	1	1
1	6	right	Red	11	1	3	270	0	0	0	1	1	1	1	1	1
1	6	right	Red	12	0	4	252	0	0	1	1	1	1	1	0	0
1	6	right	Red	13	1	3	235	0	1	1	2	2	2	1	0	1
1	6	right	Red	14	1	3	232	0	1	1	2	2	2	1	0	1
1	6	right	Red	15	0	3	234	0	0	1	2	2	2	1	0	1
1	6	right	Red	16	0	4	218	1	1	0	1	1	1	1	0	1
1	6	right	Red	17	1	3	220	0	1	1	1	1	1	1	0	0
1	6	right	Red	18	0	4	252	0	0	0	0	1	1	0	1	0
1	6	right	Red	19	0	4	251	0	0	0	1	1	1	1	0	1
1	6	right	Red	20	0	4	241	0	0	1	2	2	2	1	0	1
1	6	right	Blue	1	1	4	328	0	0	1	2	1	1	0	1	1
1	6	right	Blue	2	1	4	207	0	1	1	2	1	1	0	0	1
1	6	right	Blue	3	0	4	531	0	0	0	0	1	1	0	1	0
1	6	right	Blue	4	1	3	240	0	0	0	1	1	1	1	1	1
1	6	right	Blue	5	1	3	607	0	1	1	2	2	2	1	0	1
1	6	right	Blue	6	0	3	547	1	1	0	0	1	1	0	0	0
1	6	right	Blue	7	0	4	207	0	0	1	1	1	1	1	0	0
1	6	right	Blue	8	0	4	285	0	0	0	1	1	1	1	0	1
1	6	right	Blue	9	0	4	374	1	0	1	1	1	1	1	1	0
1	6	right	Blue	10	1	3	273	0	1	1	2	1	1	0	0	1
1	6	right	Blue	11	0	3	448	0	0	1	2	2	2	1	0	1
1	6	right	Blue	12	1	4	349	0	1	1	2	2	2	1	0	1
1	6	right	Blue	13	0	4	313	0	0	1	2	2	2	1	0	1
1	6	right	Blue	14	0	3	0	0	0	0	0	1	1	0	1	0
1	6	right	Blue	15	0	3	264	1	1	0	1	1	1	1	0	1
1	6	right	Blue	16	0	3	270	1	1	0	0	0	3	1	0	0
1	6	right	Blue	17	0	4	479	0	0	0	0	0	3	1	0	0
1	6	right	Blue	18	1	4	192	0	1	1	1	1	1	1	0	0
1	6	right	Blue	19	1	4	280	0	0	1	2	1	1	0	1	1
1	6	right	Blue	20	0	3	391	0	0	0	0	1	1	0	0	0
1	6	right	Red	1	0	3	512	0	0	0	0	1	1	0	1	0
1	6	right	Red	2	0	4	374	0	0	1	2	1	1	0	0	1
1	6	right	Red	3	0	3	259	1	1	0	0	1	1	0	0	0
1	6	right	Red	4	1	4	350	0	0	1	2	1	1	0	1	1
1	6	right	Red	5	0	4	229	0	0	0	0	1	1	0	1	0
1	6	right	Red	6	1	4	0	0	1	1	1	1	1	1	0	0
1	6	right	Red	7	1	4	162	0	1	1	2	2	2	1	0	1
1	6	right	Red	8	1	3	202	0	0	0	1	1	1	1	1	1
1	6	right	Red	9	1	4	206	0	1	1	2	2	2	1	0	1
1	6	right	Red	10	0	3	210	0	0	0	0	0	3	1	0	0
1	6	right	Red	11	0	4	231	0	0	0	1	1	1	1	0	1
1	6	right	Red	12	0	4	253	1	1	0	1	1	1	1	0	1
1	6	right	Red	13	0	4	211	1	1	0	0	1	1	0	0	0
1	6	right	Red	14	1	4	283	0	1	1	2	2	2	1	0	1
1	6	right	Red	15	0	3	205	0	0	0	0	1	1	0	0	0
1	6	right	Red	16	0	4	206	1	0	1	1	1	1	1	1	0
1	6	right	Red	17	0	4	226	0	0	1	1	1	1	1	0	0
1	6	right	Red	18	1	4	188	0	0	1	2	2	2	1	1	1
1	6	right	Red	19	1	3	245	0	1	1	2	2	2	1	0	1
1	6	right	Red	20	0	3	224	0	0	1	2	2	2	1	0	1
1	6	right	Blue	1	1	2	234	0	0	0	1	1	1	1	1	1
1	6	right	Blue	2	1	4	218	0	0	1	2	1	1	0	1	1
1	6	right	Blue	3	0	4	211	1	0	1	1	1	1	1	1	0
1	6	right	Blue	4	1	4	235	0	1	1	1	1	1	1	0	0
1	6	right	Blue	5	0	2	402	1	1	0	0	0	3	1	0	0
1	6	right	Blue	6	0	4	250	0	0	1	2	1	1	0	0	1
1	6	right	Blue	7	1	3	197	0	1	1	2	1	1	0	0	1
1	6	right	Blue	8	0	3	247	0	0	1	1	1	1	1	0	0
1	6	right	Blue	9	1	4	219	0	1	1	2	2	2	1	0	1
1	6	right	Blue	10	0	2	240	0	0	0	0	0	3	1	0	0
1	6	right	Blue	11	0	2	215	0	0	0	0	0	3	1	0	0
1	6	right	Blue	12	0	3	206	0	0	0	1	1	1	1	0	1
1	6	right	Blue	13	1	3	265	0	1	1	2	1	1	0	0	1
1	6	right	Blue	14	0	3	0	1	1	0	0	0	3	1	0	0
1	6	right	Blue	15	0	4	0	0	0	0	0	0	3	1	1	0
1	6	right	Blue	16	0	3	817	1	1	0	1	1	1	1	0	1
1	6	right	Blue	17	0	3	199	0	0	1	2	2	2	1	0	1
1	6	right	Blue	18	0	4	0	0	0	0	0	0	3	1	1	0
1	6	right	Blue	19	1	4	330	0	1	1	2	2	2	1	0	1
1	6	right	Blue	20	1	3	193	0	0	1	2	1	1	0	1	1
1	6	right	Red	1	1	2	219	0	1	1	1	2	2	0	0	0
1	6	right	Red	2	0	4	199	0	0	1	2	2	2	1	0	1
1	6	right	Red	3	1	4	218	0	0	0	1	1	1	1	1	1
1	6	right	Red	4	0	2	250	0	0	0	0	0	3	1	1	0
1	6	right	Red	5	1	3	187	0	0	1	2	1	1	0	1	1
1	6	right	Red	6	0	3	211	1	1	0	0	1	1	0	0	0
1	6	right	Red	7	0	4	172	0	0	0	1	1	1	1	0	1
1	6	right	Red	8	0	3	260	0	0	0	0	1	1	0	1	0
1	6	right	Red	9	1	3	235	0	1	1	2	1	1	0	0	1
1	6	right	Red	10	0	3	223	0	0	1	1	1	1	1	0	0
1	6	right	Red	11	1	3	389	0	1	1	2	1	1	0	0	1
1	6	right	Red	12	1	4	273	0	1	1	2	2	2	1	0	1
1	6	right	Red	13	0	3	342	1	0	1	1	1	1	1	1	0
1	6	right	Red	14	1	4	211	0	1	1	2	2	2	1	0	1
1	6	right	Red	15	0	4	227	1	1	0	1	1	1	1	0	1
1	6	right	Red	16	0	3	225	1	1	0	0	1	1	0	0	0
1	6	right	Red	17	0	2	209	0	0	0	0	0	3	1	0	0
1	6	right	Red	18	1	2	252	0	0	1	2	1	1	0	1	1
1	6	right	Red	19	0	4	199	0	0	1	2	2	2	1	0	1
1	6	right	Red	20	0	3	239	0	0	0	0	1	1	0	0	0
1	6	right	Blue	1	1	3	235	0	1	1	2	1	1	0	0	1
1	6	right	Blue	2	0	4	215	0	0	0	0	0	3	1	0	0
1	6	right	Blue	3	0	4	0	1	1	0	0	0	3	1	0	0
1	6	right	Blue	4	1	2	0	0	0	0	1	1	1	1	1	1
1	6	right	Blue	5	0	3	197	0	0	1	2	1	1	0	0	1
1	6	right	Blue	6	0	3	203	0	0	0	0	1	1	0	1	0
1	6	right	Blue	7	0	2	221	0	0	0	0	0	3	1	0	0
1	6	right	Blue	8	0	4	199	1	0	1	1	1	1	1	1	0
1	6	right	Blue	9	0	4	226	0	0	1	1	1	1	1	0	0
1	6	right	Blue	10	1	4	225	0	0	1	2	1	1	0	1	1
1	6	right	Blue	11	0	4	178	1	1	0	1	1	1	1	0	1
1	6	right	Blue	12	0	2	218	0	0	0	0	0	3	1	1	0
1	6	right	Blue	13	1	3	238	0	1	1	2	1	1	0	0	1
1	6	right	Blue	14	0	4	193	0	0	1	2	2	2	1	0	1
1	6	right	Blue	15	1	3	261	0	1	1	2	1	1	0	0	1
1	6	right	Blue	16	1	3	233	0	0	1	2	1	1	0	1	1
1	6	right	Blue	17	1	3	226	0	1	1	2	1	1	0	0	1
1	6	right	Blue	18	0	3	199	0	0	0	1	1	1	1	0	1
1	6	right	Blue	19	0	4	0	1	1	0	0	0	3	1	0	0
1	6	right	Blue	20	1	4	213	0	1	1	1	1	1	1	0	0
1	6	right	Red	1	0	2	226	1	1	0	0	0	3	1	0	0
1	6	right	Red	2	1	3	255	0	1	1	2	1	1	0	0	1
1	6	right	Red	3	1	3	206	0	1	1	2	1	1	0	0	1
1	6	right	Red	4	1	3	238	0	0	1	2	2	2	1	1	1
1	6	right	Red	5	1	3	238	0	1	1	2	2	2	1	0	1
1	6	right	Red	6	0	4	217	0	0	1	2	2	2	1	0	1
1	6	right	Red	7	0	4	361	1	0	1	1	1	1	1	1	0
1	6	right	Red	8	1	3	246	0	1	1	2	2	2	1	0	1
1	6	right	Red	9	0	2	193	1	1	0	0	0	3	1	0	0
1	6	right	Red	10	1	3	271	0	0	0	1	1	1	1	1	1
1	6	right	Red	11	0	4	242	0	0	0	0	1	1	0	0	0
1	6	right	Red	12	0	4	258	1	1	0	1	1	1	1	0	1
1	6	right	Red	13	0	2	242	0	0	0	0	0	3	1	0	0
1	6	right	Red	14	1	4	253	0	0	1	2	1	1	0	1	1
1	6	right	Red	15	1	4	214	0	1	1	1	1	1	1	0	0
1	6	right	Red	16	0	4	193	0	0	1	2	2	2	1	0	1
1	6	right	Red	17	0	3	231	0	0	0	0	1	1	0	1	0
1	6	right	Red	18	0	4	226	0	0	1	1	1	1	1	0	0
1	6	right	Red	19	0	4	298	0	0	0	1	2	2	0	0	1
1	6	right	Red	20	0	4	200	0	0	0	0	1	1	0	1	0
1	6	right	Blue	1	1	4	206	0	1	1	2	1	1	0	0	1
1	6	right	Blue	2	0	4	0	0	0	1	2	1	1	0	0	1
1	6	right	Blue	3	0	4	232	0	0	0	0	0	3	1	0	0
1	6	right	Blue	4	1	3	269	0	0	0	1	0	3	0	1	1
1	6	right	Blue	5	0	4	238	1	0	1	1	1	1	1	1	0
1	6	right	Blue	6	0	2	247	0	0	0	1	0	3	0	0	1
1	6	right	Blue	7	1	4	193	0	1	1	2	1	1	0	0	1
1	6	right	Blue	8	1	3	218	0	1	1	2	2	2	1	0	1
1	6	right	Blue	9	0	3	184	0	0	1	2	2	2	1	0	1
1	6	right	Blue	10	1	3	233	0	0	1	2	1	1	0	1	1
1	6	right	Blue	11	0	4	187	1	1	0	1	1	1	1	0	1
1	6	right	Blue	12	0	3	408	1	1	0	0	1	1	0	0	0
1	6	right	Blue	13	0	2	226	1	1	0	0	0	3	1	0	0
1	6	right	Blue	14	1	4	220	0	1	1	1	1	1	1	0	0
1	6	right	Blue	15	0	3	864	0	0	1	1	1	1	1	0	0
1	6	right	Blue	16	1	4	248	0	0	1	2	1	1	0	1	1
1	6	right	Blue	17	1	3	214	0	1	1	2	2	2	1	0	1
1	6	right	Blue	18	0	2	229	0	0	0	0	0	3	1	1	0
1	6	right	Blue	19	0	4	0	0	0	0	0	0	3	1	0	0
1	6	right	Blue	20	0	3	0	0	0	0	0	1	1	0	1	0
1	6	right	Red	1	0	4	216	0	0	0	0	0	3	1	0	0
1	6	right	Red	2	0	3	0	1	1	0	0	0	3	1	0	0
1	6	right	Red	3	1	4	206	0	1	1	2	1	1	0	0	1
1	6	right	Red	4	0	3	0	0	0	0	0	1	1	0	1	0
1	6	right	Red	5	0	4	185	1	0	1	1	1	1	1	1	0
1	6	right	Red	6	1	4	219	0	0	0	1	1	1	1	1	1
1	6	right	Red	7	0	3	176	0	0	1	2	2	2	1	0	1
1	6	right	Red	8	0	3	199	0	0	0	0	1	1	0	1	0
1	6	right	Red	9	0	2	231	1	1	0	0	0	3	1	0	0
1	6	right	Red	10	0	4	229	0	0	1	1	1	1	1	0	0
1	6	right	Red	11	1	3	208	0	0	1	2	2	2	1	1	1
1	6	right	Red	12	1	4	0	0	1	1	2	2	2	1	0	1
1	6	right	Red	13	0	4	208	0	0	1	2	2	2	1	0	1
1	6	right	Red	14	0	4	217	0	0	0	1	1	1	1	0	1
1	6	right	Red	15	1	3	266	0	0	1	2	1	1	0	1	1
1	6	right	Red	16	0	2	184	0	0	0	0	1	1	0	0	0
1	6	right	Red	17	1	4	0	0	1	1	1	1	1	1	0	0
1	6	right	Red	18	1	4	211	0	1	1	2	2	2	1	0	1
1	6	right	Red	19	0	3	223	1	1	0	1	1	1	1	0	1
1	6	right	Red	20	1	3	220	0	1	1	2	2	2	1	0	1
1	6	right	Blue	1	1	2	241	0	0	0	1	0	3	0	1	1
1	6	right	Blue	2	0	4	199	0	0	1	2	2	2	1	0	1
1	6	right	Blue	3	0	4	211	0	0	1	1	1	1	1	0	0
1	6	right	Blue	4	0	3	202	0	0	0	0	1	1	0	0	0
1	6	right	Blue	5	0	4	274	1	0	1	1	1	1	1	1	0
1	6	right	Blue	6	1	4	180	0	1	1	2	2	2	1	0	1
1	6	right	Blue	7	1	4	202	0	1	1	2	1	1	0	0	1
1	6	right	Blue	8	0	2	236	1	1	0	0	0	3	1	0	0
1	6	right	Blue	9	0	2	179	0	0	0	0	0	3	1	0	0
1	6	right	Blue	10	0	2	223	0	0	0	0	0	3	1	1	0
1	6	right	Blue	11	0	4	242	1	1	0	1	1	1	1	0	1
1	6	right	Blue	12	0	4	276	0	0	0	1	1	1	1	0	1
1	6	right	Blue	13	1	4	222	0	1	1	2	2	2	1	0	1
1	6	right	Blue	14	0	4	472	0	0	1	2	1	1	0	0	1
1	6	right	Blue	15	1	4	384	0	0	1	2	1	1	0	1	1
1	6	right	Blue	16	1	4	383	0	1	1	1	1	1	1	0	0
1	6	right	Blue	17	1	4	160	0	0	1	2	1	1	0	1	1
1	6	right	Blue	18	0	4	234	1	1	0	0	1	1	0	0	0
1	6	right	Blue	19	0	4	225	0	0	0	0	1	1	0	1	0
1	6	right	Blue	20	1	4	220	0	1	1	2	2	2	1	0	1
1	6	right	Red	1	0	2	195	1	1	0	0	0	3	1	0	0
1	6	right	Red	2	0	4	172	1	1	0	1	1	1	1	0	1
1	6	right	Red	3	1	3	195	0	1	1	2	2	2	1	0	1
1	6	right	Red	4	0	4	189	1	0	1	1	1	1	1	1	0
1	6	right	Red	5	0	2	220	1	1	0	0	0	3	1	0	0
1	6	right	Red	6	0	2	200	0	0	0	0	0	3	1	0	0
1	6	right	Red	7	1	4	629	0	1	1	2	1	1	0	0	1
1	6	right	Red	8	0	2	218	0	0	0	0	0	3	1	1	0
1	6	right	Red	9	0	4	366	0	0	0	1	1	1	1	0	1
1	6	right	Red	10	1	4	192	0	0	1	2	1	1	0	1	1
1	6	right	Red	11	0	4	440	0	0	1	1	1	1	1	0	0
1	6	right	Red	12	1	4	283	0	0	1	2	1	1	0	1	1
1	6	right	Red	13	1	4	278	0	1	1	1	1	1	1	0	0
1	6	right	Red	14	0	4	262	0	0	1	2	2	2	1	0	1
1	6	right	Red	15	1	4	230	0	0	0	1	1	1	1	1	1
1	6	right	Red	16	0	3	210	0	0	1	2	2	2	1	0	1
1	6	right	Red	17	0	2	233	0	0	0	0	0	3	1	1	0
1	6	right	Red	18	1	4	190	0	1	1	2	2	2	1	0	1
1	6	right	Red	19	1	4	175	0	1	1	2	2	2	1	0	1
1	6	right	Red	20	0	2	221	0	0	0	0	0	3	1	0	0
1	6	right	Blue	1	0	2	199	0	0	0	0	0	3	1	0	0
1	6	right	Blue	2	1	4	412	0	1	1	2	1	1	0	0	1
1	6	right	Blue	3	0	3	266	0	0	0	0	0	3	1	1	0
1	6	right	Blue	4	1	4	219	0	1	1	1	1	1	1	0	0
1	6	right	Blue	5	1	4	230	0	1	1	2	2	2	1	0	1
1	6	right	Blue	6	0	3	0	0	0	0	0	0	3	1	1	0
1	6	right	Blue	7	0	4	222	0	0	0	1	1	1	1	0	1
1	6	right	Blue	8	0	3	0	1	1	0	0	0	3	1	0	0
1	6	right	Blue	9	0	4	350	1	0	1	1	1	1	1	1	0
1	6	right	Blue	10	0	2	202	1	1	0	0	0	3	1	0	0
1	6	right	Blue	11	0	4	194	0	0	1	2	2	2	1	0	1
1	6	right	Blue	12	1	3	211	0	1	1	2	1	1	0	0	1
1	6	right	Blue	13	0	3	179	1	1	0	1	1	1	1	0	1
1	6	right	Blue	14	0	4	210	0	0	1	2	2	2	1	0	1
1	6	right	Blue	15	0	3	213	0	0	0	0	1	1	0	0	0
1	6	right	Blue	16	1	3	191	0	1	1	2	2	2	1	0	1
1	6	right	Blue	17	0	4	205	0	0	1	1	1	1	1	0	0
1	6	right	Blue	18	1	3	229	0	0	1	2	2	2	1	1	1
1	6	right	Blue	19	1	3	188	0	0	1	2	2	2	1	1	1
1	6	right	Blue	20	1	4	220	0	0	0	1	1	1	1	1	1
1	5	left	Red	1	0	3	194	1	0	1	1	1	1	1	1	0
1	5	left	Red	2	1	3	208	0	1	1	2	2	2	1	0	1
1	5	left	Red	3	1	4	185	0	1	1	1	1	1	1	0	0
1	5	left	Red	4	0	4	198	0	0	0	1	1	1	1	0	1
1	5	left	Red	5	0	3	184	1	1	0	0	1	1	0	0	0
1	5	left	Red	6	1	3	167	0	1	1	2	2	2	1	0	1
1	5	left	Red	7	0	2	218	0	0	0	0	0	3	1	0	0
1	5	left	Red	8	1	2	213	0	0	1	2	1	1	0	1	1
1	5	left	Red	9	1	3	192	0	1	1	2	2	2	1	0	1
1	5	left	Red	10	0	2	211	0	0	0	0	0	3	1	1	0
1	5	left	Red	11	0	3	237	1	1	0	0	0	3	1	0	0
1	5	left	Red	12	0	2	0	0	0	0	0	0	3	1	1	0
1	5	left	Red	13	0	4	204	0	0	1	2	2	2	1	0	1
1	5	left	Red	14	0	2	203	0	0	0	0	1	1	0	0	0
1	5	left	Red	15	1	3	184	0	0	1	2	1	1	0	1	1
1	5	left	Red	16	0	4	195	0	0	1	2	2	2	1	0	1
1	5	left	Red	17	0	4	185	1	1	0	1	1	1	1	0	1
1	5	left	Red	18	0	4	0	0	0	1	1	1	1	1	0	0
1	5	left	Red	19	1	3	244	0	1	1	2	1	1	0	0	1
1	5	left	Red	20	1	4	189	0	0	0	1	1	1	1	1	1
1	5	left	Blue	1	1	4	351	0	1	1	1	1	1	1	0	0
1	5	left	Blue	2	0	4	201	0	0	1	2	2	2	1	0	1
1	5	left	Blue	3	0	4	179	1	0	1	1	1	1	1	1	0
1	5	left	Blue	4	1	3	184	0	1	1	2	2	2	1	0	1
1	5	left	Blue	5	0	3	0	0	0	0	0	1	1	0	0	0
1	5	left	Blue	6	0	3	221	0	0	0	0	1	1	0	0	0
1	5	left	Blue	7	1	3	223	0	0	0	1	1	1	1	1	1
1	5	left	Blue	8	1	3	216	0	1	1	2	1	1	0	0	1
1	5	left	Blue	9	1	3	0	0	0	1	2	1	1	0	1	1
1	5	left	Blue	10	1	3	231	0	1	1	2	1	1	0	0	1
1	5	left	Blue	11	0	4	198	0	0	0	1	1	1	1	0	1
1	5	left	Blue	12	0	2	208	0	0	0	0	0	3	1	1	0
1	5	left	Blue	13	1	4	251	0	1	1	2	1	1	0	0	1
1	5	left	Blue	14	0	4	200	0	0	1	1	1	1	1	0	0
1	5	left	Blue	15	0	3	196	0	0	1	2	1	1	0	0	1
1	5	left	Blue	16	0	3	216	1	1	0	0	0	3	1	0	0
1	5	left	Blue	17	0	3	213	1	1	0	0	0	3	1	0	0
1	5	left	Blue	18	0	4	476	1	1	0	1	1	1	1	0	1
1	5	left	Blue	19	1	3	467	0	0	1	2	1	1	0	1	1
1	5	left	Blue	20	0	3	273	0	0	0	0	0	3	1	1	0
1	5	left	Red	1	0	4	220	0	0	0	1	1	1	1	0	1
1	5	left	Red	2	1	4	238	0	1	1	1	1	1	1	0	0
1	5	left	Red	3	0	3	215	1	1	0	0	0	3	1	0	0
1	5	left	Red	4	1	3	237	0	1	1	2	1	1	0	0	1
1	5	left	Red	5	0	2	208	1	1	0	0	0	3	1	0	0
1	5	left	Red	6	0	2	201	0	0	1	2	2	2	1	0	1
1	5	left	Red	7	1	3	195	0	1	1	2	2	2	1	0	1
1	5	left	Red	8	0	4	220	0	0	1	1	1	1	1	0	0
1	5	left	Red	9	1	2	219	0	0	1	2	2	2	1	1	1
1	5	left	Red	10	0	4	0	0	0	0	0	0	3	1	0	0
1	5	left	Red	11	1	3	613	0	0	1	2	1	1	0	1	1
1	5	left	Red	12	0	3	214	0	0	1	2	2	2	1	0	1
1	5	left	Red	13	1	3	192	0	0	0	1	1	1	1	1	1
1	5	left	Red	14	0	3	213	0	0	0	0	0	3	1	0	0
1	5	left	Red	15	1	3	201	0	1	1	2	1	1	0	0	1
1	5	left	Red	16	0	4	199	1	0	1	1	1	1	1	1	0
1	5	left	Red	17	0	3	244	0	0	0	0	0	3	1	1	0
1	5	left	Red	18	0	4	208	1	1	0	1	1	1	1	0	1
