"","Subject","correctResponseButton","responseHand","StimulusColor","SubTrial","ColorMasked","Confidence.RESP","correctRT","GrayMasked","leftMask","leftStimulus","Number","NumberResponse","Response.RESP","ResponseAccuracy","rightMask","rightStimulus","virhe","virhe.edellinen"
"3","1",6,"right","Red",3,1,4,405,0,0,1,"2",1,1,0,1,1,0,0
"8","1",6,"right","Red",8,0,4,220,1,0,1,"1",1,1,1,1,0,0,0
"16","1",6,"right","Red",16,0,4,218,1,1,0,"1",1,1,1,0,1,0,0
"21","1",6,"right","Blue",1,1,4,328,0,0,1,"2",1,1,0,1,1,0,NA
"22","1",6,"right","Blue",2,1,4,207,0,1,1,"2",1,1,0,0,1,0,0
"29","1",6,"right","Blue",9,0,4,374,1,0,1,"1",1,1,1,1,0,0,0
"39","1",6,"right","Blue",19,1,4,280,0,0,1,"2",1,1,0,1,1,0,0
"44","1",6,"right","Red",4,1,4,350,0,0,1,"2",1,1,0,1,1,0,1
"52","1",6,"right","Red",12,0,4,253,1,1,0,"1",1,1,1,0,1,0,0
"56","1",6,"right","Red",16,0,4,206,1,0,1,"1",1,1,1,1,0,0,1
"62","1",6,"right","Blue",2,1,4,218,0,0,1,"2",1,1,0,1,1,0,0
"63","1",6,"right","Blue",3,0,4,211,1,0,1,"1",1,1,1,1,0,0,0
"95","1",6,"right","Red",15,0,4,227,1,1,0,"1",1,1,1,0,1,0,0
"108","1",6,"right","Blue",8,0,4,199,1,0,1,"1",1,1,1,1,0,0,1
"110","1",6,"right","Blue",10,1,4,225,0,0,1,"2",1,1,0,1,1,0,0
"111","1",6,"right","Blue",11,0,4,178,1,1,0,"1",1,1,1,0,1,0,0
"127","1",6,"right","Red",7,0,4,361,1,0,1,"1",1,1,1,1,0,0,0
"132","1",6,"right","Red",12,0,4,258,1,1,0,"1",1,1,1,0,1,0,1
"134","1",6,"right","Red",14,1,4,253,0,0,1,"2",1,1,0,1,1,0,1
"141","1",6,"right","Blue",1,1,4,206,0,1,1,"2",1,1,0,0,1,0,NA
"145","1",6,"right","Blue",5,0,4,238,1,0,1,"1",1,1,1,1,0,0,0
"147","1",6,"right","Blue",7,1,4,193,0,1,1,"2",1,1,0,0,1,0,0
"151","1",6,"right","Blue",11,0,4,187,1,1,0,"1",1,1,1,0,1,0,0
"156","1",6,"right","Blue",16,1,4,248,0,0,1,"2",1,1,0,1,1,0,0
"163","1",6,"right","Red",3,1,4,206,0,1,1,"2",1,1,0,0,1,0,0
"165","1",6,"right","Red",5,0,4,185,1,0,1,"1",1,1,1,1,0,0,0
"185","1",6,"right","Blue",5,0,4,274,1,0,1,"1",1,1,1,1,0,0,1
"187","1",6,"right","Blue",7,1,4,202,0,1,1,"2",1,1,0,0,1,0,0
"191","1",6,"right","Blue",11,0,4,242,1,1,0,"1",1,1,1,0,1,0,1
"195","1",6,"right","Blue",15,1,4,384,0,0,1,"2",1,1,0,1,1,0,0
"197","1",6,"right","Blue",17,1,4,160,0,0,1,"2",1,1,0,1,1,0,0
"202","1",6,"right","Red",2,0,4,172,1,1,0,"1",1,1,1,0,1,0,1
"204","1",6,"right","Red",4,0,4,189,1,0,1,"1",1,1,1,1,0,0,0
"210","1",6,"right","Red",10,1,4,192,0,0,1,"2",1,1,0,1,1,0,0
"212","1",6,"right","Red",12,1,4,283,0,0,1,"2",1,1,0,1,1,0,0
"222","1",6,"right","Blue",2,1,4,412,0,1,1,"2",1,1,0,0,1,0,1
"229","1",6,"right","Blue",9,0,4,350,1,0,1,"1",1,1,1,1,0,0,0
"257","1",5,"left","Red",17,0,4,185,1,1,0,"1",1,1,1,0,1,0,0
"263","1",5,"left","Blue",3,0,4,179,1,0,1,"1",1,1,1,1,0,0,0
"273","1",5,"left","Blue",13,1,4,251,0,1,1,"2",1,1,0,0,1,0,1
"296","1",5,"left","Red",16,0,4,199,1,0,1,"1",1,1,1,1,0,0,0
"298","1",5,"left","Red",18,0,4,208,1,1,0,"1",1,1,1,0,1,0,1
"302","1",5,"left","Blue",2,0,4,205,1,0,1,"1",1,1,1,1,0,0,0
"310","1",5,"left","Blue",10,0,4,188,1,1,0,"1",1,1,1,0,1,0,0
"318","1",5,"left","Blue",18,1,4,194,0,1,1,"2",1,1,0,0,1,0,1
"332","1",5,"left","Red",12,1,4,254,0,0,1,"2",1,1,0,1,1,0,1
"335","1",5,"left","Red",15,1,4,233,0,0,1,"2",1,1,0,1,1,0,0
"336","1",5,"left","Red",16,0,4,229,1,1,0,"1",1,1,1,0,1,0,0
"348","1",5,"left","Blue",8,0,4,163,1,0,1,"1",1,1,1,1,0,0,0
"351","1",5,"left","Blue",11,1,4,204,0,0,1,"2",1,1,0,1,1,0,0
"355","1",5,"left","Blue",15,1,4,199,0,1,1,"2",1,1,0,0,1,0,0
"367","1",5,"left","Red",7,0,4,201,1,0,1,"1",1,1,1,1,0,0,1
"378","1",5,"left","Red",18,0,4,303,1,1,0,"1",1,1,1,0,1,0,0
"385","1",5,"left","Blue",5,1,4,240,0,0,1,"2",1,1,0,1,1,0,0
"390","1",5,"left","Blue",10,1,4,259,0,1,1,"2",1,1,0,0,1,0,0
"393","1",5,"left","Blue",13,0,4,226,1,0,1,"1",1,1,1,1,0,0,1
"397","1",5,"left","Blue",17,0,4,214,1,1,0,"1",1,1,1,0,1,0,0
"411","1",5,"left","Red",11,0,4,231,1,1,0,"1",1,1,1,0,1,0,0
"416","1",5,"left","Red",16,0,4,236,1,0,1,"1",1,1,1,1,0,0,0
"424","1",5,"left","Blue",4,0,4,211,1,0,1,"1",1,1,1,1,0,0,0
"436","1",5,"left","Blue",16,1,4,207,0,0,1,"2",1,1,0,1,1,0,1
"438","1",5,"left","Blue",18,1,4,266,0,1,1,"2",1,1,0,0,1,0,0
"447","1",5,"left","Red",7,1,4,265,0,1,1,"2",1,1,0,0,1,0,0
"448","1",5,"left","Red",8,0,4,217,1,0,1,"1",1,1,1,1,0,0,0
"450","1",5,"left","Red",10,0,4,258,1,1,0,"1",1,1,1,0,1,0,1
"459","1",5,"left","Red",19,1,4,223,0,0,1,"2",1,1,0,1,1,0,1
"460","1",5,"left","Red",20,1,4,243,0,0,1,"2",1,1,0,1,1,0,0
"461","1",5,"left","Blue",1,1,4,283,0,0,1,"2",1,1,0,1,1,0,NA
"462","1",5,"left","Blue",2,0,4,300,1,1,0,"1",1,1,1,0,1,0,0
"471","1",5,"left","Blue",11,0,4,249,1,0,1,"1",1,1,1,1,0,0,1
"472","1",5,"left","Blue",12,1,4,213,0,0,1,"2",1,1,0,1,1,0,0
"479","1",5,"left","Blue",19,1,4,254,0,1,1,"2",1,1,0,0,1,0,1
"481","2",5,"left","Blue",1,0,4,216,1,0,1,"1",1,1,1,1,0,0,NA
"486","2",5,"left","Blue",6,1,4,242,0,1,1,"2",1,1,0,0,1,0,0
"489","2",5,"left","Blue",9,1,4,391,0,0,1,"2",1,1,0,1,1,0,0
"498","2",5,"left","Blue",18,1,4,276,0,1,1,"2",1,1,0,0,1,0,0
"499","2",5,"left","Blue",19,1,4,262,0,1,1,"2",1,1,0,0,1,0,0
"500","2",5,"left","Blue",20,1,4,397,0,0,1,"2",1,1,0,1,1,0,0
