"","idv","iv","iv2","exp","dv"
"1",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"2",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"3",1,0,1,"Stein & van Peelen_2020_3_LOC_2",0
"4",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"5",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"6",1,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"7",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"8",1,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"9",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"10",1,0,0,"Stein & van Peelen_2020_3_LOC_1",0
"11",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"12",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"13",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"14",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"15",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"16",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"17",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"18",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"19",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"20",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"21",1,1,1,"Stein & van Peelen_2020_3_LOC_1",1
"22",1,0,1,"Stein & van Peelen_2020_3_LOC_1",1
"23",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
"24",1,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"25",1,1,1,"Stein & van Peelen_2020_3_LOC_1",0
"26",1,1,1,"Stein & van Peelen_2020_3_LOC_2",1
"27",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"28",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"29",1,1,0,"Stein & van Peelen_2020_3_LOC_2",1
"30",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"31",1,0,0,"Stein & van Peelen_2020_3_LOC_2",0
"32",1,0,0,"Stein & van Peelen_2020_3_LOC_1",1
"33",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"34",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"35",1,1,1,"Stein & van Peelen_2020_3_LOC_2",0
"36",1,0,1,"Stein & van Peelen_2020_3_LOC_2",0
"37",1,0,1,"Stein & van Peelen_2020_3_LOC_2",1
"38",1,0,0,"Stein & van Peelen_2020_3_LOC_2",1
"39",1,1,0,"Stein & van Peelen_2020_3_LOC_1",1
