"","idv","iv","exp","dv"
"4609",1,"Incongruent","Zerweck et al_2021_2_20",615.6001
"4610",1,"Congruent","Zerweck et al_2021_2_39",359.0503
"4611",1,"Incongruent","Zerweck et al_2021_2_20",484.9014
"4612",1,"Congruent","Zerweck et al_2021_2_20",342.0144
"4613",1,"Incongruent","Zerweck et al_2021_2_39",377.4591
"4614",1,"Congruent","Zerweck et al_2021_2_39",375.7899
"4615",1,"Congruent","Zerweck et al_2021_2_20",501.1795
"4616",1,"Incongruent","Zerweck et al_2021_2_39",475.8484
"4617",1,"Congruent","Zerweck et al_2021_2_29",473.3492
"4618",1,"Incongruent","Zerweck et al_2021_2_29",481.7154
"4619",1,"Congruent","Zerweck et al_2021_2_20",489.1374
"4620",1,"Incongruent","Zerweck et al_2021_2_29",483.3696
"4621",1,"Incongruent","Zerweck et al_2021_2_39",637.4701
"4622",1,"Incongruent","Zerweck et al_2021_2_39",508.0007
"4623",1,"Congruent","Zerweck et al_2021_2_20",524.6768
"4624",1,"Congruent","Zerweck et al_2021_2_39",475.7004
"4625",1,"Incongruent","Zerweck et al_2021_2_29",488.5955
"4626",1,"Congruent","Zerweck et al_2021_2_29",587.7134
"4627",1,"Congruent","Zerweck et al_2021_2_39",492.8357
"4628",1,"Congruent","Zerweck et al_2021_2_29",546.679
"4629",1,"Incongruent","Zerweck et al_2021_2_20",570.4598
"4630",1,"Incongruent","Zerweck et al_2021_2_29",718.405
"4631",1,"Incongruent","Zerweck et al_2021_2_29",384.4281
"4632",1,"Congruent","Zerweck et al_2021_2_39",467.7387
"4633",1,"Congruent","Zerweck et al_2021_2_29",517.3067
"4634",1,"Congruent","Zerweck et al_2021_2_39",444.5359
"4635",1,"Incongruent","Zerweck et al_2021_2_29",398.1211
"4636",1,"Congruent","Zerweck et al_2021_2_39",498.8627
"4637",1,"Incongruent","Zerweck et al_2021_2_29",558.8958
"4638",1,"Incongruent","Zerweck et al_2021_2_20",385.4316
"4639",1,"Congruent","Zerweck et al_2021_2_29",480.7407
"4640",1,"Incongruent","Zerweck et al_2021_2_39",439.3397
"4641",1,"Incongruent","Zerweck et al_2021_2_20",461.8657
"4642",1,"Congruent","Zerweck et al_2021_2_29",531.1927
"4643",1,"Congruent","Zerweck et al_2021_2_29",471.9166
"4644",1,"Congruent","Zerweck et al_2021_2_20",350.2646
"4645",1,"Incongruent","Zerweck et al_2021_2_39",447.7897
"4646",1,"Congruent","Zerweck et al_2021_2_39",509.479
"4647",1,"Incongruent","Zerweck et al_2021_2_20",407.1559
"4648",1,"Congruent","Zerweck et al_2021_2_29",562.1411
"4649",1,"Congruent","Zerweck et al_2021_2_20",373.9316
"4650",1,"Congruent","Zerweck et al_2021_2_20",428.5241
