sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
1 1 LeftSmaller PercCAPrac Prime_4A Target_4N MIALikc eGDLHlF Congruent right error Late 6957.25
1 2 LeftSmaller PercCAPrac Prime_9A Target_9N mlgAhDG GCmlBcL Congruent left correct Normal 4364.996
1 3 LeftSmaller PercCAPrac Prime_9A Target_6N KDemGIi GIEDchd Congruent right error Normal 4080.565
1 4 LeftSmaller PercCAPrac Prime_6N Target_1N HGhclkI KMIJCmG Incongruent left error Normal 3316.96
1 5 LeftSmaller PercCAPrac Prime_1A Target_4N lGIfheJ fKJAhdi Congruent right error Normal 2259.405
1 6 LeftSmaller PercCAPrac Prime_6A Target_4N fCmHBMl emlDEBc Incongruent right correct Normal 2231.987
1 7 LeftSmaller PercCAPrac Prime_6N Target_6A CJjeadM IFmbcaE Congruent right error Normal 2676.137
1 8 LeftSmaller PercCAPrac Prime_4N Target_6N lBaCAmd mEeMAGI Incongruent left error Normal 3148.485
1 9 LeftSmaller PercCAPrac Prime_6N Target_6N jEgGKdL KCELHMB Congruent right error Normal 1823.691
1 10 LeftSmaller PercCAPrac Prime_4N Target_1A JEFeDlH cemhMJD Congruent left correct Normal 3064.443
1 11 LeftSmaller PercCAPrac Prime_1N Target_1A adCkHeL JfihHFA Congruent right error Normal 1822.25
1 12 LeftSmaller PercCAPrac Prime_6A Target_6N eCdFmAG fBAlCgj Congruent right error Normal 4034.671
1 13 LeftSmaller PercCAPrac Prime_4A Target_9N mfDKIkj CBbdlaJ Incongruent right correct Normal 1573.077
1 14 LeftSmaller PercCAPrac Prime_6N Target_9N FbHijMm BfmJDgi Congruent right error Normal 2456.306
1 15 LeftSmaller PercCAPrac Prime_4A Target_1A FKdCMfH eEILcGa Congruent left correct Normal 2903.227
1 16 LeftSmaller PercCAPrac Prime_1N Target_6A gCAlbiI khFJijB Incongruent right correct Normal 3740.815
1 17 LeftSmaller PercCAExp1 Prime_1N Target_1N HdKDAmg HLghbAJ Congruent left correct Normal 1481.403
1 18 LeftSmaller PercCAExp1 Prime_4A Target_4A jBkFaGh GDBJhjI Congruent left correct Normal 1471.469
1 19 LeftSmaller PercCAExp1 Prime_6A Target_6A FgDcEKA LgMDBHJ Congruent right error Normal 1637.154
1 20 LeftSmaller PercCAExp1 Prime_9N Target_1N DaFeAjC HCEGmMF Incongruent right correct Normal 1921.216
1 21 LeftSmaller PercCAExp1 Prime_6A Target_9A akHdLlB cHAhJil Congruent left correct Normal 2235.538
1 22 LeftSmaller PercCAExp1 Prime_9N Target_1A jMliCHe HekBIDL Incongruent left error Normal 1542.989
1 23 LeftSmaller PercCAExp1 Prime_9N Target_4A fJjcgkG gmIjfea Incongruent right correct Normal 1714.416
1 24 LeftSmaller PercCAExp1 Prime_6A Target_1A gkEJBDK fIDcglE Incongruent right correct Normal 3166.095
1 25 LeftSmaller PercCAExp1 Prime_9A Target_1A aAcmJdD hEAMiHI Incongruent left error Normal 1486.852
1 26 LeftSmaller PercCAExp1 Prime_4A Target_9A keKCBEF hCfEGDl Incongruent right correct Normal 1238.17
1 27 LeftSmaller PercCAExp1 Prime_6A Target_9N IdifHJG maGeABF Congruent right error Normal 1546.958
1 28 LeftSmaller PercCAExp1 Prime_4N Target_6N KAhDiEl lEaimDd Incongruent right correct Normal 2538.538
1 29 LeftSmaller PercCAExp1 Prime_9A Target_6N CJhbkgM BaAemlL Congruent left correct Normal 1968.231
1 30 LeftSmaller PercCAExp1 Prime_4N Target_1N aLMECkF fLmgeAD Congruent right error Normal 1888.092
1 31 LeftSmaller PercCAExp1 Prime_1N Target_4N bdfJghK kchiGCM Congruent right error Normal 2233.202
1 32 LeftSmaller PercCAExp1 Prime_9N Target_9A KIgmHiC jECaiMg Congruent left correct Normal 3018.35
1 33 LeftSmaller PercCAExp1 Prime_6N Target_9N AfJKkhC KbeBAIj Congruent left correct Normal 2073.035
1 34 LeftSmaller PercCAExp1 Prime_4A Target_4N ECLGAHg CKjigmh Congruent left correct Normal 2185.89
1 35 LeftSmaller PercCAExp1 Prime_9A Target_6A fLjdAGH dhLICjk Congruent right error Normal 2344.702
1 36 LeftSmaller PercCAExp1 Prime_4A Target_1N iJgCeFj MEkBLlc Congruent right error Normal 2916.163
1 37 LeftSmaller PercCAExp1 Prime_6N Target_6A kKdiBAm GecHKil Congruent right error Normal 1785.862
1 38 LeftSmaller PercCAExp1 Prime_9N Target_6N hClfmGF fkiaMKl Congruent left correct Normal 1432.375
1 39 LeftSmaller PercCAExp1 Prime_6A Target_6N DeBGJgL kLlDdjf Congruent left correct Normal 1639.54
1 40 LeftSmaller PercCAExp1 Prime_4N Target_1A KkaGhFe GMlDbIh Congruent right error Normal 3590.431
1 41 LeftSmaller PercCAExp1 Prime_4N Target_4A aecHBjG EfleDmC Congruent right error Normal 4855.985
1 42 LeftSmaller PercCAExp1 Prime_9N Target_9N HIGDeLF CFgjicI Congruent right error Normal 4429.773
1 43 LeftSmaller PercCAExp1 Prime_6N Target_4A DBLekKg iJLdGHF Incongruent right correct Normal 4705.015
1 44 LeftSmaller PercCAExp1 Prime_9A Target_4N dCkBhfD CdbHBGA Incongruent left error Normal 3463.961
1 45 LeftSmaller PercCAExp1 Prime_9N Target_6A HeFdaDL acDGmEL Congruent left correct Normal 2556.618
1 46 LeftSmaller PercCAExp1 Prime_6A Target_1N BcKHifb DBhcMbH Incongruent right correct Normal 1752.338
1 47 LeftSmaller PercCAExp1 Prime_1A Target_4N KmAgLbf eJFMAgd Congruent right error Normal 2059.548
1 48 LeftSmaller PercCAExp1 Prime_4A Target_6A mEKlABc ClkLHeA Incongruent left error Normal 2654.722
1 49 LeftSmaller PercCAExp1 Prime_6A Target_4A ElHGFAj eJBgiId Incongruent right correct Normal 2596.688
1 50 LeftSmaller PercCAExp1 Prime_4N Target_6A HkFEKba HiFAgab Incongruent left error Normal 1702.262
1 51 LeftSmaller PercCAExp1 Prime_1N Target_9N HIDJKdL ckEmlJK Incongruent left error Normal 2880.827
1 52 LeftSmaller PercCAExp1 Prime_1A Target_1A bcdlKjI bdgLJfE Congruent right error Normal 1686.667
1 53 LeftSmaller PercCAExp1 Prime_4A Target_9N aJIekFE kJBGafi Incongruent right correct Normal 1546.37
1 54 LeftSmaller PercCAExp1 Prime_1N Target_6N cKiEJjD DIHFjAa Incongruent left error Normal 2670.008
1 55 LeftSmaller PercCAExp1 Prime_4N Target_9A ljAbdFh efalBAc Incongruent left error Normal 2883.873
1 56 LeftSmaller PercCAExp1 Prime_1A Target_9A GCbgaDd dIJeHiL Incongruent left error Normal 1870.625
1 57 LeftSmaller PercCAExp1 Prime_6A Target_4N EAJHfic DklMBej Incongruent right correct Normal 1975.94
1 58 LeftSmaller PercCAExp1 Prime_4A Target_1A amKeDhf JgIdlmE Congruent left correct Normal 2936.001
1 59 LeftSmaller PercCAExp1 Prime_6N Target_9A KaHDECb JcGeEkB Congruent left correct Late 5176.682
