sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
501 1 LeftSmaller PercIAPrac Prime_9A Target_9A GDLEBfI mIGDEfF Congruent left error Normal 1039.106
501 2 LeftSmaller PercIAPrac Prime_4N Target_4N kBAfELl ieJKBjb Congruent left correct Normal 1522.811
501 3 LeftSmaller PercIAPrac Prime_4N Target_1N kCgEemI lGmIedh Congruent left correct Normal 805.5186
501 4 LeftSmaller PercIAPrac Prime_4N Target_6A caLCdJm fKGekCj Incongruent right error Normal 1305.988
501 5 LeftSmaller PercIAPrac Prime_4A Target_4N BjLAfEK mCcEjiK Congruent right error Normal 1896.266
501 6 LeftSmaller PercIAPrac Prime_1N Target_6N mgHKjil afjkgGC Incongruent left correct Normal 1561.638
501 7 LeftSmaller PercIAPrac Prime_6N Target_1A MGBlAab dkHJmgE Incongruent right correct Normal 1975.589
501 8 LeftSmaller PercIAPrac Prime_9N Target_6N HmIliMh MBFmIlK Congruent left error Normal 2664.573
501 9 LeftSmaller PercIAPrac Prime_4A Target_9A dmDhElI acefEBA Incongruent right error Normal 2008.562
501 10 LeftSmaller PercIAPrac Prime_9A Target_4A lCdbeaJ CgfBKAD Incongruent right correct Normal 1546.139
501 11 LeftSmaller PercIAPrac Prime_9N Target_4A IdeHEiM jCJFiEf Incongruent right correct Normal 2425.246
501 12 LeftSmaller PercIAPrac Prime_4A Target_6A lAfhaHb achEDed Incongruent right error Normal 2244.591
501 13 LeftSmaller PercIAPrac Prime_6N Target_6A IGDjcAb eKlDdEi Congruent right correct Normal 1931.724
501 14 LeftSmaller PercIAPrac Prime_1N Target_9A acMmIEL aiGBfCJ Incongruent left correct Normal 2284.575
501 15 LeftSmaller PercIAPrac Prime_9A Target_4N dcBjGDH LkhIACd Incongruent right correct Normal 1479.615
501 16 LeftSmaller PercIAPrac Prime_4N Target_9A cHDfiBE CEHcfKF Incongruent left correct Normal 2157.662
501 17 LeftSmaller PercIAExp1 Prime_1A Target_4A GMeFLhK BCehdaG Congruent right error Normal 1053.999
501 18 LeftSmaller PercIAExp1 Prime_6A Target_6A EBhjcAD BHlAfKG Congruent left error Normal 2087.316
501 19 LeftSmaller PercIAExp1 Prime_1N Target_4A lcGkHeE DFEjlCi Congruent left correct Normal 2275.462
501 20 LeftSmaller PercIAExp1 Prime_6A Target_1N bCDlcHM dBFhmDe Incongruent right correct Normal 1475.277
501 21 LeftSmaller PercIAExp1 Prime_9A Target_9N gILFCda bFehJil Congruent right correct Normal 1795.777
501 22 LeftSmaller PercIAExp1 Prime_4N Target_4A CjBIDbm IFcmklA Congruent left correct Normal 1646.068
501 23 LeftSmaller PercIAExp1 Prime_1N Target_1N egbHEla jHCgLBK Congruent right error Normal 2426.452
501 24 LeftSmaller PercIAExp1 Prime_6N Target_6A FLaBDld jmJFael Congruent right correct Normal 1738.618
501 25 LeftSmaller PercIAExp1 Prime_6N Target_9N KbkcJHi fClhakE Congruent right correct Normal 1888.325
501 26 LeftSmaller PercIAExp1 Prime_4N Target_9N MHflCJc kEMaKHi Incongruent left correct Normal 1836.081
501 27 LeftSmaller PercIAExp1 Prime_1N Target_1A fhmkKlj lBiICKd Congruent right error Normal 2088.049
501 28 LeftSmaller PercIAExp1 Prime_9N Target_1N BjeiGCh LelJbAB Incongruent right correct Normal 1430.652
