iv,dv,subNum
1,0,52
0,0,52
0,1,52
1,0,52
1,1,52
0,1,52
1,1,52
1,0,52
0,1,52
0,1,52
0,0,52
0,1,52
0,0,52
1,1,52
1,1,52
1,1,52
1,1,52
1,1,52
0,1,52
0,1,52
1,1,52
1,1,52
1,1,52
1,1,52
0,1,52
0,1,52
0,1,52
0,1,52
1,0,52
0,0,52
0,1,52
0,1,52
1,0,52
1,1,52
1,1,52
1,1,52
1,0,52
0,1,52
0,1,52
0,1,52
1,1,52
0,1,52
0,1,52
1,1,52
0,1,52
0,1,52
0,0,52
1,1,52
0,1,52
0,1,52
1,1,52
0,1,52
1,1,52
1,1,52
1,1,52
0,1,52
1,0,52
0,0,52
0,0,52
0,1,52
0,0,52
0,1,52
1,1,52
1,1,52
1,0,52
0,0,52
0,1,52
1,1,52
1,1,52
1,0,52
0,1,52
0,1,52
1,0,52
0,1,52
0,1,52
0,1,52
0,1,52
1,0,52
0,1,52
1,1,52
1,1,52
1,1,52
0,1,52
1,1,52
1,1,52
1,1,52
0,1,52
0,1,52
0,1,52
0,0,52
1,1,52
1,1,52
0,1,52
0,1,52
1,0,52
0,1,52
1,1,52
1,1,52
0,0,52
1,1,52
0,1,52
1,1,52
0,0,52
0,1,52
0,1,52
1,1,52
1,1,52
1,1,52
1,1,52
0,1,52
1,1,52
0,1,52
1,0,52
1,1,52
0,1,52
0,1,52
0,1,52
0,1,52
1,1,52
0,1,52
1,1,52
1,0,52
1,1,52
1,1,52
0,0,52
1,0,52
1,0,52
0,1,52
0,1,52
0,1,52
1,1,52
0,0,52
0,1,52
1,1,52
0,1,52
1,1,52
0,1,52
0,1,52
1,1,52
0,1,52
1,1,52
0,1,52
0,0,52
