subject,pair,soc_condition,stim,trial_n,target,beeps,response,rt,correct,order,pos,h1,h2,h3,h4,age
S1,P1,I,1F1B,1,1,1,1,0.6631181779998769,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,2,2,2,2,1.4288620999996056,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,3,2,1,1,1.1373274990000937,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,4,1,2,2,1.4559067039999718,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,5,2,1,1,0.8581515250002667,0,B1,L,5,5,4,3,28
S1,P1,I,1F1B,6,1,1,1,0.812356961000205,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,7,2,2,2,2.3643943689999105,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,8,2,2,2,1.1712474199998724,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,9,1,1,1,0.8235729610000817,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,10,2,1,1,1.0630683579997822,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,11,1,2,2,1.0356568309998693,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,12,1,2,1,2.098225025999909,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,13,2,2,2,1.8506215329998668,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,14,1,2,2,2.6410618479999357,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,15,2,1,1,0.9067064119999486,0,B1,L,5,5,4,3,28
S1,P1,I,1F1B,16,1,1,1,0.8191962900000362,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,17,1,1,1,0.5224086430002899,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,18,1,1,1,0.6183547119999275,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,19,2,1,2,1.3234037080001144,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,20,1,2,2,0.7323501750001924,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,21,2,2,2,0.5220815190000394,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,22,1,2,2,0.6063523170000735,0,B1,L,5,5,4,3,28
S1,P1,I,2F1B,23,2,1,1,0.6145407500002875,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,24,2,2,2,0.7004040020001412,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,25,2,1,2,0.6275050590002138,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,26,2,2,2,1.0733345570001802,1,B1,L,5,5,4,3,28
S1,P1,I,2F1B,27,2,1,1,0.6989274069997009,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,28,1,2,2,0.6358176089997869,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,29,1,2,2,0.8052670030001536,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,30,2,2,2,0.6326770679997935,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,31,1,2,1,0.7343605669998396,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,32,1,1,1,0.7958856430000196,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,33,1,2,2,0.6246788490002473,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,34,1,2,2,1.6212218979999307,0,B1,L,5,5,4,3,28
S1,P1,I,1F2B,35,1,2,1,1.2973906699999134,1,B1,L,5,5,4,3,28
S1,P1,I,1F1B,36,1,1,1,0.674753611000142,1,B1,L,5,5,4,3,28
S1,P1,I,2F2B,37,2,2,2,1.0435206380002455,1,B1,L,5,5,4,3,28
S1,P1,I,1F2B,38,1,2,2,1.9565948909998951,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,39,2,2,1,8.174077840999871,0,B1,L,5,5,4,3,28
S1,P1,I,2F2B,40,2,2,1,1.3347643379997862,0,B1,L,5,5,4,3,28
