idv,iv,iv2,dv,exp
901,2,2,1.488692703,Biderman & Mudrik_2018_2
901,1,2,1.205847202,Biderman & Mudrik_2018_2
901,2,1,2.254143196,Biderman & Mudrik_2018_2
901,1,2,0.807175248,Biderman & Mudrik_2018_2
901,1,1,1.128706068,Biderman & Mudrik_2018_2
901,2,2,1.282921907,Biderman & Mudrik_2018_2
901,1,2,3.175980269,Biderman & Mudrik_2018_2
901,2,1,3.100308819,Biderman & Mudrik_2018_2
901,1,1,1.193355035,Biderman & Mudrik_2018_2
901,1,2,1.474955225,Biderman & Mudrik_2018_2
901,1,2,1.250801269,Biderman & Mudrik_2018_2
901,2,2,1.052684517,Biderman & Mudrik_2018_2
901,1,1,1.305617184,Biderman & Mudrik_2018_2
901,2,2,1.630765621,Biderman & Mudrik_2018_2
901,1,1,1.679247214,Biderman & Mudrik_2018_2
901,1,2,0.938340293,Biderman & Mudrik_2018_2
901,2,1,1.916895173,Biderman & Mudrik_2018_2
901,2,1,1.181447891,Biderman & Mudrik_2018_2
901,1,1,1.009900335,Biderman & Mudrik_2018_2
901,1,1,1.070695623,Biderman & Mudrik_2018_2
901,1,1,0.871637761,Biderman & Mudrik_2018_2
901,2,1,1.034584175,Biderman & Mudrik_2018_2
901,1,1,2.744622042,Biderman & Mudrik_2018_2
901,2,2,1.141706566,Biderman & Mudrik_2018_2
901,1,1,1.237451241,Biderman & Mudrik_2018_2
901,1,2,2.673580309,Biderman & Mudrik_2018_2
901,2,1,1.175204515,Biderman & Mudrik_2018_2
901,2,2,0.83632915,Biderman & Mudrik_2018_2
901,2,2,1.822989955,Biderman & Mudrik_2018_2
901,1,2,3.710317263,Biderman & Mudrik_2018_2
901,2,1,1.398144806,Biderman & Mudrik_2018_2
901,2,2,1.553227345,Biderman & Mudrik_2018_2
901,1,1,2.076853469,Biderman & Mudrik_2018_2
901,2,2,1.931334849,Biderman & Mudrik_2018_2
901,1,2,1.149236877,Biderman & Mudrik_2018_2
901,1,2,1.157757334,Biderman & Mudrik_2018_2
901,2,1,1.424354209,Biderman & Mudrik_2018_2
901,2,2,1.228881176,Biderman & Mudrik_2018_2
901,2,2,1.200847142,Biderman & Mudrik_2018_2
901,2,1,0.83871457,Biderman & Mudrik_2018_2
901,1,2,1.388737692,Biderman & Mudrik_2018_2
901,2,1,0.868484855,Biderman & Mudrik_2018_2
901,1,1,1.094313764,Biderman & Mudrik_2018_2
901,2,2,1.33265993,Biderman & Mudrik_2018_2
901,1,2,0.803024783,Biderman & Mudrik_2018_2
901,2,2,0.99950906,Biderman & Mudrik_2018_2
901,2,2,0.844819387,Biderman & Mudrik_2018_2
901,2,2,1.038203502,Biderman & Mudrik_2018_2
901,2,2,2.237984661,Biderman & Mudrik_2018_2
901,1,1,0.82238241,Biderman & Mudrik_2018_2
901,2,2,0.738492421,Biderman & Mudrik_2018_2
901,1,2,2.185097153,Biderman & Mudrik_2018_2
901,2,1,1.188552834,Biderman & Mudrik_2018_2
901,2,2,0.790952566,Biderman & Mudrik_2018_2
901,1,1,0.732988022,Biderman & Mudrik_2018_2
901,2,2,0.884229142,Biderman & Mudrik_2018_2
901,2,2,0.694456086,Biderman & Mudrik_2018_2
901,1,2,1.530190235,Biderman & Mudrik_2018_2
901,1,1,0.865378135,Biderman & Mudrik_2018_2
901,1,1,0.930307068,Biderman & Mudrik_2018_2
901,2,1,0.865496736,Biderman & Mudrik_2018_2
901,2,1,1.07541144,Biderman & Mudrik_2018_2
901,1,2,0.993141382,Biderman & Mudrik_2018_2
901,2,2,1.616300287,Biderman & Mudrik_2018_2
901,1,1,0.609388355,Biderman & Mudrik_2018_2
901,1,2,0.965686669,Biderman & Mudrik_2018_2
901,1,2,1.397765625,Biderman & Mudrik_2018_2
901,2,2,0.724306198,Biderman & Mudrik_2018_2
901,1,2,1.079359771,Biderman & Mudrik_2018_2
901,2,2,0.627122915,Biderman & Mudrik_2018_2
901,2,2,2.311983437,Biderman & Mudrik_2018_2
901,2,1,3.582147466,Biderman & Mudrik_2018_2
901,2,1,1.371109473,Biderman & Mudrik_2018_2
901,2,1,2.948987301,Biderman & Mudrik_2018_2
901,2,2,3.161523487,Biderman & Mudrik_2018_2
901,2,1,0.88406407,Biderman & Mudrik_2018_2
901,1,1,0.70331182,Biderman & Mudrik_2018_2
901,2,1,1.472220559,Biderman & Mudrik_2018_2
901,1,2,2.795038885,Biderman & Mudrik_2018_2
901,2,1,2.555346198,Biderman & Mudrik_2018_2
901,2,1,1.60691712,Biderman & Mudrik_2018_2
901,2,2,0.988025002,Biderman & Mudrik_2018_2
901,2,2,0.702477336,Biderman & Mudrik_2018_2
901,2,2,2.051159525,Biderman & Mudrik_2018_2
901,2,1,0.472853193,Biderman & Mudrik_2018_2
901,1,1,1.664086239,Biderman & Mudrik_2018_2
901,2,1,0.951163744,Biderman & Mudrik_2018_2
901,1,2,0.705125047,Biderman & Mudrik_2018_2
901,1,1,1.082388089,Biderman & Mudrik_2018_2
901,1,1,1.017860859,Biderman & Mudrik_2018_2
901,2,2,1.335557958,Biderman & Mudrik_2018_2
901,1,1,1.653940434,Biderman & Mudrik_2018_2
901,2,1,1.58120778,Biderman & Mudrik_2018_2
901,2,1,0.880443887,Biderman & Mudrik_2018_2
901,1,1,1.49991276,Biderman & Mudrik_2018_2
901,2,1,1.010855986,Biderman & Mudrik_2018_2
901,1,2,1.046653256,Biderman & Mudrik_2018_2
901,2,1,1.488214307,Biderman & Mudrik_2018_2
901,2,1,1.000734414,Biderman & Mudrik_2018_2
901,1,1,1.404044637,Biderman & Mudrik_2018_2
901,1,2,0.887234082,Biderman & Mudrik_2018_2
901,2,1,0.981196319,Biderman & Mudrik_2018_2
901,1,1,1.820668112,Biderman & Mudrik_2018_2
901,1,1,1.770765587,Biderman & Mudrik_2018_2
901,2,1,1.132549483,Biderman & Mudrik_2018_2
901,1,2,1.430243492,Biderman & Mudrik_2018_2
901,2,1,0.946839653,Biderman & Mudrik_2018_2
901,2,1,0.895893952,Biderman & Mudrik_2018_2
901,1,2,0.799323632,Biderman & Mudrik_2018_2
901,2,2,1.207567487,Biderman & Mudrik_2018_2
901,1,2,0.714634797,Biderman & Mudrik_2018_2
901,2,1,1.086579039,Biderman & Mudrik_2018_2
901,2,1,1.708440174,Biderman & Mudrik_2018_2
901,2,2,0.513077474,Biderman & Mudrik_2018_2
901,2,2,0.511167599,Biderman & Mudrik_2018_2
