"","idv","iv","dv","exp"
"1","1 AH","rel",6.79077192349632,"Faivre et al._1_cong"
"2","1 AH","rel",6.31662302382892,"Faivre et al._1_cong"
"3","1 AH","unrel",6.41247486655161,"Faivre et al._1_cong"
"4","1 AH","rel",6.33398985544227,"Faivre et al._1_cong"
"5","1 AH","unrel",6.31590034990406,"Faivre et al._1_cong"
"6","1 AH","unrel",6.2027379258517,"Faivre et al._1_cong"
"7","1 AH","rel",5.97330057648031,"Faivre et al._1_cong"
"8","1 AH","unrel",6.13448205394291,"Faivre et al._1_cong"
"9","1 AH","unrel",6.3124604985897,"Faivre et al._1_cong"
"10","1 AH","unrel",6.13923779139741,"Faivre et al._1_cong"
"11","1 AH","unrel",6.21140296747324,"Faivre et al._1_cong"
"12","1 AH","unrel",6.40737491307769,"Faivre et al._1_cong"
"13","1 AH","unrel",6.32989914275693,"Faivre et al._1_cong"
"14","1 AH","unrel",6.30371727349397,"Faivre et al._1_cong"
"15","1 AH","rel",6.22732687082997,"Faivre et al._1_cong"
"16","1 AH","unrel",6.32525461850926,"Faivre et al._1_cong"
"17","1 AH","rel",5.88832378818847,"Faivre et al._1_cong"
"18","1 AH","rel",6.16247234400166,"Faivre et al._1_cong"
"19","1 AH","rel",6.66198260960757,"Faivre et al._1_cong"
"20","1 AH","unrel",6.76676758568116,"Faivre et al._1_cong"
"21","1 AH","unrel",6.59455024929927,"Faivre et al._1_cong"
"22","1 AH","rel",6.4768185049003,"Faivre et al._1_cong"
"23","1 AH","rel",6.39225206566504,"Faivre et al._1_cong"
"24","1 AH","rel",6.0333260012029,"Faivre et al._1_cong"
"25","1 AH","unrel",6.29341927884648,"Faivre et al._1_cong"
"26","1 AH","unrel",6.42422051545205,"Faivre et al._1_cong"
"27","1 AH","rel",6.50548506177049,"Faivre et al._1_cong"
"28","1 AH","rel",6.06773090256143,"Faivre et al._1_cong"
"29","1 AH","unrel",6.29618808541461,"Faivre et al._1_cong"
"30","1 AH","unrel",6.28450722580186,"Faivre et al._1_cong"
"31","1 AH","unrel",5.96665942818901,"Faivre et al._1_cong"
"32","1 AH","rel",6.16247234400166,"Faivre et al._1_cong"
"33","1 AH","unrel",6.04996927648055,"Faivre et al._1_cong"
"34","1 AH","unrel",6.18662006188202,"Faivre et al._1_cong"
"35","1 AH","rel",6.09447229718221,"Faivre et al._1_cong"
"36","1 AH","unrel",6.10858069377666,"Faivre et al._1_cong"
"37","1 AH","unrel",5.92318570635469,"Faivre et al._1_cong"
"38","1 AH","rel",6.14203740558736,"Faivre et al._1_cong"
"39","1 AH","rel",6.06029073803783,"Faivre et al._1_cong"
"40","1 AH","rel",6.19236248947487,"Faivre et al._1_cong"
"41","10 VS","rel",7.05055607761381,"Faivre et al._1_cong"
"42","10 VS","unrel",7.66795344679169,"Faivre et al._1_cong"
"43","10 VS","rel",6.7563508248229,"Faivre et al._1_cong"
"44","10 VS","rel",7.3125534981026,"Faivre et al._1_cong"
"45","10 VS","unrel",6.96044260126114,"Faivre et al._1_cong"
"46","10 VS","unrel",6.7922321877266,"Faivre et al._1_cong"
"47","10 VS","unrel",7.50878717063428,"Faivre et al._1_cong"
"48","10 VS","unrel",7.99162611099521,"Faivre et al._1_cong"
"49","10 VS","rel",7.75345185800237,"Faivre et al._1_cong"
"50","10 VS","unrel",6.56145490404194,"Faivre et al._1_cong"
"51","10 VS","rel",7.07445545487314,"Faivre et al._1_cong"
"52","10 VS","unrel",7.53657724898552,"Faivre et al._1_cong"
"53","10 VS","rel",7.29049749998303,"Faivre et al._1_cong"
"54","10 VS","unrel",7.45095128277858,"Faivre et al._1_cong"
"55","10 VS","rel",7.08957671073441,"Faivre et al._1_cong"
"56","10 VS","rel",6.25016827382074,"Faivre et al._1_cong"
"57","10 VS","unrel",6.66211046232141,"Faivre et al._1_cong"
"58","10 VS","unrel",6.91810157103628,"Faivre et al._1_cong"
"59","10 VS","rel",7.09547888506509,"Faivre et al._1_cong"
"60","10 VS","unrel",6.80350525760834,"Faivre et al._1_cong"
"61","10 VS","rel",7.04412015350265,"Faivre et al._1_cong"
"62","10 VS","rel",6.72731195719996,"Faivre et al._1_cong"
"63","10 VS","rel",7.03799375590587,"Faivre et al._1_cong"
"64","10 VS","rel",6.90685487373897,"Faivre et al._1_cong"
"65","10 VS","rel",7.3627087201815,"Faivre et al._1_cong"
"66","10 VS","unrel",7.71096689440439,"Faivre et al._1_cong"
"67","10 VS","unrel",6.83840520084734,"Faivre et al._1_cong"
"68","10 VS","unrel",7.41366885838711,"Faivre et al._1_cong"
"69","10 VS","rel",6.37842618365159,"Faivre et al._1_cong"
"70","10 VS","rel",7.56941179245071,"Faivre et al._1_cong"
"71","10 VS","unrel",7.36631871808532,"Faivre et al._1_cong"
"72","10 VS","rel",7.47482890228671,"Faivre et al._1_cong"
"73","10 VS","rel",7.19893124068817,"Faivre et al._1_cong"
"74","10 VS","unrel",6.89760392792576,"Faivre et al._1_cong"
"75","10 VS","rel",6.67695750873107,"Faivre et al._1_cong"
"76","10 VS","unrel",6.8052794873929,"Faivre et al._1_cong"
"77","10 VS","unrel",6.9960408438495,"Faivre et al._1_cong"
"78","10 VS","unrel",7.09787964783911,"Faivre et al._1_cong"
"79","10 VS","rel",7.04812573182941,"Faivre et al._1_cong"
"80","10 VS","unrel",7.57568721040102,"Faivre et al._1_cong"
"81","10 VS","unrel",7.06116282561145,"Faivre et al._1_cong"
"82","10 VS","rel",7.54136474682589,"Faivre et al._1_cong"
"83","11 dc","rel",6.03428454429091,"Faivre et al._1_cong"
"84","11 dc","unrel",6.07901744411584,"Faivre et al._1_cong"
"85","11 dc","unrel",6.04524225278845,"Faivre et al._1_cong"
"86","11 dc","unrel",5.85478534819273,"Faivre et al._1_cong"
"87","11 dc","rel",5.83976918385579,"Faivre et al._1_cong"
"88","11 dc","unrel",5.80904298531369,"Faivre et al._1_cong"
"89","11 dc","unrel",6.05443934626937,"Faivre et al._1_cong"
"90","11 dc","rel",6.00190980496952,"Faivre et al._1_cong"
"91","11 dc","rel",5.71801405690293,"Faivre et al._1_cong"
"92","11 dc","rel",6.02102334934953,"Faivre et al._1_cong"
"93","11 dc","rel",6.22436038986487,"Faivre et al._1_cong"
"94","11 dc","rel",5.73495809212465,"Faivre et al._1_cong"
"95","11 dc","rel",5.79605775076537,"Faivre et al._1_cong"
"96","11 dc","rel",5.88693701775405,"Faivre et al._1_cong"
"97","11 dc","rel",5.73818390137353,"Faivre et al._1_cong"
"98","11 dc","rel",5.81413053182507,"Faivre et al._1_cong"
"99","11 dc","rel",5.78720408279527,"Faivre et al._1_cong"
"100","11 dc","unrel",6.50368919178768,"Faivre et al._1_cong"
"101","11 dc","rel",5.98645200528444,"Faivre et al._1_cong"
"102","11 dc","unrel",5.7037824746562,"Faivre et al._1_cong"
"103","11 dc","unrel",6.11235386438344,"Faivre et al._1_cong"
"104","11 dc","unrel",5.73236993150811,"Faivre et al._1_cong"
"105","11 dc","rel",5.83070876822859,"Faivre et al._1_cong"
"106","12 jm","rel",7.20288455206897,"Faivre et al._1_cong"
"107","12 jm","rel",7.49892510342962,"Faivre et al._1_cong"
"108","12 jm","unrel",7.10488334309307,"Faivre et al._1_cong"
"109","12 jm","rel",6.68872824317977,"Faivre et al._1_cong"
"110","12 jm","unrel",7.45193830640212,"Faivre et al._1_cong"
"111","12 jm","rel",7.70106448644106,"Faivre et al._1_cong"
"112","12 jm","unrel",6.49193675879448,"Faivre et al._1_cong"
"113","12 jm","unrel",6.33239113407858,"Faivre et al._1_cong"
"114","12 jm","unrel",6.70551668834782,"Faivre et al._1_cong"
"115","12 jm","rel",6.90444982197341,"Faivre et al._1_cong"
"116","12 jm","rel",6.38418208239364,"Faivre et al._1_cong"
"117","12 jm","rel",6.49948624354124,"Faivre et al._1_cong"
"118","12 jm","unrel",6.2704211632414,"Faivre et al._1_cong"
"119","12 jm","rel",7.1074254741107,"Faivre et al._1_cong"
"120","12 jm","unrel",7.14179920476464,"Faivre et al._1_cong"
"121","12 jm","rel",6.96960268230822,"Faivre et al._1_cong"
"122","12 jm","unrel",6.83152197298255,"Faivre et al._1_cong"
"123","12 jm","rel",6.84991427929229,"Faivre et al._1_cong"
"124","12 jm","unrel",7.07462473121717,"Faivre et al._1_cong"
"125","12 jm","unrel",7.52924532777785,"Faivre et al._1_cong"
"126","12 jm","rel",6.58988887535304,"Faivre et al._1_cong"
"127","12 jm","rel",6.56596894753716,"Faivre et al._1_cong"
"128","12 jm","rel",6.37859594852764,"Faivre et al._1_cong"
"129","12 jm","rel",6.57772226598983,"Faivre et al._1_cong"
"130","12 jm","unrel",7.3550658576802,"Faivre et al._1_cong"
"131","12 jm","unrel",7.10101677581443,"Faivre et al._1_cong"
"132","12 jm","rel",6.96337918273013,"Faivre et al._1_cong"
"133","12 jm","unrel",7.43307534889858,"Faivre et al._1_cong"
"134","12 jm","unrel",7.13799360277221,"Faivre et al._1_cong"
"135","12 jm","unrel",7.09215800197992,"Faivre et al._1_cong"
"136","12 jm","unrel",6.73435381956274,"Faivre et al._1_cong"
"137","12 jm","rel",6.64859587346356,"Faivre et al._1_cong"
"138","12 jm","rel",7.16014690465533,"Faivre et al._1_cong"
"139","12 jm","rel",6.67972480609453,"Faivre et al._1_cong"
"140","12 jm","unrel",7.10824413973154,"Faivre et al._1_cong"
"141","12 jm","rel",7.52450725828837,"Faivre et al._1_cong"
"142","13 lq","rel",6.77958094025863,"Faivre et al._1_cong"
"143","13 lq","rel",6.65762586258294,"Faivre et al._1_cong"
"144","13 lq","rel",6.38536301884468,"Faivre et al._1_cong"
"145","13 lq","unrel",6.57102300855506,"Faivre et al._1_cong"
"146","13 lq","unrel",6.21440807841952,"Faivre et al._1_cong"
"147","13 lq","unrel",7.07250671458263,"Faivre et al._1_cong"
"148","13 lq","rel",6.66987872806586,"Faivre et al._1_cong"
"149","13 lq","unrel",6.5876877463862,"Faivre et al._1_cong"
"150","13 lq","rel",6.57966779189532,"Faivre et al._1_cong"
"151","13 lq","rel",6.80981163465201,"Faivre et al._1_cong"
"152","13 lq","unrel",6.443813241115,"Faivre et al._1_cong"
"153","13 lq","rel",6.4377516497364,"Faivre et al._1_cong"
"154","13 lq","rel",6.83410873881384,"Faivre et al._1_cong"
"155","13 lq","unrel",6.83894096298178,"Faivre et al._1_cong"
"156","13 lq","rel",6.86055884415116,"Faivre et al._1_cong"
"157","13 lq","rel",6.87471542490394,"Faivre et al._1_cong"
"158","13 lq","rel",6.52634843596704,"Faivre et al._1_cong"
"159","13 lq","unrel",6.45629858702298,"Faivre et al._1_cong"
"160","13 lq","unrel",6.45582729646363,"Faivre et al._1_cong"
"161","13 lq","unrel",6.23264446090829,"Faivre et al._1_cong"
"162","13 lq","unrel",6.41345895716736,"Faivre et al._1_cong"
"163","13 lq","rel",7.16208737175236,"Faivre et al._1_cong"
"164","13 lq","rel",6.26720054854136,"Faivre et al._1_cong"
"165","13 lq","unrel",6.11743618666992,"Faivre et al._1_cong"
"166","13 lq","unrel",6.33576321997866,"Faivre et al._1_cong"
"167","13 lq","rel",6.37297843439363,"Faivre et al._1_cong"
"168","13 lq","unrel",6.22376603620696,"Faivre et al._1_cong"
"169","13 lq","rel",6.74817320915767,"Faivre et al._1_cong"
"170","13 lq","rel",6.19827544380129,"Faivre et al._1_cong"
"171","13 lq","unrel",5.88109148962661,"Faivre et al._1_cong"
"172","13 lq","unrel",6.69406688643868,"Faivre et al._1_cong"
"173","13 lq","rel",6.13599769784028,"Faivre et al._1_cong"
"174","13 lq","rel",6.17773662364629,"Faivre et al._1_cong"
"175","13 lq","rel",6.11831743810391,"Faivre et al._1_cong"
"176","14 mb","rel",6.34405616560908,"Faivre et al._1_cong"
"177","14 mb","rel",7.34497741870349,"Faivre et al._1_cong"
"178","14 mb","unrel",7.39523038913988,"Faivre et al._1_cong"
"179","14 mb","rel",5.93859105750091,"Faivre et al._1_cong"
"180","14 mb","rel",6.22257626807137,"Faivre et al._1_cong"
"181","14 mb","rel",6.12905021006055,"Faivre et al._1_cong"
"182","14 mb","unrel",6.49435880054769,"Faivre et al._1_cong"
"183","14 mb","rel",6.2675799831883,"Faivre et al._1_cong"
"184","14 mb","rel",6.40108766536481,"Faivre et al._1_cong"
"185","14 mb","rel",6.05302990276614,"Faivre et al._1_cong"
"186","14 mb","unrel",5.92184648022711,"Faivre et al._1_cong"
"187","14 mb","rel",6.3919171133926,"Faivre et al._1_cong"
"188","14 mb","rel",6.00166237208443,"Faivre et al._1_cong"
"189","14 mb","unrel",6.25843357796222,"Faivre et al._1_cong"
"190","14 mb","unrel",6.13578131787622,"Faivre et al._1_cong"
"191","14 mb","unrel",6.04025471127741,"Faivre et al._1_cong"
"192","14 mb","rel",6.39776264152004,"Faivre et al._1_cong"
"193","14 mb","rel",6.30627528694802,"Faivre et al._1_cong"
"194","14 mb","unrel",6.39442652499803,"Faivre et al._1_cong"
"195","14 mb","unrel",6.17503532330237,"Faivre et al._1_cong"
"196","14 mb","unrel",6.40737491307769,"Faivre et al._1_cong"
"197","14 mb","unrel",6.4240583226044,"Faivre et al._1_cong"
"198","14 mb","unrel",5.94096041493421,"Faivre et al._1_cong"
"199","14 mb","unrel",5.97075150551044,"Faivre et al._1_cong"
"200","14 mb","unrel",5.94174895486205,"Faivre et al._1_cong"
"201","14 mb","rel",6.17960248922338,"Faivre et al._1_cong"
"202","14 mb","rel",6.25977265037657,"Faivre et al._1_cong"
"203","14 mb","unrel",6.9486092729904,"Faivre et al._1_cong"
"204","14 mb","rel",6.05748634264998,"Faivre et al._1_cong"
"205","14 mb","unrel",7.03023836319669,"Faivre et al._1_cong"
"206","14 mb","rel",6.68536144655847,"Faivre et al._1_cong"
"207","14 mb","unrel",6.43213591095077,"Faivre et al._1_cong"
"208","14 mb","unrel",6.19481347109401,"Faivre et al._1_cong"
"209","14 mb","unrel",6.0593568131509,"Faivre et al._1_cong"
"210","14 mb","rel",5.88804658790949,"Faivre et al._1_cong"
"211","14 mb","unrel",6.63660250848157,"Faivre et al._1_cong"
"212","14 mb","rel",5.79240366630973,"Faivre et al._1_cong"
"213","14 mb","unrel",5.75352456655102,"Faivre et al._1_cong"
"214","14 mb","rel",6.21240567486699,"Faivre et al._1_cong"
"215","14 mb","unrel",6.04760855772602,"Faivre et al._1_cong"
"216","14 mb","rel",6.05701817784742,"Faivre et al._1_cong"
"217","14 mb","rel",6.21120230528736,"Faivre et al._1_cong"
"218","14 mb","unrel",6.51337846785939,"Faivre et al._1_cong"
"219","14 mb","unrel",6.87140244951634,"Faivre et al._1_cong"
"220","15 na","unrel",6.80472537866259,"Faivre et al._1_cong"
"221","15 na","unrel",6.85992964949953,"Faivre et al._1_cong"
