idv,iv,dv,exp
1:00 AM,rel,514.4,Faivre et al._2014_3_cong
1:00 AM,rel,697.4,Faivre et al._2014_3_cong
1:00 AM,unrel,377.9,Faivre et al._2014_3_cong
1:00 AM,rel,481.9,Faivre et al._2014_3_cong
1:00 AM,rel,783.9,Faivre et al._2014_3_cong
1:00 AM,unrel,571.1,Faivre et al._2014_3_cong
1:00 AM,unrel,732.5,Faivre et al._2014_3_cong
1:00 AM,rel,568.5,Faivre et al._2014_3_incong
1:00 AM,unrel,693.6,Faivre et al._2014_3_incong
1:00 AM,unrel,927,Faivre et al._2014_3_incong
1:00 AM,rel,605.8,Faivre et al._2014_3_cong
1:00 AM,rel,925.7,Faivre et al._2014_3_incong
1:00 AM,unrel,1272.1,Faivre et al._2014_3_incong
1:00 AM,rel,747.3,Faivre et al._2014_3_cong
1:00 AM,unrel,408.7,Faivre et al._2014_3_cong
1:00 AM,unrel,1060.9,Faivre et al._2014_3_incong
1:00 AM,unrel,631.6,Faivre et al._2014_3_cong
1:00 AM,unrel,913,Faivre et al._2014_3_incong
1:00 AM,unrel,632.1,Faivre et al._2014_3_cong
1:00 AM,rel,580,Faivre et al._2014_3_incong
1:00 AM,rel,751.2,Faivre et al._2014_3_incong
1:00 AM,rel,996,Faivre et al._2014_3_incong
1:00 AM,rel,1139.4,Faivre et al._2014_3_incong
1:00 AM,rel,679.3,Faivre et al._2014_3_incong
1:00 AM,rel,703.7,Faivre et al._2014_3_cong
1:00 AM,unrel,833.1,Faivre et al._2014_3_cong
1:00 AM,unrel,1295,Faivre et al._2014_3_incong
1:00 AM,unrel,677.7,Faivre et al._2014_3_incong
1:00 AM,rel,1114.6,Faivre et al._2014_3_cong
1:00 AM,unrel,713.7,Faivre et al._2014_3_incong
1:00 AM,unrel,1056.9,Faivre et al._2014_3_cong
1:00 AM,unrel,1614.5,Faivre et al._2014_3_incong
1:00 AM,rel,2006.8,Faivre et al._2014_3_cong
1:00 AM,rel,979.3,Faivre et al._2014_3_incong
1:00 AM,rel,1466,Faivre et al._2014_3_cong
1:00 AM,rel,1676.5,Faivre et al._2014_3_incong
1:00 AM,unrel,942.5,Faivre et al._2014_3_incong
