idv,iv,dv,exp
201,cong,0.7205,Noel et al_2020_AV
201,cong,0.7201,Noel et al_2020_A
201,cong,0.5947,Noel et al_2020_V
201,incong,0.607,Noel et al_2020_A
201,cong,0.6284,Noel et al_2020_V
201,cong,0.5862,Noel et al_2020_V
201,incong,0.7129,Noel et al_2020_A
201,incong,0.6089,Noel et al_2020_V
201,cong,0.6739,Noel et al_2020_V
201,cong,0.6809,Noel et al_2020_A
201,cong,0.7024,Noel et al_2020_AV
201,cong,0.7078,Noel et al_2020_A
201,cong,0.6931,Noel et al_2020_V
201,cong,0.6581,Noel et al_2020_AV
201,cong,0.6615,Noel et al_2020_A
201,cong,0.6755,Noel et al_2020_AV
201,incong,0.6845,Noel et al_2020_A
201,cong,0.665,Noel et al_2020_AV
201,incong,0.6869,Noel et al_2020_AV
201,incong,0.6329,Noel et al_2020_AV
201,cong,0.6839,Noel et al_2020_AV
201,cong,0.7115,Noel et al_2020_V
201,cong,0.7084,Noel et al_2020_AV
201,cong,0.6321,Noel et al_2020_A
201,incong,0.6672,Noel et al_2020_V
201,cong,0.6722,Noel et al_2020_AV
201,incong,0.5371,Noel et al_2020_AV
201,incong,0.6464,Noel et al_2020_V
201,cong,0.6838,Noel et al_2020_A
201,cong,0.6719,Noel et al_2020_V
201,cong,0.7182,Noel et al_2020_A
201,cong,0.6818,Noel et al_2020_A
201,cong,0.5194,Noel et al_2020_V
201,incong,0.6092,Noel et al_2020_V
201,cong,0.5728,Noel et al_2020_A
201,cong,0.5888,Noel et al_2020_A
201,cong,0.5974,Noel et al_2020_AV
201,cong,0.725,Noel et al_2020_V
201,cong,0.6782,Noel et al_2020_V
201,cong,0.6588,Noel et al_2020_A
201,cong,0.5165,Noel et al_2020_A
201,cong,0.725,Noel et al_2020_V
201,cong,0.6539,Noel et al_2020_AV
201,cong,0.6595,Noel et al_2020_A
201,cong,0.7356,Noel et al_2020_V
201,cong,0.6948,Noel et al_2020_AV
201,cong,0.6827,Noel et al_2020_V
201,cong,0.6444,Noel et al_2020_V
201,cong,0.5339,Noel et al_2020_V
201,cong,0.6605,Noel et al_2020_AV
201,cong,0.5415,Noel et al_2020_V
201,cong,0.6333,Noel et al_2020_A
201,incong,0.5985,Noel et al_2020_AV
201,cong,0.5142,Noel et al_2020_AV
201,incong,0.5604,Noel et al_2020_A
201,incong,0.4014,Noel et al_2020_AV
201,incong,0.5076,Noel et al_2020_V
201,cong,0.466,Noel et al_2020_A
201,cong,0.4928,Noel et al_2020_AV
201,cong,0.5139,Noel et al_2020_AV
201,incong,0.4071,Noel et al_2020_V
201,cong,0.524,Noel et al_2020_A
201,incong,0.3389,Noel et al_2020_A
201,cong,0.5016,Noel et al_2020_V
201,cong,0.37367,Noel et al_2020_A
201,cong,0.4674,Noel et al_2020_V
201,cong,0.5188,Noel et al_2020_AV
201,cong,0.6841,Noel et al_2020_V
201,cong,0.5213,Noel et al_2020_A
201,cong,0.5531,Noel et al_2020_A
201,cong,0.6035,Noel et al_2020_A
201,cong,0.4865,Noel et al_2020_AV
201,cong,0.4305,Noel et al_2020_V
201,cong,0.37991,Noel et al_2020_V
201,incong,0.4065,Noel et al_2020_AV
201,cong,0.4538,Noel et al_2020_AV
201,cong,0.4832,Noel et al_2020_V
201,cong,0.4238,Noel et al_2020_A
201,cong,0.4598,Noel et al_2020_AV
201,cong,0.4643,Noel et al_2020_A
201,incong,0.34809,Noel et al_2020_V
201,incong,0.31673,Noel et al_2020_V
201,incong,0.4492,Noel et al_2020_AV
201,cong,0.34941,Noel et al_2020_V
201,cong,0.31681,Noel et al_2020_V
201,incong,0.3913,Noel et al_2020_AV
201,cong,0.3495,Noel et al_2020_AV
201,incong,0.28971,Noel et al_2020_A
201,cong,0.3948,Noel et al_2020_A
201,cong,0.38275,Noel et al_2020_A
201,cong,0.4671,Noel et al_2020_V
201,cong,0.5003,Noel et al_2020_A
201,cong,0.3905,Noel et al_2020_V
201,cong,0.3464,Noel et al_2020_V
201,cong,0.4083,Noel et al_2020_V
201,cong,0.35455,Noel et al_2020_AV
201,cong,0.4265,Noel et al_2020_AV
201,incong,0.27827,Noel et al_2020_AV
201,cong,0.3988,Noel et al_2020_V
201,cong,0.4587,Noel et al_2020_V
201,cong,0.4203,Noel et al_2020_AV
201,incong,0.4701,Noel et al_2020_V
201,cong,0.4001,Noel et al_2020_V
201,incong,0.33764,Noel et al_2020_A
201,cong,0.3775,Noel et al_2020_AV
201,cong,0.4958,Noel et al_2020_AV
201,cong,0.4915,Noel et al_2020_V
201,cong,0.4109,Noel et al_2020_A
201,incong,0.4619,Noel et al_2020_A
201,cong,0.37483,Noel et al_2020_A
201,cong,0.35228,Noel et al_2020_AV
201,cong,0.37515,Noel et al_2020_AV
201,cong,0.4249,Noel et al_2020_A
201,cong,0.4,Noel et al_2020_A
201,cong,0.37181,Noel et al_2020_A
201,cong,0.406,Noel et al_2020_V
201,cong,0.37494,Noel et al_2020_V
201,cong,0.36292,Noel et al_2020_AV
201,cong,0.4679,Noel et al_2020_V
201,incong,0.4271,Noel et al_2020_A
201,incong,0.34196,Noel et al_2020_V
201,cong,0.4846,Noel et al_2020_V
201,incong,0.5359,Noel et al_2020_V
201,cong,0.5437,Noel et al_2020_AV
201,cong,0.34133,Noel et al_2020_AV
201,incong,0.4036,Noel et al_2020_AV
201,cong,0.3967,Noel et al_2020_V
201,cong,0.28727,Noel et al_2020_AV
201,cong,0.36448,Noel et al_2020_A
201,cong,0.4201,Noel et al_2020_A
201,cong,0.35312,Noel et al_2020_AV
201,cong,0.4163,Noel et al_2020_AV
201,cong,0.32361,Noel et al_2020_V
201,cong,0.7055,Noel et al_2020_V
201,cong,0.4671,Noel et al_2020_A
201,cong,0.434,Noel et al_2020_A
201,cong,0.38432,Noel et al_2020_AV
201,cong,0.31921,Noel et al_2020_A
201,incong,0.3579,Noel et al_2020_AV
201,incong,0.33646,Noel et al_2020_V
201,cong,0.5162,Noel et al_2020_V
201,cong,0.489,Noel et al_2020_AV
201,cong,0.33951,Noel et al_2020_AV
201,cong,0.35475,Noel et al_2020_AV
201,cong,0.4504,Noel et al_2020_AV
201,incong,0.37629,Noel et al_2020_AV
201,cong,0.34195,Noel et al_2020_A
201,cong,0.37029,Noel et al_2020_V
201,cong,0.37622,Noel et al_2020_AV
201,cong,0.30394,Noel et al_2020_A
201,incong,0.26929,Noel et al_2020_AV
201,cong,0.416,Noel et al_2020_AV
201,cong,0.28446,Noel et al_2020_A
201,cong,0.3639,Noel et al_2020_AV
201,cong,0.4365,Noel et al_2020_V
201,cong,0.3977,Noel et al_2020_V
201,cong,0.4407,Noel et al_2020_V
201,cong,0.4769,Noel et al_2020_A
201,cong,0.4867,Noel et al_2020_AV
201,cong,0.35051,Noel et al_2020_A
201,cong,0.37704,Noel et al_2020_A
201,cong,0.36627,Noel et al_2020_V
201,cong,0.31148,Noel et al_2020_AV
201,cong,0.37189,Noel et al_2020_AV
201,cong,0.33725,Noel et al_2020_AV
201,incong,0.32974,Noel et al_2020_A
201,incong,0.36165,Noel et al_2020_AV
201,cong,0.37834,Noel et al_2020_A
