"","idv","iv","exp","dv"
"1",100,1,"Skora et al_2020_1",1
"2",100,0,"Skora et al_2020_1",0
"3",100,1,"Skora et al_2020_1",1
"4",100,1,"Skora et al_2020_1",0
"5",100,1,"Skora et al_2020_1",1
"6",100,0,"Skora et al_2020_1",0
"7",100,1,"Skora et al_2020_1",0
"8",100,0,"Skora et al_2020_1",1
"9",100,0,"Skora et al_2020_1",1
"10",100,0,"Skora et al_2020_1",0
"11",100,1,"Skora et al_2020_1",0
"12",100,0,"Skora et al_2020_1",0
"13",100,1,"Skora et al_2020_1",1
"14",100,1,"Skora et al_2020_1",0
"15",100,0,"Skora et al_2020_1",0
"16",100,1,"Skora et al_2020_1",0
"17",100,1,"Skora et al_2020_1",1
"18",100,1,"Skora et al_2020_1",0
"19",100,1,"Skora et al_2020_1",0
"20",100,0,"Skora et al_2020_1",1
"21",100,1,"Skora et al_2020_1",0
"22",100,0,"Skora et al_2020_1",1
"23",100,0,"Skora et al_2020_1",1
"24",100,1,"Skora et al_2020_1",1
"25",100,1,"Skora et al_2020_1",1
"26",100,1,"Skora et al_2020_1",0
"27",100,0,"Skora et al_2020_1",0
"28",100,1,"Skora et al_2020_1",1
"29",100,0,"Skora et al_2020_1",0
"30",100,1,"Skora et al_2020_1",0
"31",100,1,"Skora et al_2020_1",0
"32",100,1,"Skora et al_2020_1",1
"33",100,1,"Skora et al_2020_1",0
"34",100,0,"Skora et al_2020_1",0
"35",100,1,"Skora et al_2020_1",1
"36",100,0,"Skora et al_2020_1",0
"37",100,0,"Skora et al_2020_1",1
"38",100,0,"Skora et al_2020_1",1
"39",100,0,"Skora et al_2020_1",0
"40",100,0,"Skora et al_2020_1",1
"41",100,0,"Skora et al_2020_1",0
"42",100,1,"Skora et al_2020_1",0
"43",100,0,"Skora et al_2020_1",1
"44",100,0,"Skora et al_2020_1",1
"45",100,0,"Skora et al_2020_1",1
"46",100,0,"Skora et al_2020_1",0
"47",100,0,"Skora et al_2020_1",0
"48",100,0,"Skora et al_2020_1",0
"49",100,0,"Skora et al_2020_1",1
"50",100,1,"Skora et al_2020_1",0
"51",100,1,"Skora et al_2020_1",0
"52",100,1,"Skora et al_2020_1",1
"53",100,0,"Skora et al_2020_1",0
"54",100,1,"Skora et al_2020_1",1
"55",100,0,"Skora et al_2020_1",0
"56",100,0,"Skora et al_2020_1",0
"57",100,1,"Skora et al_2020_1",1
"58",100,0,"Skora et al_2020_1",0
"59",100,0,"Skora et al_2020_1",0
"60",100,0,"Skora et al_2020_1",1
"61",100,0,"Skora et al_2020_1",1
"62",100,1,"Skora et al_2020_1",1
"63",100,0,"Skora et al_2020_1",1
"64",100,1,"Skora et al_2020_1",0
"65",100,0,"Skora et al_2020_1",0
"66",100,0,"Skora et al_2020_1",0
"67",100,0,"Skora et al_2020_1",1
"68",100,0,"Skora et al_2020_1",1
"69",100,1,"Skora et al_2020_1",0
"70",100,0,"Skora et al_2020_1",0
"71",100,1,"Skora et al_2020_1",0
"72",100,0,"Skora et al_2020_1",1
"73",100,0,"Skora et al_2020_1",1
"74",100,1,"Skora et al_2020_1",1
"75",100,0,"Skora et al_2020_1",0
"76",100,1,"Skora et al_2020_1",0
"77",100,0,"Skora et al_2020_1",0
"78",100,1,"Skora et al_2020_1",1
"79",100,1,"Skora et al_2020_1",0
"80",100,0,"Skora et al_2020_1",0
"81",100,0,"Skora et al_2020_1",1
"82",100,1,"Skora et al_2020_1",0
"83",100,1,"Skora et al_2020_1",1
"84",100,0,"Skora et al_2020_1",0
"85",100,1,"Skora et al_2020_1",0
"86",100,1,"Skora et al_2020_1",1
"87",100,1,"Skora et al_2020_1",0
"88",100,0,"Skora et al_2020_1",0
"89",100,0,"Skora et al_2020_1",1
"90",100,1,"Skora et al_2020_1",1
"91",100,0,"Skora et al_2020_1",1
"92",100,0,"Skora et al_2020_1",0
"93",100,0,"Skora et al_2020_1",1
"94",100,0,"Skora et al_2020_1",0
"95",100,0,"Skora et al_2020_1",1
"96",100,0,"Skora et al_2020_1",0
"97",100,0,"Skora et al_2020_1",1
"98",100,1,"Skora et al_2020_1",1
"99",100,0,"Skora et al_2020_1",1
"100",100,0,"Skora et al_2020_1",0
"101",100,1,"Skora et al_2020_1",0
"102",100,0,"Skora et al_2020_1",0
"103",100,1,"Skora et al_2020_1",0
"104",100,1,"Skora et al_2020_1",0
"105",100,1,"Skora et al_2020_1",0
"106",100,0,"Skora et al_2020_1",1
"107",100,0,"Skora et al_2020_1",1
"108",100,1,"Skora et al_2020_1",1
"109",100,0,"Skora et al_2020_1",1
"110",100,1,"Skora et al_2020_1",0
"111",100,1,"Skora et al_2020_1",1
"112",100,0,"Skora et al_2020_1",0
"113",100,1,"Skora et al_2020_1",1
"114",100,1,"Skora et al_2020_1",1
"115",100,1,"Skora et al_2020_1",1
"116",100,1,"Skora et al_2020_1",1
"117",100,1,"Skora et al_2020_1",1
"118",100,1,"Skora et al_2020_1",1
"119",100,1,"Skora et al_2020_1",0
"120",100,0,"Skora et al_2020_1",0
"121",100,1,"Skora et al_2020_1",1
"122",100,0,"Skora et al_2020_1",1
"123",100,1,"Skora et al_2020_1",0
"124",100,0,"Skora et al_2020_1",0
"125",100,1,"Skora et al_2020_1",1
"126",100,0,"Skora et al_2020_1",0
"127",100,0,"Skora et al_2020_1",1
"128",100,0,"Skora et al_2020_1",0
"129",100,0,"Skora et al_2020_1",1
"130",100,0,"Skora et al_2020_1",1
"131",100,0,"Skora et al_2020_1",0
"132",100,0,"Skora et al_2020_1",1
"133",100,1,"Skora et al_2020_1",0
"134",100,1,"Skora et al_2020_1",1
"135",100,1,"Skora et al_2020_1",0
"136",100,1,"Skora et al_2020_1",1
"137",100,1,"Skora et al_2020_1",1
"138",100,0,"Skora et al_2020_1",1
"139",100,0,"Skora et al_2020_1",1
"140",100,1,"Skora et al_2020_1",0
"141",100,0,"Skora et al_2020_1",0
"142",100,1,"Skora et al_2020_1",1
"143",100,1,"Skora et al_2020_1",0
