"","idv","iv","iv2","exp","dv"
"1",1,1,2,"Stein & van Peelen_2020_3_2",1
"2",1,1,2,"Stein & van Peelen_2020_3_2",1
"3",1,2,1,"Stein & van Peelen_2020_3_2",2
"4",1,1,1,"Stein & van Peelen_2020_3_2",1
"5",1,2,1,"Stein & van Peelen_2020_3_2",1
"6",1,1,1,"Stein & van Peelen_2020_3_2",2
"7",1,2,2,"Stein & van Peelen_2020_3_1",1
"8",1,2,2,"Stein & van Peelen_2020_3_1",2
"9",1,1,1,"Stein & van Peelen_2020_3_2",1
"10",1,2,2,"Stein & van Peelen_2020_3_1",2
"11",1,2,2,"Stein & van Peelen_2020_3_2",1
"12",1,2,2,"Stein & van Peelen_2020_3_1",1
"13",1,2,2,"Stein & van Peelen_2020_3_1",1
"14",1,1,2,"Stein & van Peelen_2020_3_1",1
"15",1,2,1,"Stein & van Peelen_2020_3_2",1
"16",1,1,1,"Stein & van Peelen_2020_3_2",1
"17",1,2,2,"Stein & van Peelen_2020_3_1",1
"18",1,2,1,"Stein & van Peelen_2020_3_1",1
"19",1,1,1,"Stein & van Peelen_2020_3_2",1
"20",1,2,2,"Stein & van Peelen_2020_3_1",1
"21",1,1,1,"Stein & van Peelen_2020_3_1",1
"22",1,2,1,"Stein & van Peelen_2020_3_1",1
"23",1,1,2,"Stein & van Peelen_2020_3_1",1
"24",1,1,1,"Stein & van Peelen_2020_3_1",2
"25",1,1,1,"Stein & van Peelen_2020_3_1",2
"26",1,1,1,"Stein & van Peelen_2020_3_2",1
"27",1,2,2,"Stein & van Peelen_2020_3_2",1
"28",1,1,2,"Stein & van Peelen_2020_3_2",1
"29",1,1,2,"Stein & van Peelen_2020_3_2",1
"30",1,2,1,"Stein & van Peelen_2020_3_2",1
"31",1,2,2,"Stein & van Peelen_2020_3_2",2
"32",1,2,2,"Stein & van Peelen_2020_3_1",1
"33",1,2,2,"Stein & van Peelen_2020_3_2",1
"34",1,2,1,"Stein & van Peelen_2020_3_2",1
"35",1,1,1,"Stein & van Peelen_2020_3_2",2
"36",1,2,1,"Stein & van Peelen_2020_3_2",2
"37",1,2,1,"Stein & van Peelen_2020_3_2",1
"38",1,2,2,"Stein & van Peelen_2020_3_2",1
"39",1,1,2,"Stein & van Peelen_2020_3_1",1
"40",1,2,2,"Stein & van Peelen_2020_3_2",1
"41",1,1,1,"Stein & van Peelen_2020_3_2",1
"42",1,1,2,"Stein & van Peelen_2020_3_2",1
"43",1,2,1,"Stein & van Peelen_2020_3_2",2
"44",1,1,2,"Stein & van Peelen_2020_3_1",1
"45",1,1,1,"Stein & van Peelen_2020_3_1",1
"46",1,2,2,"Stein & van Peelen_2020_3_2",1
"47",1,1,1,"Stein & van Peelen_2020_3_2",1
"48",1,1,1,"Stein & van Peelen_2020_3_1",2
"49",1,1,1,"Stein & van Peelen_2020_3_1",1
"50",1,2,2,"Stein & van Peelen_2020_3_2",2
"51",1,1,1,"Stein & van Peelen_2020_3_2",1
"52",1,1,2,"Stein & van Peelen_2020_3_2",2
"53",1,2,1,"Stein & van Peelen_2020_3_2",1
"54",1,1,2,"Stein & van Peelen_2020_3_1",1
"55",1,2,1,"Stein & van Peelen_2020_3_2",1
"56",1,2,2,"Stein & van Peelen_2020_3_2",1
"57",1,2,2,"Stein & van Peelen_2020_3_1",1
"58",1,1,2,"Stein & van Peelen_2020_3_2",1
"59",1,1,2,"Stein & van Peelen_2020_3_1",1
"60",1,2,1,"Stein & van Peelen_2020_3_2",1
"61",1,2,2,"Stein & van Peelen_2020_3_1",1
"62",1,2,2,"Stein & van Peelen_2020_3_2",1
"63",1,2,1,"Stein & van Peelen_2020_3_2",1
"64",1,2,2,"Stein & van Peelen_2020_3_1",1
"65",1,2,2,"Stein & van Peelen_2020_3_2",1
"66",1,2,2,"Stein & van Peelen_2020_3_2",1
"67",1,2,2,"Stein & van Peelen_2020_3_2",1
"68",1,2,1,"Stein & van Peelen_2020_3_1",1
"69",1,1,1,"Stein & van Peelen_2020_3_1",1
"70",1,1,1,"Stein & van Peelen_2020_3_1",1
"71",1,2,1,"Stein & van Peelen_2020_3_1",1
"72",1,1,1,"Stein & van Peelen_2020_3_2",1
"73",1,1,1,"Stein & van Peelen_2020_3_2",1
"74",1,2,1,"Stein & van Peelen_2020_3_1",2
