"","idv","iv","exp","dv"
"1",100,"Incongruent","Zerweck et al_2021_1",495
"2",100,"Congruent","Zerweck et al_2021_1",552
"3",100,"Incongruent","Zerweck et al_2021_1",435
"4",100,"Congruent","Zerweck et al_2021_1",431
"5",100,"Incongruent","Zerweck et al_2021_1",425
"6",100,"Congruent","Zerweck et al_2021_1",428
"7",100,"Congruent","Zerweck et al_2021_1",385
"8",100,"Congruent","Zerweck et al_2021_1",382
"9",100,"Congruent","Zerweck et al_2021_1",468
"10",100,"Congruent","Zerweck et al_2021_1",482
"11",100,"Incongruent","Zerweck et al_2021_1",448
"12",100,"Incongruent","Zerweck et al_2021_1",481
"13",100,"Congruent","Zerweck et al_2021_1",392
"14",100,"Congruent","Zerweck et al_2021_1",430
"15",100,"Congruent","Zerweck et al_2021_1",405
"16",100,"Incongruent","Zerweck et al_2021_1",441
"17",100,"Congruent","Zerweck et al_2021_1",545
"18",100,"Incongruent","Zerweck et al_2021_1",479
"19",100,"Congruent","Zerweck et al_2021_1",422
"20",100,"Incongruent","Zerweck et al_2021_1",485
"21",100,"Congruent","Zerweck et al_2021_1",448
"22",100,"Congruent","Zerweck et al_2021_1",464
"23",100,"Congruent","Zerweck et al_2021_1",656
"24",100,"Incongruent","Zerweck et al_2021_1",643
"25",100,"Incongruent","Zerweck et al_2021_1",508
"26",100,"Incongruent","Zerweck et al_2021_1",540
"27",100,"Congruent","Zerweck et al_2021_1",468
"28",100,"Incongruent","Zerweck et al_2021_1",502
"29",100,"Incongruent","Zerweck et al_2021_1",510
"30",100,"Incongruent","Zerweck et al_2021_1",471
"31",100,"Incongruent","Zerweck et al_2021_1",497
"32",100,"Incongruent","Zerweck et al_2021_1",433
"33",100,"Congruent","Zerweck et al_2021_1",542
"34",100,"Incongruent","Zerweck et al_2021_1",472
"35",100,"Incongruent","Zerweck et al_2021_1",537
"36",100,"Incongruent","Zerweck et al_2021_1",511
"37",100,"Congruent","Zerweck et al_2021_1",432
"38",100,"Congruent","Zerweck et al_2021_1",391
"39",100,"Incongruent","Zerweck et al_2021_1",496
"40",100,"Incongruent","Zerweck et al_2021_1",490
"41",100,"Congruent","Zerweck et al_2021_1",366
"42",100,"Incongruent","Zerweck et al_2021_1",482
"43",100,"Congruent","Zerweck et al_2021_1",426
"44",100,"Congruent","Zerweck et al_2021_1",422
"45",100,"Congruent","Zerweck et al_2021_1",517
"46",100,"Incongruent","Zerweck et al_2021_1",397
"47",100,"Incongruent","Zerweck et al_2021_1",466
"48",100,"Incongruent","Zerweck et al_2021_1",470
"49",100,"Incongruent","Zerweck et al_2021_1",596
"50",100,"Incongruent","Zerweck et al_2021_1",416
"51",100,"Congruent","Zerweck et al_2021_1",376
"52",100,"Congruent","Zerweck et al_2021_1",353
"53",100,"Congruent","Zerweck et al_2021_1",344
"54",100,"Incongruent","Zerweck et al_2021_1",381
"55",100,"Incongruent","Zerweck et al_2021_1",343
"56",100,"Congruent","Zerweck et al_2021_1",492
"57",100,"Congruent","Zerweck et al_2021_1",329
"58",100,"Congruent","Zerweck et al_2021_1",601
"59",100,"Incongruent","Zerweck et al_2021_1",410
"60",100,"Congruent","Zerweck et al_2021_1",477
"61",100,"Congruent","Zerweck et al_2021_1",505
"62",100,"Incongruent","Zerweck et al_2021_1",502
"63",100,"Incongruent","Zerweck et al_2021_1",558
"64",100,"Congruent","Zerweck et al_2021_1",436
"65",100,"Congruent","Zerweck et al_2021_1",521
"66",100,"Incongruent","Zerweck et al_2021_1",390
"67",100,"Incongruent","Zerweck et al_2021_1",451
"68",100,"Congruent","Zerweck et al_2021_1",388
"69",100,"Congruent","Zerweck et al_2021_1",391
"70",100,"Congruent","Zerweck et al_2021_1",480
"71",100,"Congruent","Zerweck et al_2021_1",452
"72",100,"Congruent","Zerweck et al_2021_1",409
"73",100,"Congruent","Zerweck et al_2021_1",442
"74",100,"Incongruent","Zerweck et al_2021_1",430
"75",100,"Congruent","Zerweck et al_2021_1",414
"76",100,"Congruent","Zerweck et al_2021_1",465
"77",100,"Incongruent","Zerweck et al_2021_1",515
"78",100,"Incongruent","Zerweck et al_2021_1",402
"79",100,"Incongruent","Zerweck et al_2021_1",423
"80",100,"Congruent","Zerweck et al_2021_1",389
"81",100,"Congruent","Zerweck et al_2021_1",367
"82",100,"Incongruent","Zerweck et al_2021_1",554
"83",100,"Congruent","Zerweck et al_2021_1",480
"84",100,"Incongruent","Zerweck et al_2021_1",518
"85",100,"Incongruent","Zerweck et al_2021_1",488
"86",100,"Incongruent","Zerweck et al_2021_1",439
"87",100,"Congruent","Zerweck et al_2021_1",477
"88",100,"Congruent","Zerweck et al_2021_1",428
"89",100,"Incongruent","Zerweck et al_2021_1",382
"90",100,"Congruent","Zerweck et al_2021_1",377
"91",100,"Congruent","Zerweck et al_2021_1",366
"92",100,"Incongruent","Zerweck et al_2021_1",379
"93",100,"Incongruent","Zerweck et al_2021_1",384
"94",100,"Congruent","Zerweck et al_2021_1",343
"95",100,"Incongruent","Zerweck et al_2021_1",471
"96",100,"Incongruent","Zerweck et al_2021_1",482
"97",100,"Incongruent","Zerweck et al_2021_1",434
"98",100,"Incongruent","Zerweck et al_2021_1",471
"99",100,"Incongruent","Zerweck et al_2021_1",462
"100",100,"Congruent","Zerweck et al_2021_1",432
"101",100,"Congruent","Zerweck et al_2021_1",451
"102",100,"Congruent","Zerweck et al_2021_1",394
"103",100,"Incongruent","Zerweck et al_2021_1",469
"104",100,"Incongruent","Zerweck et al_2021_1",453
"105",100,"Congruent","Zerweck et al_2021_1",432
"106",100,"Congruent","Zerweck et al_2021_1",394
"107",100,"Incongruent","Zerweck et al_2021_1",389
"108",100,"Congruent","Zerweck et al_2021_1",393
"109",100,"Congruent","Zerweck et al_2021_1",440
"110",100,"Incongruent","Zerweck et al_2021_1",467
"111",100,"Congruent","Zerweck et al_2021_1",427
"112",100,"Incongruent","Zerweck et al_2021_1",400
"113",100,"Incongruent","Zerweck et al_2021_1",487
"114",100,"Congruent","Zerweck et al_2021_1",409
"115",100,"Incongruent","Zerweck et al_2021_1",444
"116",100,"Congruent","Zerweck et al_2021_1",417
"117",100,"Incongruent","Zerweck et al_2021_1",435
"118",100,"Incongruent","Zerweck et al_2021_1",448
"119",100,"Congruent","Zerweck et al_2021_1",442
"120",100,"Congruent","Zerweck et al_2021_1",433
"121",100,"Congruent","Zerweck et al_2021_1",433
"122",100,"Incongruent","Zerweck et al_2021_1",526
"123",100,"Congruent","Zerweck et al_2021_1",447
"124",100,"Incongruent","Zerweck et al_2021_1",452
"125",100,"Incongruent","Zerweck et al_2021_1",503
"126",100,"Congruent","Zerweck et al_2021_1",540
"127",100,"Incongruent","Zerweck et al_2021_1",417
"128",100,"Incongruent","Zerweck et al_2021_1",510
"129",100,"Incongruent","Zerweck et al_2021_1",435
"130",100,"Congruent","Zerweck et al_2021_1",385
"131",100,"Incongruent","Zerweck et al_2021_1",435
"132",100,"Congruent","Zerweck et al_2021_1",576
"133",100,"Incongruent","Zerweck et al_2021_1",392
"134",100,"Congruent","Zerweck et al_2021_1",344
"135",100,"Congruent","Zerweck et al_2021_1",395
"136",100,"Congruent","Zerweck et al_2021_1",430
"137",100,"Incongruent","Zerweck et al_2021_1",413
"138",100,"Incongruent","Zerweck et al_2021_1",446
"139",100,"Congruent","Zerweck et al_2021_1",466
"140",100,"Incongruent","Zerweck et al_2021_1",387
"141",100,"Incongruent","Zerweck et al_2021_1",436
