idv,iv,dv,exp
201,1,2.749797724,Biderman & Mudrik_2018_3
201,2,1.774087989,Biderman & Mudrik_2018_3
201,1,2.797302013,Biderman & Mudrik_2018_3
201,1,2.400951312,Biderman & Mudrik_2018_3
201,2,2.361307717,Biderman & Mudrik_2018_3
201,1,1.795291794,Biderman & Mudrik_2018_3
201,1,2.165014149,Biderman & Mudrik_2018_3
201,1,1.768876986,Biderman & Mudrik_2018_3
201,2,2.2188111,Biderman & Mudrik_2018_3
201,2,2.050512918,Biderman & Mudrik_2018_3
201,2,1.978055513,Biderman & Mudrik_2018_3
201,2,1.62980866,Biderman & Mudrik_2018_3
201,1,2.598231315,Biderman & Mudrik_2018_3
201,2,2.363423992,Biderman & Mudrik_2018_3
201,1,2.435985458,Biderman & Mudrik_2018_3
201,2,3.057118331,Biderman & Mudrik_2018_3
201,1,2.379950496,Biderman & Mudrik_2018_3
201,1,1.422631799,Biderman & Mudrik_2018_3
201,2,2.268348986,Biderman & Mudrik_2018_3
201,2,2.029274046,Biderman & Mudrik_2018_3
201,2,2.656365161,Biderman & Mudrik_2018_3
201,2,2.957749478,Biderman & Mudrik_2018_3
201,2,3.666052758,Biderman & Mudrik_2018_3
201,1,3.491780938,Biderman & Mudrik_2018_3
201,1,1.738033196,Biderman & Mudrik_2018_3
201,1,1.361914404,Biderman & Mudrik_2018_3
201,1,1.563658741,Biderman & Mudrik_2018_3
201,2,2.311187093,Biderman & Mudrik_2018_3
201,2,2.097670244,Biderman & Mudrik_2018_3
201,1,2.228853642,Biderman & Mudrik_2018_3
201,2,1.748585491,Biderman & Mudrik_2018_3
201,2,1.714891586,Biderman & Mudrik_2018_3
201,1,2.415544572,Biderman & Mudrik_2018_3
201,2,2.946551153,Biderman & Mudrik_2018_3
201,2,2.069953398,Biderman & Mudrik_2018_3
201,1,1.117095044,Biderman & Mudrik_2018_3
201,1,1.453314224,Biderman & Mudrik_2018_3
201,1,0.908106391,Biderman & Mudrik_2018_3
201,1,1.293490266,Biderman & Mudrik_2018_3
201,1,1.937458554,Biderman & Mudrik_2018_3
201,2,2.223817118,Biderman & Mudrik_2018_3
201,1,1.166234079,Biderman & Mudrik_2018_3
201,2,0.960508932,Biderman & Mudrik_2018_3
201,1,1.390399871,Biderman & Mudrik_2018_3
201,2,1.711579614,Biderman & Mudrik_2018_3
201,1,1.473724034,Biderman & Mudrik_2018_3
201,2,1.913778967,Biderman & Mudrik_2018_3
201,1,2.037493108,Biderman & Mudrik_2018_3
201,1,1.399903865,Biderman & Mudrik_2018_3
201,1,1.654287089,Biderman & Mudrik_2018_3
201,1,1.674535249,Biderman & Mudrik_2018_3
201,2,1.572774148,Biderman & Mudrik_2018_3
201,2,1.823664648,Biderman & Mudrik_2018_3
201,1,2.512250904,Biderman & Mudrik_2018_3
201,1,1.794447622,Biderman & Mudrik_2018_3
201,1,2.129320859,Biderman & Mudrik_2018_3
201,1,1.291121965,Biderman & Mudrik_2018_3
201,2,1.875767267,Biderman & Mudrik_2018_3
201,2,1.980700073,Biderman & Mudrik_2018_3
201,1,1.767151294,Biderman & Mudrik_2018_3
201,1,1.393568725,Biderman & Mudrik_2018_3
201,1,1.422145138,Biderman & Mudrik_2018_3
201,2,1.391932268,Biderman & Mudrik_2018_3
201,2,2.664898685,Biderman & Mudrik_2018_3
201,1,1.632736036,Biderman & Mudrik_2018_3
201,1,1.46554232,Biderman & Mudrik_2018_3
201,2,1.26423247,Biderman & Mudrik_2018_3
201,1,1.401485869,Biderman & Mudrik_2018_3
201,1,1.128584168,Biderman & Mudrik_2018_3
201,1,1.573995503,Biderman & Mudrik_2018_3
201,2,1.155697179,Biderman & Mudrik_2018_3
