idv,iv,dv,exp
1 CM,unrel,632.4,Faivre et al._2014_2_cong
1 CM,unrel,1051,Faivre et al._2014_2_incong
1 CM,rel,822.8,Faivre et al._2014_2_incong
1 CM,rel,797.1,Faivre et al._2014_2_incong
1 CM,rel,635.4,Faivre et al._2014_2_incong
1 CM,unrel,662.5,Faivre et al._2014_2_cong
1 CM,unrel,642.5,Faivre et al._2014_2_incong
1 CM,rel,864,Faivre et al._2014_2_cong
1 CM,unrel,1449.2,Faivre et al._2014_2_incong
1 CM,unrel,568.9,Faivre et al._2014_2_cong
1 CM,rel,662.9,Faivre et al._2014_2_incong
1 CM,rel,764.1,Faivre et al._2014_2_incong
1 CM,unrel,774.2,Faivre et al._2014_2_cong
1 CM,rel,657.1,Faivre et al._2014_2_incong
1 CM,unrel,769.3,Faivre et al._2014_2_cong
1 CM,rel,846.5,Faivre et al._2014_2_incong
1 CM,unrel,776.2,Faivre et al._2014_2_incong
1 CM,unrel,755.9,Faivre et al._2014_2_cong
1 CM,rel,964,Faivre et al._2014_2_cong
1 CM,rel,642.8,Faivre et al._2014_2_incong
1 CM,unrel,709,Faivre et al._2014_2_cong
1 CM,unrel,702.4,Faivre et al._2014_2_incong
1 CM,unrel,649.3,Faivre et al._2014_2_cong
1 CM,unrel,491.8,Faivre et al._2014_2_cong
1 CM,unrel,580,Faivre et al._2014_2_incong
1 CM,rel,963.8,Faivre et al._2014_2_incong
1 CM,unrel,550.6,Faivre et al._2014_2_incong
1 CM,rel,608.2,Faivre et al._2014_2_cong
1 CM,unrel,606.1,Faivre et al._2014_2_incong
1 CM,rel,951.1,Faivre et al._2014_2_incong
1 CM,rel,824.5,Faivre et al._2014_2_cong
1 CM,rel,962.5,Faivre et al._2014_2_cong
1 CM,unrel,382.3,Faivre et al._2014_2_cong
1 CM,rel,1111.5,Faivre et al._2014_2_cong
1 CM,unrel,359.8,Faivre et al._2014_2_cong
1 CM,rel,474.7,Faivre et al._2014_2_cong
1 CM,rel,397.3,Faivre et al._2014_2_cong
