"","idv","iv","dv","exp"
"1",1,2,3470.80977243604,"Biderman & Mudrik_2018_1"
"2",1,2,2046.04174161796,"Biderman & Mudrik_2018_1"
"3",1,2,1355.76372069772,"Biderman & Mudrik_2018_1"
"4",1,1,1968.06713921251,"Biderman & Mudrik_2018_1"
"5",1,1,2453.00517906435,"Biderman & Mudrik_2018_1"
"6",1,2,2003.18282301305,"Biderman & Mudrik_2018_1"
"7",1,1,1803.48605220206,"Biderman & Mudrik_2018_1"
"8",1,1,2348.49260660121,"Biderman & Mudrik_2018_1"
"9",1,2,1868.16886183806,"Biderman & Mudrik_2018_1"
"10",1,2,1481.72186053125,"Biderman & Mudrik_2018_1"
"11",1,1,1678.43423580052,"Biderman & Mudrik_2018_1"
"12",1,2,2514.85840085661,"Biderman & Mudrik_2018_1"
"13",1,2,2025.31376352999,"Biderman & Mudrik_2018_1"
"14",1,2,1662.05199144315,"Biderman & Mudrik_2018_1"
"15",1,1,1303.22746920865,"Biderman & Mudrik_2018_1"
"16",1,1,2170.76626658672,"Biderman & Mudrik_2018_1"
"17",1,1,1688.31797898747,"Biderman & Mudrik_2018_1"
"18",1,2,1309.39782375935,"Biderman & Mudrik_2018_1"
"19",1,2,1955.64945385559,"Biderman & Mudrik_2018_1"
"20",1,1,2104.42818375304,"Biderman & Mudrik_2018_1"
"21",1,1,2689.45323524531,"Biderman & Mudrik_2018_1"
"22",1,2,3329.81390581699,"Biderman & Mudrik_2018_1"
"23",1,2,1920.95713911112,"Biderman & Mudrik_2018_1"
"24",1,1,1920.1702713035,"Biderman & Mudrik_2018_1"
"25",1,2,1428.61427459866,"Biderman & Mudrik_2018_1"
"26",1,1,1280.24979057955,"Biderman & Mudrik_2018_1"
"27",1,1,1835.82774212118,"Biderman & Mudrik_2018_1"
"28",1,2,1561.33291975129,"Biderman & Mudrik_2018_1"
"29",1,2,2639.67672281433,"Biderman & Mudrik_2018_1"
"30",1,1,2492.60886001866,"Biderman & Mudrik_2018_1"
"31",1,1,2639.11280088359,"Biderman & Mudrik_2018_1"
"32",1,1,1655.41806910187,"Biderman & Mudrik_2018_1"
"33",1,1,2018.4691544855,"Biderman & Mudrik_2018_1"
"34",1,2,1494.74537698552,"Biderman & Mudrik_2018_1"
"35",1,1,1671.93402396515,"Biderman & Mudrik_2018_1"
"36",1,2,1099.6177419438,"Biderman & Mudrik_2018_1"
"37",1,1,1615.82180071855,"Biderman & Mudrik_2018_1"
"38",1,1,1627.56580184214,"Biderman & Mudrik_2018_1"
"39",1,1,1953.85362772504,"Biderman & Mudrik_2018_1"
"40",1,1,1267.10653334158,"Biderman & Mudrik_2018_1"
"41",1,1,2870.86730502779,"Biderman & Mudrik_2018_1"
"42",1,2,1482.99424845027,"Biderman & Mudrik_2018_1"
"43",1,1,2476.10887052724,"Biderman & Mudrik_2018_1"
"44",1,1,1843.88600906823,"Biderman & Mudrik_2018_1"
"45",1,1,1574.66291560559,"Biderman & Mudrik_2018_1"
"46",1,1,3094.9817794608,"Biderman & Mudrik_2018_1"
"47",1,1,1933.79762332188,"Biderman & Mudrik_2018_1"
"48",1,2,1303.65226377035,"Biderman & Mudrik_2018_1"
"49",1,2,2193.25357838534,"Biderman & Mudrik_2018_1"
"50",1,1,1719.59625702584,"Biderman & Mudrik_2018_1"
"51",1,2,1496.63557013264,"Biderman & Mudrik_2018_1"
"52",1,2,1262.45631597703,"Biderman & Mudrik_2018_1"
"53",1,2,2911.88278637128,"Biderman & Mudrik_2018_1"
"54",1,2,2646.82153897593,"Biderman & Mudrik_2018_1"
"55",1,2,2087.37596141873,"Biderman & Mudrik_2018_1"
"56",1,2,1015.9816830419,"Biderman & Mudrik_2018_1"
"57",1,2,1656.36858256767,"Biderman & Mudrik_2018_1"
"58",1,1,1529.92748841643,"Biderman & Mudrik_2018_1"
"59",1,2,1185.95110357273,"Biderman & Mudrik_2018_1"
"60",1,1,1634.67954238877,"Biderman & Mudrik_2018_1"
"61",1,1,2652.77350920951,"Biderman & Mudrik_2018_1"
"62",1,1,1316.61277380772,"Biderman & Mudrik_2018_1"
"63",1,1,1474.73612846807,"Biderman & Mudrik_2018_1"
"64",1,2,1517.31622219086,"Biderman & Mudrik_2018_1"
"65",1,1,2757.41009891499,"Biderman & Mudrik_2018_1"
"66",1,1,2261.91292109434,"Biderman & Mudrik_2018_1"
"67",1,2,1103.66754495772,"Biderman & Mudrik_2018_1"
"68",1,2,1735.03055382753,"Biderman & Mudrik_2018_1"
"69",1,1,2043.53516869014,"Biderman & Mudrik_2018_1"
"70",1,1,1418.21022942895,"Biderman & Mudrik_2018_1"
"71",1,1,779.791354609188,"Biderman & Mudrik_2018_1"
"72",1,1,2248.07944399072,"Biderman & Mudrik_2018_1"
"73",1,1,1574.71879461082,"Biderman & Mudrik_2018_1"
"74",1,1,1684.12391684251,"Biderman & Mudrik_2018_1"
"75",1,2,1406.08647902263,"Biderman & Mudrik_2018_1"
"76",1,1,1489.8456998053,"Biderman & Mudrik_2018_1"
"77",1,2,1585.65511583583,"Biderman & Mudrik_2018_1"
"78",1,2,858.750967192464,"Biderman & Mudrik_2018_1"
"79",1,1,2427.47445672285,"Biderman & Mudrik_2018_1"
"80",1,2,1277.24771911744,"Biderman & Mudrik_2018_1"
"81",1,1,1230.71789136156,"Biderman & Mudrik_2018_1"
"82",1,1,3472.23069594475,"Biderman & Mudrik_2018_1"
"83",1,1,3358.10835851589,"Biderman & Mudrik_2018_1"
"84",1,2,1452.39649695577,"Biderman & Mudrik_2018_1"
"85",1,2,1338.8526213821,"Biderman & Mudrik_2018_1"
"86",1,1,1711.08668146189,"Biderman & Mudrik_2018_1"
"87",1,1,1357.84008225892,"Biderman & Mudrik_2018_1"
"88",1,2,1521.20722620748,"Biderman & Mudrik_2018_1"
"89",1,2,1766.35245175567,"Biderman & Mudrik_2018_1"
"90",1,1,1393.39738135459,"Biderman & Mudrik_2018_1"
"91",1,2,1951.8294390291,"Biderman & Mudrik_2018_1"
"92",1,2,1321.0252202698,"Biderman & Mudrik_2018_1"
"93",1,1,772.601778211538,"Biderman & Mudrik_2018_1"
"94",1,2,934.992464899551,"Biderman & Mudrik_2018_1"
"95",1,2,1207.63301628176,"Biderman & Mudrik_2018_1"
"96",1,2,1567.43855733657,"Biderman & Mudrik_2018_1"
"97",1,2,1733.81290450925,"Biderman & Mudrik_2018_1"
"98",1,2,895.481155370362,"Biderman & Mudrik_2018_1"
"99",1,1,1282.57190570002,"Biderman & Mudrik_2018_1"
"100",1,1,1232.6662443229,"Biderman & Mudrik_2018_1"
"101",1,2,1010.95285691554,"Biderman & Mudrik_2018_1"
"102",1,1,991.024575952906,"Biderman & Mudrik_2018_1"
"103",1,2,1508.65611544577,"Biderman & Mudrik_2018_1"
"104",1,2,1287.54599328386,"Biderman & Mudrik_2018_1"
"105",1,1,1316.30943063647,"Biderman & Mudrik_2018_1"
"106",1,2,960.352129070088,"Biderman & Mudrik_2018_1"
"107",1,1,2078.97671841783,"Biderman & Mudrik_2018_1"
"108",1,2,1027.47194783296,"Biderman & Mudrik_2018_1"
"109",1,1,1006.95266079856,"Biderman & Mudrik_2018_1"
"110",1,1,1338.50907947635,"Biderman & Mudrik_2018_1"
"111",1,2,2379.15878137574,"Biderman & Mudrik_2018_1"
"112",1,2,1050.53686618339,"Biderman & Mudrik_2018_1"
"113",1,1,791.737489518709,"Biderman & Mudrik_2018_1"
"114",1,2,1303.21435473161,"Biderman & Mudrik_2018_1"
"115",1,1,2992.96209518798,"Biderman & Mudrik_2018_1"
"116",1,1,1795.99769413471,"Biderman & Mudrik_2018_1"
"117",1,1,1237.89378313813,"Biderman & Mudrik_2018_1"
"118",1,1,1007.50432349741,"Biderman & Mudrik_2018_1"
"119",1,2,766.650093020871,"Biderman & Mudrik_2018_1"
"120",1,2,956.477375584655,"Biderman & Mudrik_2018_1"
"121",1,2,1103.18487574114,"Biderman & Mudrik_2018_1"
"122",1,2,1651.5504430281,"Biderman & Mudrik_2018_1"
"123",1,1,2531.53115912573,"Biderman & Mudrik_2018_1"
"124",1,1,849.145763844717,"Biderman & Mudrik_2018_1"
"125",1,2,1480.74255225947,"Biderman & Mudrik_2018_1"
"126",1,2,853.701899119187,"Biderman & Mudrik_2018_1"
"127",1,2,857.460618135519,"Biderman & Mudrik_2018_1"
"128",1,1,801.280826795846,"Biderman & Mudrik_2018_1"
"129",1,2,997.708960436285,"Biderman & Mudrik_2018_1"
"130",1,2,823.53892060928,"Biderman & Mudrik_2018_1"
"131",1,1,735.748428094666,"Biderman & Mudrik_2018_1"
"132",1,1,2004.05265396694,"Biderman & Mudrik_2018_1"
"133",1,2,957.238869625144,"Biderman & Mudrik_2018_1"
"134",1,1,1315.21750905085,"Biderman & Mudrik_2018_1"
"135",1,1,916.687241173349,"Biderman & Mudrik_2018_1"
"136",1,2,1323.71596584562,"Biderman & Mudrik_2018_1"
"137",1,2,933.939601585735,"Biderman & Mudrik_2018_1"
