"","idv","iv","dv","exp"
"1",1,1,665.781926,"Chien_et_al._2022_2A"
"2",1,1,696.761597,"Chien_et_al._2022_2A"
"3",1,1,856.624757,"Chien_et_al._2022_2A"
"4",1,1,932.543984,"Chien_et_al._2022_2A"
"5",1,0,722.741525,"Chien_et_al._2022_2A"
"6",1,1,932.079879,"Chien_et_al._2022_2A"
"7",1,0,823.367329,"Chien_et_al._2022_2A"
"8",1,1,711.211187,"Chien_et_al._2022_2A"
"9",1,0,627.460606,"Chien_et_al._2022_2A"
"10",1,1,952.66282,"Chien_et_al._2022_2A"
"11",1,1,837.77867,"Chien_et_al._2022_2A"
"12",1,0,523.866158,"Chien_et_al._2022_2A"
"13",1,1,643.823235,"Chien_et_al._2022_2A"
"14",1,1,914.886017,"Chien_et_al._2022_2A"
"15",1,0,789.19946,"Chien_et_al._2022_2A"
"16",1,0,618.75164,"Chien_et_al._2022_2A"
"17",1,1,731.284847,"Chien_et_al._2022_2A"
"18",1,1,887.837233,"Chien_et_al._2022_2A"
"19",1,0,901.777542,"Chien_et_al._2022_2A"
"20",1,1,600.744917,"Chien_et_al._2022_2A"
"21",1,1,789.874083,"Chien_et_al._2022_2A"
"22",1,0,544.99181,"Chien_et_al._2022_2A"
"23",1,0,541.874387,"Chien_et_al._2022_2A"
"24",1,1,613.325137,"Chien_et_al._2022_2A"
"25",1,0,721.479015,"Chien_et_al._2022_2A"
"26",1,1,594.14204,"Chien_et_al._2022_2A"
"27",1,0,465.53593,"Chien_et_al._2022_2A"
"28",1,1,816.9054,"Chien_et_al._2022_2A"
"29",1,1,602.34263,"Chien_et_al._2022_2A"
"30",1,0,596.966725,"Chien_et_al._2022_2A"
"31",1,1,560.496101,"Chien_et_al._2022_2A"
"32",1,0,597.820244,"Chien_et_al._2022_2A"
"33",1,0,730.479215,"Chien_et_al._2022_2A"
"34",1,1,995.645667,"Chien_et_al._2022_2A"
"35",1,0,617.406609,"Chien_et_al._2022_2A"
"36",1,0,1142.800308,"Chien_et_al._2022_2A"
"37",1,1,710.297434,"Chien_et_al._2022_2A"
"38",1,1,1318.828227,"Chien_et_al._2022_2A"
"39",1,1,583.483894,"Chien_et_al._2022_2A"
"40",1,1,1034.777439,"Chien_et_al._2022_2A"
"41",1,0,664.491709,"Chien_et_al._2022_2A"
"42",1,1,555.14941,"Chien_et_al._2022_2A"
"43",1,1,568.931303,"Chien_et_al._2022_2A"
"44",1,0,856.341355,"Chien_et_al._2022_2A"
"45",1,1,519.306427,"Chien_et_al._2022_2A"
"46",1,1,826.91392,"Chien_et_al._2022_2A"
"47",1,0,769.196274,"Chien_et_al._2022_2A"
"48",1,1,704.134869,"Chien_et_al._2022_2A"
"49",1,1,591.612504,"Chien_et_al._2022_2A"
"50",1,1,913.949074,"Chien_et_al._2022_2A"
"51",1,1,725.982127,"Chien_et_al._2022_2A"
"52",1,1,904.984714,"Chien_et_al._2022_2A"
"53",1,1,886.42474,"Chien_et_al._2022_2A"
