"","idv","iv","dv","exp"
"1","1 AH","rel",889.6,"Faivre et al._1_cong"
"2","1 AH","rel",553.7,"Faivre et al._1_cong"
"3","1 AH","unrel",609.4,"Faivre et al._1_cong"
"4","1 AH","rel",563.4,"Faivre et al._1_cong"
"5","1 AH","unrel",553.3,"Faivre et al._1_cong"
"6","1 AH","unrel",494.1,"Faivre et al._1_cong"
"7","1 AH","rel",392.8,"Faivre et al._1_cong"
"8","1 AH","unrel",461.5,"Faivre et al._1_cong"
"9","1 AH","unrel",551.4,"Faivre et al._1_cong"
"10","1 AH","unrel",463.7,"Faivre et al._1_cong"
"11","1 AH","unrel",498.4,"Faivre et al._1_cong"
"12","1 AH","unrel",606.3,"Faivre et al._1_cong"
"13","1 AH","unrel",561.1,"Faivre et al._1_cong"
"14","1 AH","unrel",546.6,"Faivre et al._1_cong"
"15","1 AH","rel",506.4,"Faivre et al._1_cong"
"16","1 AH","unrel",558.5,"Faivre et al._1_cong"
"17","1 AH","rel",360.8,"Faivre et al._1_cong"
"18","1 AH","rel",474.6,"Faivre et al._1_cong"
"19","1 AH","rel",782.1,"Faivre et al._1_cong"
"20","1 AH","unrel",868.5,"Faivre et al._1_cong"
"21","1 AH","unrel",731.1,"Faivre et al._1_cong"
"22","1 AH","rel",649.9,"Faivre et al._1_cong"
"23","1 AH","rel",597.2,"Faivre et al._1_cong"
"24","1 AH","rel",417.1,"Faivre et al._1_cong"
"25","1 AH","unrel",541,"Faivre et al._1_cong"
"26","1 AH","unrel",616.6,"Faivre et al._1_cong"
"27","1 AH","rel",668.8,"Faivre et al._1_cong"
"28","1 AH","rel",431.7,"Faivre et al._1_cong"
"29","1 AH","unrel",542.5,"Faivre et al._1_cong"
"30","1 AH","unrel",536.2,"Faivre et al._1_cong"
"31","1 AH","unrel",390.2,"Faivre et al._1_cong"
"32","1 AH","rel",474.6,"Faivre et al._1_cong"
"33","1 AH","unrel",424.1,"Faivre et al._1_cong"
"34","1 AH","unrel",486.2,"Faivre et al._1_cong"
"35","1 AH","rel",443.4,"Faivre et al._1_cong"
"36","1 AH","unrel",449.7,"Faivre et al._1_cong"
"37","1 AH","unrel",373.6,"Faivre et al._1_cong"
"38","1 AH","rel",465,"Faivre et al._1_cong"
"39","1 AH","rel",428.5,"Faivre et al._1_cong"
"40","1 AH","rel",489,"Faivre et al._1_cong"
"41","10 VS","rel",1153.5,"Faivre et al._1_cong"
"42","10 VS","unrel",2138.7,"Faivre et al._1_cong"
"43","10 VS","rel",859.5,"Faivre et al._1_cong"
"44","10 VS","rel",1499,"Faivre et al._1_cong"
"45","10 VS","unrel",1054.1,"Faivre et al._1_cong"
"46","10 VS","unrel",890.9,"Faivre et al._1_cong"
"47","10 VS","unrel",1824,"Faivre et al._1_cong"
"48","10 VS","unrel",2956.1,"Faivre et al._1_cong"
"49","10 VS","rel",2329.6,"Faivre et al._1_cong"
"50","10 VS","unrel",707.3,"Faivre et al._1_cong"
"51","10 VS","rel",1181.4,"Faivre et al._1_cong"
"52","10 VS","unrel",1875.4,"Faivre et al._1_cong"
"53","10 VS","rel",1466.3,"Faivre et al._1_cong"
"54","10 VS","unrel",1721.5,"Faivre et al._1_cong"
"55","10 VS","rel",1199.4,"Faivre et al._1_cong"
"56","10 VS","rel",518.1,"Faivre et al._1_cong"
"57","10 VS","unrel",782.2,"Faivre et al._1_cong"
"58","10 VS","unrel",1010.4,"Faivre et al._1_cong"
"59","10 VS","rel",1206.5,"Faivre et al._1_cong"
"60","10 VS","unrel",901,"Faivre et al._1_cong"
"61","10 VS","rel",1146.1,"Faivre et al._1_cong"
"62","10 VS","rel",834.9,"Faivre et al._1_cong"
"63","10 VS","rel",1139.1,"Faivre et al._1_cong"
"64","10 VS","rel",999.1,"Faivre et al._1_cong"
"65","10 VS","rel",1576.1,"Faivre et al._1_cong"
"66","10 VS","unrel",2232.7,"Faivre et al._1_cong"
"67","10 VS","unrel",933,"Faivre et al._1_cong"
"68","10 VS","unrel",1658.5,"Faivre et al._1_cong"
"69","10 VS","rel",589,"Faivre et al._1_cong"
"70","10 VS","rel",1938,"Faivre et al._1_cong"
"71","10 VS","unrel",1581.8,"Faivre et al._1_cong"
"72","10 VS","rel",1763.1,"Faivre et al._1_cong"
"73","10 VS","rel",1338,"Faivre et al._1_cong"
"74","10 VS","unrel",989.9,"Faivre et al._1_cong"
"75","10 VS","rel",793.9,"Faivre et al._1_cong"
"76","10 VS","unrel",902.6,"Faivre et al._1_cong"
"77","10 VS","unrel",1092.3,"Faivre et al._1_cong"
"78","10 VS","unrel",1209.4,"Faivre et al._1_cong"
"79","10 VS","rel",1150.7,"Faivre et al._1_cong"
"80","10 VS","unrel",1950.2,"Faivre et al._1_cong"
"81","10 VS","unrel",1165.8,"Faivre et al._1_cong"
"82","10 VS","rel",1884.4,"Faivre et al._1_cong"
"83","11 dc","rel",417.5,"Faivre et al._1_cong"
"84","11 dc","unrel",436.6,"Faivre et al._1_cong"
"85","11 dc","unrel",422.1,"Faivre et al._1_cong"
"86","11 dc","unrel",348.9,"Faivre et al._1_cong"
"87","11 dc","rel",343.7,"Faivre et al._1_cong"
"88","11 dc","unrel",333.3,"Faivre et al._1_cong"
"89","11 dc","unrel",426,"Faivre et al._1_cong"
"90","11 dc","rel",404.2,"Faivre et al._1_cong"
"91","11 dc","rel",304.3,"Faivre et al._1_cong"
"92","11 dc","rel",412,"Faivre et al._1_cong"
"93","11 dc","rel",504.9,"Faivre et al._1_cong"
"94","11 dc","rel",309.5,"Faivre et al._1_cong"
"95","11 dc","rel",329,"Faivre et al._1_cong"
"96","11 dc","rel",360.3,"Faivre et al._1_cong"
"97","11 dc","rel",310.5,"Faivre et al._1_cong"
"98","11 dc","rel",335,"Faivre et al._1_cong"
"99","11 dc","rel",326.1,"Faivre et al._1_cong"
"100","11 dc","unrel",667.6,"Faivre et al._1_cong"
"101","11 dc","rel",398,"Faivre et al._1_cong"
"102","11 dc","unrel",300,"Faivre et al._1_cong"
"103","11 dc","unrel",451.4,"Faivre et al._1_cong"
"104","11 dc","unrel",308.7,"Faivre et al._1_cong"
"105","11 dc","rel",340.6,"Faivre et al._1_cong"
"106","12 jm","rel",1343.3,"Faivre et al._1_cong"
"107","12 jm","rel",1806.1,"Faivre et al._1_cong"
"108","12 jm","unrel",1217.9,"Faivre et al._1_cong"
"109","12 jm","rel",803.3,"Faivre et al._1_cong"
"110","12 jm","unrel",1723.2,"Faivre et al._1_cong"
"111","12 jm","rel",2210.7,"Faivre et al._1_cong"
"112","12 jm","unrel",659.8,"Faivre et al._1_cong"
"113","12 jm","unrel",562.5,"Faivre et al._1_cong"
