"","idv","iv","exp","dv"
"1",1,1,"Hurme et al_2020_Masking_Red",405
"2",1,2,"Hurme et al_2020_Masking_Red",220
"3",1,2,"Hurme et al_2020_Masking_Red",218
"4",1,1,"Hurme et al_2020_Masking_Blue",328
"5",1,1,"Hurme et al_2020_Masking_Blue",207
"6",1,2,"Hurme et al_2020_Masking_Blue",374
"7",1,1,"Hurme et al_2020_Masking_Blue",280
"8",1,1,"Hurme et al_2020_Masking_Red",350
"9",1,2,"Hurme et al_2020_Masking_Red",253
"10",1,2,"Hurme et al_2020_Masking_Red",206
"11",1,1,"Hurme et al_2020_Masking_Blue",218
"12",1,2,"Hurme et al_2020_Masking_Blue",211
"13",1,2,"Hurme et al_2020_Masking_Red",227
"14",1,2,"Hurme et al_2020_Masking_Blue",199
"15",1,1,"Hurme et al_2020_Masking_Blue",225
"16",1,2,"Hurme et al_2020_Masking_Blue",178
"17",1,2,"Hurme et al_2020_Masking_Red",361
"18",1,2,"Hurme et al_2020_Masking_Red",258
"19",1,1,"Hurme et al_2020_Masking_Red",253
"20",1,1,"Hurme et al_2020_Masking_Blue",206
"21",1,2,"Hurme et al_2020_Masking_Blue",238
"22",1,1,"Hurme et al_2020_Masking_Blue",193
"23",1,2,"Hurme et al_2020_Masking_Blue",187
"24",1,1,"Hurme et al_2020_Masking_Blue",248
"25",1,1,"Hurme et al_2020_Masking_Red",206
"26",1,2,"Hurme et al_2020_Masking_Red",185
"27",1,2,"Hurme et al_2020_Masking_Blue",274
"28",1,1,"Hurme et al_2020_Masking_Blue",202
"29",1,2,"Hurme et al_2020_Masking_Blue",242
"30",1,1,"Hurme et al_2020_Masking_Blue",384
"31",1,1,"Hurme et al_2020_Masking_Blue",160
"32",1,2,"Hurme et al_2020_Masking_Red",172
"33",1,2,"Hurme et al_2020_Masking_Red",189
"34",1,1,"Hurme et al_2020_Masking_Red",192
"35",1,1,"Hurme et al_2020_Masking_Red",283
"36",1,1,"Hurme et al_2020_Masking_Blue",412
"37",1,2,"Hurme et al_2020_Masking_Blue",350
"38",1,2,"Hurme et al_2020_Masking_Red",185
"39",1,2,"Hurme et al_2020_Masking_Blue",179
"40",1,1,"Hurme et al_2020_Masking_Blue",251
"41",1,2,"Hurme et al_2020_Masking_Red",199
"42",1,2,"Hurme et al_2020_Masking_Red",208
"43",1,2,"Hurme et al_2020_Masking_Blue",205
"44",1,2,"Hurme et al_2020_Masking_Blue",188
"45",1,1,"Hurme et al_2020_Masking_Blue",194
"46",1,1,"Hurme et al_2020_Masking_Red",254
"47",1,1,"Hurme et al_2020_Masking_Red",233
"48",1,2,"Hurme et al_2020_Masking_Red",229
"49",1,2,"Hurme et al_2020_Masking_Blue",163
"50",1,1,"Hurme et al_2020_Masking_Blue",204
"51",1,1,"Hurme et al_2020_Masking_Blue",199
"52",1,2,"Hurme et al_2020_Masking_Red",201
"53",1,2,"Hurme et al_2020_Masking_Red",303
"54",1,1,"Hurme et al_2020_Masking_Blue",240
"55",1,1,"Hurme et al_2020_Masking_Blue",259
"56",1,2,"Hurme et al_2020_Masking_Blue",226
"57",1,2,"Hurme et al_2020_Masking_Blue",214
"58",1,2,"Hurme et al_2020_Masking_Red",231
"59",1,2,"Hurme et al_2020_Masking_Red",236
"60",1,2,"Hurme et al_2020_Masking_Blue",211
"61",1,1,"Hurme et al_2020_Masking_Blue",207
"62",1,1,"Hurme et al_2020_Masking_Blue",266
"63",1,1,"Hurme et al_2020_Masking_Red",265
"64",1,2,"Hurme et al_2020_Masking_Red",217
"65",1,2,"Hurme et al_2020_Masking_Red",258
"66",1,1,"Hurme et al_2020_Masking_Red",223
"67",1,1,"Hurme et al_2020_Masking_Red",243
"68",1,1,"Hurme et al_2020_Masking_Blue",283
"69",1,2,"Hurme et al_2020_Masking_Blue",300
"70",1,2,"Hurme et al_2020_Masking_Blue",249
"71",1,1,"Hurme et al_2020_Masking_Blue",213
"72",1,1,"Hurme et al_2020_Masking_Blue",254
"73",2,2,"Hurme et al_2020_Masking_Blue",216
"74",2,1,"Hurme et al_2020_Masking_Blue",242
"75",2,1,"Hurme et al_2020_Masking_Blue",391
"76",2,1,"Hurme et al_2020_Masking_Blue",276
"77",2,1,"Hurme et al_2020_Masking_Blue",262
"78",2,1,"Hurme et al_2020_Masking_Blue",397
"79",2,1,"Hurme et al_2020_Masking_Red",230
"80",2,2,"Hurme et al_2020_Masking_Red",224
"81",2,1,"Hurme et al_2020_Masking_Red",382
"82",2,1,"Hurme et al_2020_Masking_Red",361
"83",2,1,"Hurme et al_2020_Masking_Red",285
"84",2,1,"Hurme et al_2020_Masking_Red",230
"85",2,1,"Hurme et al_2020_Masking_Blue",270
"86",2,1,"Hurme et al_2020_Masking_Blue",226
"87",2,1,"Hurme et al_2020_Masking_Blue",270
"88",2,1,"Hurme et al_2020_Masking_Blue",240
"89",2,1,"Hurme et al_2020_Masking_Red",206
"90",2,1,"Hurme et al_2020_Masking_Red",254
"91",2,1,"Hurme et al_2020_Masking_Red",245
"92",2,1,"Hurme et al_2020_Masking_Red",301
"93",2,2,"Hurme et al_2020_Masking_Red",183
"94",2,1,"Hurme et al_2020_Masking_Blue",231
"95",2,1,"Hurme et al_2020_Masking_Blue",210
"96",2,1,"Hurme et al_2020_Masking_Blue",220
"97",2,1,"Hurme et al_2020_Masking_Blue",237
"98",2,1,"Hurme et al_2020_Masking_Blue",298
"99",2,2,"Hurme et al_2020_Masking_Blue",487
"100",2,2,"Hurme et al_2020_Masking_Blue",587
"101",2,1,"Hurme et al_2020_Masking_Blue",376
"102",2,2,"Hurme et al_2020_Masking_Red",443
"103",2,2,"Hurme et al_2020_Masking_Red",277
"104",2,1,"Hurme et al_2020_Masking_Red",311
"105",2,1,"Hurme et al_2020_Masking_Red",175
"106",2,1,"Hurme et al_2020_Masking_Red",194
"107",2,1,"Hurme et al_2020_Masking_Red",195
"108",2,1,"Hurme et al_2020_Masking_Red",199
"109",2,1,"Hurme et al_2020_Masking_Blue",216
