"","Subject","Group","Block","ColorTMS.Block.","Confidence.RESP.Block.","correctResponseButton","correctRT.Block.","GrayTMS.Block.","leftStimulus.Block.","Number.Block.","NumberResponse.Block.","PracticeList","PracticeList.Cycle","PracticeList.Sample","Reaction.RT.Block.","Response.RESP.Block.","ResponseAccuracy.Block.","responseHand","rightStimulus.Block.","Running.Block.","StimulusColor.Block.","TMS","Trial","Hemisphere","Procedure.Trial.","Running.Trial.","SubTrial","CenterColorList","CenterColorList.Cycle","CenterColorList.Sample","LeftColorList","LeftColorList.Cycle","LeftColorList.Sample","Procedure.SubTrial.","RightColorList","RightColorList.Cycle","RightColorList.Sample","Running.SubTrial.","StimulusColor.SubTrial.","VariOhje","VariOhje2","LogLevel5","CenterTrialList","CenterTrialList.Cycle","CenterTrialList.Sample","ColorTMS.LogLevel5.","Confidence.RESP.LogLevel5.","correctRT.LogLevel5.","GrayTMS.LogLevel5.","leftStimulus.LogLevel5.","LeftTrialList","LeftTrialList.Cycle","LeftTrialList.Sample","Number.LogLevel5.","NumberResponse.LogLevel5.","Procedure.LogLevel5.","Reaction.RT.LogLevel5.","Response.RESP.LogLevel5.","ResponseAccuracy.LogLevel5.","rightStimulus.LogLevel5.","RightTrialList","RightTrialList.Cycle","RightTrialList.Sample","Running.LogLevel5.","virhe","expTrial","virhe.edellinen"
"42","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",2,NA,NA,NA,1,4,362,0,1,3,1,2,"2",1,"LeftTrialProc",345,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"45","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",5,NA,NA,NA,1,4,345,0,1,3,1,5,"2",1,"LeftTrialProc",328,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"47","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",7,NA,NA,NA,0,4,308,1,1,1,1,7,"1",1,"LeftTrialProc",292,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"48","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",8,NA,NA,NA,1,4,360,0,1,3,1,8,"2",1,"LeftTrialProc",343,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"49","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",9,NA,NA,NA,1,4,374,0,1,3,1,9,"2",1,"LeftTrialProc",357,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"51","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",11,NA,NA,NA,1,4,291,0,1,3,1,11,"2",1,"LeftTrialProc",274,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"52","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",12,NA,NA,NA,0,4,326,1,1,1,1,12,"1",1,"LeftTrialProc",309,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"55","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",15,NA,NA,NA,0,4,334,1,1,1,1,15,"1",1,"LeftTrialProc",317,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"56","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",16,NA,NA,NA,1,4,306,0,1,3,1,16,"2",1,"LeftTrialProc",289,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"58","1",1,41,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,2,1,1,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",18,NA,NA,NA,1,4,333,0,1,3,1,18,"2",1,"LeftTrialProc",316,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
