"","idv","iv","dv","exp"
"18","201","cong",720.5,"Noel et al._2020_AV"
"25","201","cong",720.1,"Noel et al._2020_A"
"30","201","cong",594.7,"Noel et al._2020_V"
"38","201","incong",607,"Noel et al._2020_A"
"47","201","cong",628.4,"Noel et al._2020_V"
"49","201","cong",586.2,"Noel et al._2020_V"
"51","201","incong",712.9,"Noel et al._2020_A"
"58","201","incong",608.9,"Noel et al._2020_V"
"61","201","cong",673.9,"Noel et al._2020_V"
"62","201","cong",680.9,"Noel et al._2020_A"
"64","201","cong",702.4,"Noel et al._2020_AV"
"70","201","cong",707.8,"Noel et al._2020_A"
"81","201","cong",693.1,"Noel et al._2020_V"
"85","201","cong",658.1,"Noel et al._2020_AV"
"94","201","cong",661.5,"Noel et al._2020_A"
"95","201","cong",675.5,"Noel et al._2020_AV"
"97","201","incong",684.5,"Noel et al._2020_A"
"101","201","cong",665,"Noel et al._2020_AV"
"117","201","incong",686.9,"Noel et al._2020_AV"
"118","201","incong",632.9,"Noel et al._2020_AV"
"124","201","cong",683.9,"Noel et al._2020_AV"
"127","201","cong",711.5,"Noel et al._2020_V"
"128","201","cong",708.4,"Noel et al._2020_AV"
"130","201","cong",632.1,"Noel et al._2020_A"
"132","201","incong",667.2,"Noel et al._2020_V"
"133","201","cong",672.2,"Noel et al._2020_AV"
"134","201","incong",537.1,"Noel et al._2020_AV"
"135","201","incong",646.4,"Noel et al._2020_V"
"140","201","cong",683.8,"Noel et al._2020_A"
"142","201","cong",671.9,"Noel et al._2020_V"
"152","201","cong",718.2,"Noel et al._2020_A"
"153","201","cong",681.8,"Noel et al._2020_A"
"154","201","cong",519.4,"Noel et al._2020_V"
"156","201","incong",609.2,"Noel et al._2020_V"
"157","201","cong",572.8,"Noel et al._2020_A"
"158","201","cong",588.8,"Noel et al._2020_A"
"160","201","cong",597.4,"Noel et al._2020_AV"
"164","201","cong",725,"Noel et al._2020_V"
"167","201","cong",678.2,"Noel et al._2020_V"
"169","201","cong",658.8,"Noel et al._2020_A"
"171","201","cong",516.5,"Noel et al._2020_A"
"175","201","cong",725,"Noel et al._2020_V"
"179","201","cong",653.9,"Noel et al._2020_AV"
"182","201","cong",659.5,"Noel et al._2020_A"
"183","201","cong",735.6,"Noel et al._2020_V"
"186","201","cong",694.8,"Noel et al._2020_AV"
"187","201","cong",682.7,"Noel et al._2020_V"
"189","201","cong",644.4,"Noel et al._2020_V"
"191","201","cong",533.9,"Noel et al._2020_V"
"195","201","cong",660.5,"Noel et al._2020_AV"
"196","201","cong",541.5,"Noel et al._2020_V"
"198","201","cong",633.3,"Noel et al._2020_A"
"202","201","incong",598.5,"Noel et al._2020_AV"
"207","201","cong",514.2,"Noel et al._2020_AV"
"208","201","incong",560.4,"Noel et al._2020_A"
"209","201","incong",401.4,"Noel et al._2020_AV"
"211","201","incong",507.6,"Noel et al._2020_V"
"214","201","cong",466,"Noel et al._2020_A"
"215","201","cong",492.8,"Noel et al._2020_AV"
"218","201","cong",513.9,"Noel et al._2020_AV"
"223","201","incong",407.1,"Noel et al._2020_V"
"226","201","cong",524,"Noel et al._2020_A"
"228","201","incong",338.9,"Noel et al._2020_A"
"230","201","cong",501.6,"Noel et al._2020_V"
"234","201","cong",373.67,"Noel et al._2020_A"
"237","201","cong",467.4,"Noel et al._2020_V"
"239","201","cong",518.8,"Noel et al._2020_AV"
"241","201","cong",684.1,"Noel et al._2020_V"
"244","201","cong",521.3,"Noel et al._2020_A"
"245","201","cong",553.1,"Noel et al._2020_A"
"248","201","cong",603.5,"Noel et al._2020_A"
"249","201","cong",486.5,"Noel et al._2020_AV"
"252","201","cong",430.5,"Noel et al._2020_V"
"253","201","cong",379.91,"Noel et al._2020_V"
"254","201","incong",406.5,"Noel et al._2020_AV"
"255","201","cong",453.8,"Noel et al._2020_AV"
"257","201","cong",483.2,"Noel et al._2020_V"
"258","201","cong",423.8,"Noel et al._2020_A"
"259","201","cong",459.8,"Noel et al._2020_AV"
"261","201","cong",464.3,"Noel et al._2020_A"
"264","201","incong",348.09,"Noel et al._2020_V"
"265","201","incong",316.73,"Noel et al._2020_V"
"266","201","incong",449.2,"Noel et al._2020_AV"
"267","201","cong",349.41,"Noel et al._2020_V"
"268","201","cong",316.81,"Noel et al._2020_V"
"269","201","incong",391.3,"Noel et al._2020_AV"
"273","201","cong",349.5,"Noel et al._2020_AV"
"274","201","incong",289.71,"Noel et al._2020_A"
"275","201","cong",394.8,"Noel et al._2020_A"
"279","201","cong",382.75,"Noel et al._2020_A"
"280","201","cong",467.1,"Noel et al._2020_V"
"282","201","cong",500.3,"Noel et al._2020_A"
"284","201","cong",390.5,"Noel et al._2020_V"
"286","201","cong",346.4,"Noel et al._2020_V"
"287","201","cong",408.3,"Noel et al._2020_V"
"288","201","cong",354.55,"Noel et al._2020_AV"
"294","201","cong",426.5,"Noel et al._2020_AV"
"296","201","incong",278.27,"Noel et al._2020_AV"
"299","201","cong",398.8,"Noel et al._2020_V"
"300","201","cong",458.7,"Noel et al._2020_V"
"301","201","cong",420.3,"Noel et al._2020_AV"
"304","201","incong",470.1,"Noel et al._2020_V"
"305","201","cong",400.1,"Noel et al._2020_V"
"306","201","incong",337.64,"Noel et al._2020_A"
"308","201","cong",377.5,"Noel et al._2020_AV"
"309","201","cong",495.8,"Noel et al._2020_AV"
"313","201","cong",491.5,"Noel et al._2020_V"
"314","201","cong",410.9,"Noel et al._2020_A"
"315","201","incong",461.9,"Noel et al._2020_A"
"316","201","cong",374.83,"Noel et al._2020_A"
"317","201","cong",352.28,"Noel et al._2020_AV"
"318","201","cong",375.15,"Noel et al._2020_AV"
"321","201","cong",424.9,"Noel et al._2020_A"
"322","201","cong",400,"Noel et al._2020_A"
"325","201","cong",371.81,"Noel et al._2020_A"
"326","201","cong",406,"Noel et al._2020_V"
"327","201","cong",374.94,"Noel et al._2020_V"
"328","201","cong",362.92,"Noel et al._2020_AV"
"329","201","cong",467.9,"Noel et al._2020_V"
"331","201","incong",427.1,"Noel et al._2020_A"
"333","201","incong",341.96,"Noel et al._2020_V"
"334","201","cong",484.6,"Noel et al._2020_V"
"335","201","incong",535.9,"Noel et al._2020_V"
"337","201","cong",543.7,"Noel et al._2020_AV"
"338","201","cong",341.33,"Noel et al._2020_AV"
"339","201","incong",403.6,"Noel et al._2020_AV"
"340","201","cong",396.7,"Noel et al._2020_V"
"341","201","cong",287.27,"Noel et al._2020_AV"
"342","201","cong",364.48,"Noel et al._2020_A"
"345","201","cong",420.1,"Noel et al._2020_A"
"347","201","cong",353.12,"Noel et al._2020_AV"
"350","201","cong",416.3,"Noel et al._2020_AV"
"351","201","cong",323.61,"Noel et al._2020_V"
"352","201","cong",705.5,"Noel et al._2020_V"
"353","201","cong",467.1,"Noel et al._2020_A"
"354","201","cong",434,"Noel et al._2020_A"
"355","201","cong",384.32,"Noel et al._2020_AV"
"356","201","cong",319.21,"Noel et al._2020_A"
"357","201","incong",357.9,"Noel et al._2020_AV"
"358","201","incong",336.46,"Noel et al._2020_V"
"361","201","cong",516.2,"Noel et al._2020_V"
"363","201","cong",489,"Noel et al._2020_AV"
"365","201","cong",339.51,"Noel et al._2020_AV"
"366","201","cong",354.75,"Noel et al._2020_AV"
"367","201","cong",450.4,"Noel et al._2020_AV"
"368","201","incong",376.29,"Noel et al._2020_AV"
"369","201","cong",341.95,"Noel et al._2020_A"
"370","201","cong",370.29,"Noel et al._2020_V"
"372","201","cong",376.22,"Noel et al._2020_AV"
"374","201","cong",303.94,"Noel et al._2020_A"
"375","201","incong",269.29,"Noel et al._2020_AV"
"377","201","cong",416,"Noel et al._2020_AV"
"378","201","cong",284.46,"Noel et al._2020_A"
"379","201","cong",363.9,"Noel et al._2020_AV"
"380","201","cong",436.5,"Noel et al._2020_V"
"384","201","cong",397.7,"Noel et al._2020_V"
"385","201","cong",440.7,"Noel et al._2020_V"
"386","201","cong",476.9,"Noel et al._2020_A"
"390","201","cong",486.7,"Noel et al._2020_AV"
"391","201","cong",350.51,"Noel et al._2020_A"
"394","201","cong",377.04,"Noel et al._2020_A"
"396","201","cong",366.27,"Noel et al._2020_V"
"399","201","cong",311.48,"Noel et al._2020_AV"
"402","201","cong",371.89,"Noel et al._2020_AV"
"404","201","cong",337.25,"Noel et al._2020_AV"
"406","201","incong",329.74,"Noel et al._2020_A"
"407","201","incong",361.65,"Noel et al._2020_AV"
"408","201","cong",378.34,"Noel et al._2020_A"
"409","201","cong",448.2,"Noel et al._2020_AV"
"410","201","incong",297.2,"Noel et al._2020_A"
"412","201","cong",245.77,"Noel et al._2020_V"
"418","201","cong",344.25,"Noel et al._2020_V"
"419","201","incong",291.7,"Noel et al._2020_V"
"421","201","cong",248.28,"Noel et al._2020_A"
"422","201","incong",440.6,"Noel et al._2020_A"
"423","201","cong",305.38,"Noel et al._2020_V"
"426","201","cong",324.32,"Noel et al._2020_A"
"427","201","cong",418.9,"Noel et al._2020_A"
"428","201","incong",302.8,"Noel et al._2020_V"
"429","201","cong",356.09,"Noel et al._2020_V"
"430","201","cong",261.45,"Noel et al._2020_V"
"431","201","cong",316.61,"Noel et al._2020_AV"
"432","201","cong",353.59,"Noel et al._2020_A"
"437","201","cong",406,"Noel et al._2020_A"
"438","201","cong",398,"Noel et al._2020_A"
"439","201","cong",471.2,"Noel et al._2020_A"
"440","201","cong",529.2,"Noel et al._2020_AV"
"442","201","cong",347.91,"Noel et al._2020_AV"
"444","201","incong",349.15,"Noel et al._2020_A"
"445","201","cong",386.03,"Noel et al._2020_AV"
"446","201","cong",374.11,"Noel et al._2020_A"
"447","201","incong",416.4,"Noel et al._2020_V"
"450","201","cong",647.5,"Noel et al._2020_AV"
"453","201","cong",358.76,"Noel et al._2020_A"
"454","201","cong",558.7,"Noel et al._2020_A"
"456","201","cong",403.4,"Noel et al._2020_A"
"457","201","incong",439.1,"Noel et al._2020_V"
"458","201","incong",406.3,"Noel et al._2020_A"
"459","201","cong",349.53,"Noel et al._2020_AV"
"461","201","cong",418.4,"Noel et al._2020_V"
"462","201","cong",386.09,"Noel et al._2020_A"
"463","201","incong",395.4,"Noel et al._2020_A"
"464","201","cong",357.93,"Noel et al._2020_V"
"465","201","cong",404.5,"Noel et al._2020_V"
"466","201","incong",458.5,"Noel et al._2020_V"
"469","201","cong",386.18,"Noel et al._2020_AV"
"470","201","incong",418.2,"Noel et al._2020_A"
"471","201","cong",343.54,"Noel et al._2020_A"
"473","201","cong",427.1,"Noel et al._2020_A"
"474","201","cong",407.4,"Noel et al._2020_A"
"475","201","cong",391.5,"Noel et al._2020_AV"
"476","201","incong",386.82,"Noel et al._2020_AV"
"477","201","cong",404.4,"Noel et al._2020_V"
"478","201","cong",391.7,"Noel et al._2020_AV"
"479","201","cong",433.7,"Noel et al._2020_AV"
"480","201","cong",354.6,"Noel et al._2020_V"
"481","201","cong",392.2,"Noel et al._2020_A"
"482","201","cong",310.48,"Noel et al._2020_AV"
"483","201","cong",246.76,"Noel et al._2020_A"
"487","201","cong",333.91,"Noel et al._2020_V"
"488","201","cong",405.8,"Noel et al._2020_V"
"490","201","cong",352.01,"Noel et al._2020_V"
"491","201","cong",353,"Noel et al._2020_V"
"493","201","incong",317.15,"Noel et al._2020_V"
"494","201","cong",362.14,"Noel et al._2020_V"
"495","201","cong",456.7,"Noel et al._2020_V"
"496","201","cong",286.53,"Noel et al._2020_A"
"499","201","cong",286.49,"Noel et al._2020_AV"
"501","201","cong",326.69,"Noel et al._2020_V"
"502","201","cong",306.28,"Noel et al._2020_A"
"505","201","cong",451.5,"Noel et al._2020_V"
"506","201","cong",434,"Noel et al._2020_A"
"507","201","cong",351.46,"Noel et al._2020_A"
"510","201","cong",365.5,"Noel et al._2020_V"
"511","201","cong",267.05,"Noel et al._2020_A"
"512","201","cong",398,"Noel et al._2020_A"
"513","201","cong",441,"Noel et al._2020_AV"
"514","201","cong",399.6,"Noel et al._2020_A"
"515","201","cong",410.4,"Noel et al._2020_A"
"516","201","incong",342.43,"Noel et al._2020_AV"
"518","201","cong",360.57,"Noel et al._2020_AV"
"521","201","cong",290.36,"Noel et al._2020_AV"
"522","201","cong",457.9,"Noel et al._2020_V"
"523","201","incong",313.19,"Noel et al._2020_AV"
"525","201","cong",410.5,"Noel et al._2020_V"
"526","201","incong",383.16,"Noel et al._2020_A"
"527","201","incong",298.35,"Noel et al._2020_A"
"529","201","cong",326.29,"Noel et al._2020_AV"
"532","201","cong",356.75,"Noel et al._2020_AV"
"533","201","incong",340.29,"Noel et al._2020_V"
"534","201","cong",397.7,"Noel et al._2020_V"
"535","201","cong",443.6,"Noel et al._2020_A"
"539","201","cong",360.35,"Noel et al._2020_AV"
"542","201","incong",326.44,"Noel et al._2020_A"
"543","201","cong",260.77,"Noel et al._2020_A"
"544","201","cong",422.7,"Noel et al._2020_A"
"547","201","incong",455.5,"Noel et al._2020_V"
"548","201","cong",349.16,"Noel et al._2020_V"
"549","201","cong",364.23,"Noel et al._2020_A"
"550","201","cong",397.7,"Noel et al._2020_V"
"552","201","cong",410.2,"Noel et al._2020_A"
"556","201","incong",336.34,"Noel et al._2020_AV"
"559","201","incong",450.8,"Noel et al._2020_V"
"560","201","cong",376.12,"Noel et al._2020_AV"
"561","201","cong",313.32,"Noel et al._2020_AV"
"563","201","cong",301.92,"Noel et al._2020_V"
"564","201","cong",341.52,"Noel et al._2020_AV"
"565","201","cong",392.1,"Noel et al._2020_AV"
"566","201","cong",338.46,"Noel et al._2020_AV"
"567","201","cong",257.64,"Noel et al._2020_V"
"568","201","cong",324.52,"Noel et al._2020_AV"
"569","201","cong",431.8,"Noel et al._2020_A"
"570","201","cong",254.44,"Noel et al._2020_V"
"572","201","incong",373.36,"Noel et al._2020_AV"
"573","201","cong",425.6,"Noel et al._2020_V"
"574","201","incong",346.56,"Noel et al._2020_V"
"575","201","cong",379.46,"Noel et al._2020_V"
"576","201","cong",299.63,"Noel et al._2020_AV"
