subj,pas,discr_accu,loc_accu,expDes1,expDes2,expDes3,expDes4,expDes5
1,1,0,0,2,2,2,2,2
1,1,1,1,1,2,4,2,24
1,1,0,1,2,1,4,2,5
1,1,1,0,2,1,5,1,7
1,1,1,0,1,2,2,1,18
1,1,0,1,1,1,3,2,6
1,1,0,0,1,1,4,2,29
1,1,1,0,1,2,2,1,16
1,1,0,0,1,1,2,2,16
1,1,1,1,2,1,1,1,8
1,1,1,0,2,1,3,1,10
1,1,0,1,2,1,2,2,1
1,1,1,0,1,2,4,2,15
1,1,0,1,1,2,4,2,23
1,2,1,1,1,2,4,1,32
1,2,0,0,1,2,4,2,16
1,1,0,1,2,1,2,2,7
1,1,1,1,1,2,3,1,31
1,4,1,1,1,2,5,1,23
1,1,1,1,1,1,2,1,9
1,1,1,0,2,2,4,1,3
1,1,0,0,1,2,3,2,23
1,1,0,1,1,1,2,2,13
1,2,0,0,1,1,2,1,18
1,1,0,0,1,2,5,2,24
1,2,0,1,1,1,4,1,7
1,2,0,1,1,1,3,1,14
1,1,1,0,1,2,3,1,32
1,2,1,1,1,2,4,2,11
1,1,0,0,2,2,1,2,6
1,2,1,0,2,2,5,1,7
1,1,0,0,1,2,1,2,12
1,1,1,0,2,2,5,2,3
1,1,0,0,2,2,4,2,9
1,1,1,1,1,2,1,2,35
1,1,1,0,2,2,5,2,8
1,2,0,0,2,2,3,1,9
1,2,1,0,2,2,2,1,4
1,1,0,0,2,1,2,1,2
1,2,0,1,1,1,4,2,14
1,1,1,0,2,2,3,2,10
1,1,1,1,1,1,2,1,5
1,1,1,1,1,2,1,2,30
1,2,0,1,1,1,4,1,33
1,1,1,0,2,2,1,2,1
1,1,1,0,1,2,2,2,2
1,1,0,0,1,2,1,2,13
1,2,0,1,2,1,3,1,3
1,2,1,1,1,1,3,1,11
1,1,1,0,1,2,4,2,34
1,1,1,0,2,2,2,2,8
1,2,1,0,1,2,1,2,14
1,1,1,1,2,1,1,1,1
1,1,1,1,1,2,3,2,29
1,1,0,0,1,2,3,1,29
1,2,1,1,2,1,3,1,6
1,2,1,1,1,2,4,1,11
1,1,1,0,1,2,1,1,10
1,2,1,1,1,1,2,2,30
1,2,1,0,1,2,5,2,30
1,1,0,1,1,1,2,1,7
1,1,0,1,2,2,5,1,7
1,1,0,0,2,2,1,1,3
1,1,0,1,2,1,5,2,9
1,1,0,0,1,2,4,1,26
1,1,1,0,1,2,1,2,33
1,1,1,1,2,1,3,1,7
1,1,1,1,2,1,3,2,8
1,1,0,0,1,2,3,1,27
1,1,0,1,2,1,3,2,7
1,2,1,1,1,1,5,2,15
1,2,1,0,2,2,2,1,8
1,1,1,0,1,2,4,1,16
1,1,0,1,1,1,1,2,19
1,1,1,0,1,2,4,1,12
1,1,1,0,1,1,3,2,24
1,2,1,0,1,2,3,2,34
1,1,1,1,1,1,2,1,4
1,1,1,1,1,1,4,2,9
1,2,0,1,1,1,5,2,4
1,1,1,0,2,2,3,2,3
1,1,1,1,1,1,3,1,22
1,1,1,0,1,2,1,2,24
1,1,1,1,1,1,1,1,19
1,1,0,1,1,1,4,2,19
1,1,0,1,1,1,1,2,3
1,1,1,1,1,2,3,1,22
1,1,0,1,1,1,5,2,22
1,1,0,1,1,2,4,2,2
1,2,1,0,1,2,3,2,11
1,1,0,1,1,1,3,2,16
