sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
201 1 LeftSmaller PercCAPrac Prime_6N Target_4A EcaLgBe hJcAiHG Incongruent right correct Normal 2070.349
201 2 LeftSmaller PercCAPrac Prime_6A Target_6A GeiMmJj dFGhiem Congruent right error Normal 885.5635
201 3 LeftSmaller PercCAPrac Prime_4N Target_6N BGJeKLm HaEgjKD Incongruent left error Normal 1303.98
201 4 LeftSmaller PercCAPrac Prime_6A Target_1N mCldAGg DEgMIGa Incongruent right correct Normal 607.9164
201 5 LeftSmaller PercCAPrac Prime_9A Target_9A dMmClIf aDICbdh Congruent right error Normal 964.803
201 6 LeftSmaller PercCAPrac Prime_4A Target_1N GajBdLK jKeMEaD Congruent left correct Normal 604.6444
201 7 LeftSmaller PercCAPrac Prime_1N Target_4N gAJFGfB dKebAHB Congruent right error Normal 997.79
201 8 LeftSmaller PercCAPrac Prime_1N Target_6N khiejJB GhBEdDM Incongruent left error Normal 641.3356
201 9 LeftSmaller PercCAPrac Prime_4N Target_1A kcjdhMl CbmLfhk Congruent right error Normal 1159.711
201 10 LeftSmaller PercCAPrac Prime_1A Target_9A gHcGfJK DJeKlIG Incongruent left error Normal 941.8087
201 11 LeftSmaller PercCAPrac Prime_1A Target_1N GmkEhlb bHMmEJh Congruent left correct Normal 1358.048
201 12 LeftSmaller PercCAPrac Prime_9N Target_9A fBegcIL diaJkHb Congruent right error Normal 770.5533
201 13 LeftSmaller PercCAPrac Prime_4A Target_9N MKGljiI DEliCeh Incongruent right correct Normal 1032.948
201 14 LeftSmaller PercCAPrac Prime_9A Target_4A mhEKkaL ICFBJfA Incongruent left error Normal 592.0193
201 15 LeftSmaller PercCAPrac Prime_4N Target_1N MfFLHEh eMcLFGg Congruent right error Normal 1274.292
201 16 LeftSmaller PercCAPrac Prime_9A Target_4N liGbLCe DihAeLB Incongruent left error Normal 735.8151
201 17 LeftSmaller PercCAExp1 Prime_9N Target_4N KIJEcFM GJigMcf Incongruent right correct Normal 476.0856
201 18 LeftSmaller PercCAExp1 Prime_4A Target_6N JBCaFLk LefgMFE Incongruent right correct Normal 1074.251
201 19 LeftSmaller PercCAExp1 Prime_9A Target_4N bhLgakI BchDKlL Incongruent right correct Normal 1721.561
201 20 LeftSmaller PercCAExp1 Prime_4A Target_1A fHjJkie emcKEIJ Congruent right error Normal 1062.764
201 21 LeftSmaller PercCAExp1 Prime_9A Target_6N BkcKjHG DakJGme Congruent left correct Normal 645.5575
201 22 LeftSmaller PercCAExp1 Prime_9N Target_4A LClbMjJ HdAbDCe Incongruent right correct Normal 1353.962
201 23 LeftSmaller PercCAExp1 Prime_6A Target_1N jDkdbgB dLkembB Incongruent left error Normal 1007.254
201 24 LeftSmaller PercCAExp1 Prime_9A Target_4A bfFjBEM emhBCfF Incongruent right correct Normal 1185.695
201 25 LeftSmaller PercCAExp1 Prime_4N Target_9A LHFeGfg eCHdFmk Incongruent left error Normal 1095.974
201 26 LeftSmaller PercCAExp1 Prime_4A Target_4N jeilmgK aKHkMEj Congruent left correct Normal 1057.038
201 27 LeftSmaller PercCAExp1 Prime_1N Target_4N ieklFcA MGClfKh Congruent right error Normal 739.8376
201 28 LeftSmaller PercCAExp1 Prime_6N Target_4N hmidgJc lHbEBJM Incongruent right correct Normal 681.2679
201 29 LeftSmaller PercCAExp1 Prime_6N Target_6N LgGlMKh EAJcGjl Congruent right error Normal 4526.967
201 30 LeftSmaller PercCAExp1 Prime_4N Target_4A jLJFefh cJdmkCF Congruent left correct Normal 1349.244
201 31 LeftSmaller PercCAExp1 Prime_1A Target_4A eJAfmID leGiCjE Congruent left correct Normal 614.2311
201 32 LeftSmaller PercCAExp1 Prime_1A Target_9A AgaKHih KjkMmfA Incongruent right correct Normal 890.7574
201 33 LeftSmaller PercCAExp1 Prime_6A Target_4A diDCfHA LhJBjKe Incongruent left error Normal 1260.44
201 34 LeftSmaller PercCAExp1 Prime_6A Target_9N gGCLjKJ FgcafLm Congruent left correct Normal 1078.376
201 35 LeftSmaller PercCAExp1 Prime_6N Target_1N fcMgjmI ldaeGJD Incongruent right correct Normal 668.045
201 36 LeftSmaller PercCAExp1 Prime_1N Target_4A ikcFlCK FEmCkIJ Congruent left correct Normal 2604.192
201 37 LeftSmaller PercCAExp1 Prime_9N Target_1N GijaklK gafBACG Incongruent left error Normal 772.3106
201 38 LeftSmaller PercCAExp1 Prime_6N Target_9A gMcmEdB cGaHMmB Congruent right error Late 6491.386
201 39 LeftSmaller PercCAExp1 Prime_4N Target_1A EjFLdkD CKaEgdH Congruent left correct Normal 3249.333
201 40 LeftSmaller PercCAExp1 Prime_6N Target_1A EIjJmhf AMgJFmi Incongruent right correct Normal 929.0317
201 41 LeftSmaller PercCAExp1 Prime_4A Target_1N FjbdlGH lkmCjBc Congruent right error Normal 764.7573
201 42 LeftSmaller PercCAExp1 Prime_9N Target_6N JmifjEF lKHbaEc Congruent left correct Normal 760.1772
201 43 LeftSmaller PercCAExp1 Prime_9N Target_9A ihmIKCM CiMJDcE Congruent left correct Normal 1099.338
201 44 LeftSmaller PercCAExp1 Prime_1A Target_9N CbcFHhJ eEJBHIm Incongruent right correct Normal 492.4098
201 45 LeftSmaller PercCAExp1 Prime_1N Target_1A CfMgedD dbJGjKh Congruent right error Normal 827.552
201 46 LeftSmaller PercCAExp1 Prime_4N Target_9N bjkLhAg bAHhIdK Incongruent left error Normal 403.3774
201 47 LeftSmaller PercCAExp1 Prime_6N Target_9N aGDihIl AEkcMCB Congruent right error Late 5023.859
201 48 LeftSmaller PercCAExp1 Prime_4N Target_6N CdGkHFB mdADFaJ Incongruent right correct Normal 698.1466
201 49 LeftSmaller PercCAExp1 Prime_9N Target_9N HGbfjeL MfgACaF Congruent left correct Normal 3860.256
201 50 LeftSmaller PercCAExp1 Prime_4A Target_6A cJFLmfa KfMAhLm Incongruent right correct Normal 844.1208
201 51 LeftSmaller PercCAExp1 Prime_4N Target_1N CEjFkcH HlcGkfL Congruent right error Normal 555.5418
201 52 LeftSmaller PercCAExp1 Prime_1A Target_4N DJgmjhf LKjkbfF Congruent left correct Normal 406.0184
201 53 LeftSmaller PercCAExp1 Prime_9A Target_1A jMCiFeH aIedAif Incongruent right correct Normal 1449.055
201 54 LeftSmaller PercCAExp1 Prime_1A Target_6A fCehDFB fCAlGFg Incongruent left error Normal 1104.719
201 55 LeftSmaller PercCAExp1 Prime_1A Target_6N FhHcJID kHghibj Incongruent left error Normal 882.0247
201 56 LeftSmaller PercCAExp1 Prime_9A Target_6A JmefCkA gljdhAL Congruent right error Normal 603.6247
201 57 LeftSmaller PercCAExp1 Prime_1N Target_9A BmEjFhK FjgiGHJ Incongruent left error Normal 870.1091
201 58 LeftSmaller PercCAExp1 Prime_1N Target_1N HgcmEMb ELhfgJb Congruent right error Normal 551.9037
201 59 LeftSmaller PercCAExp1 Prime_4A Target_9A kfMIJaG KmJbdaL Incongruent left error Normal 626.5819
201 60 LeftSmaller PercCAExp1 Prime_4A Target_4A LfDKiJg IidJGga Congruent left correct Normal 3411.586
201 61 LeftSmaller PercCAExp1 Prime_6A Target_9A DCFbBEg amBCFjD Congruent left correct Normal 1040.457
201 62 LeftSmaller PercCAExp1 Prime_6A Target_6A fGLeFjc kEdGALI Congruent right error Normal 896.3945
201 63 LeftSmaller PercCAExp1 Prime_1N Target_6A fGELmKg GAebdiE Incongruent right correct Normal 1286.803
201 64 LeftSmaller PercCAExp1 Prime_1A Target_1A dbFAhil ADMlbFc Congruent right error Normal 1013.46
201 65 LeftSmaller PercCAExp1 Prime_1N Target_9N LdhMafA kjKMhcF Incongruent left error Normal 989.1528
201 66 LeftSmaller PercCAExp1 Prime_4N Target_4N mEAKfeh ALMaDFc Congruent right error Normal 678.6163
201 67 LeftSmaller PercCAExp1 Prime_6N Target_6A HCijDbk AkchdbB Congruent right error Normal 1114.527
201 68 LeftSmaller PercCAExp1 Prime_9A Target_9A LgDhIKf ALkaJji Congruent right error Normal 716.2834
201 69 LeftSmaller PercCAExp1 Prime_1A Target_1N mjEHbgi jfDkmbh Congruent left correct Normal 4188.195
201 70 LeftSmaller PercCAExp1 Prime_6A Target_4N MAElkJf iCegbJA Incongruent right correct Normal 678.9419
201 71 LeftSmaller PercCAExp1 Prime_6N Target_4A KGCMEFl LJBIhMD Incongruent left error Normal 670.5083
