sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
1 1 LeftSmaller PercIAPrac Prime_1A Target_6A HbjidAm KELGBge Incongruent left correct Normal 1007.173
1 2 LeftSmaller PercIAPrac Prime_6A Target_6A mKgdlae kefGCci Congruent left error Normal 1172.965
1 3 LeftSmaller PercIAPrac Prime_4N Target_9A CLMAlbG DLAmGBi Incongruent right error Normal 1265.01
1 4 LeftSmaller PercIAPrac Prime_4N Target_4N lMbLCEa KJkdIcH Congruent left correct Normal 922.3199
1 5 LeftSmaller PercIAPrac Prime_9A Target_9N KhkbmHD jiAMHED Congruent left error Normal 897.8794
1 6 LeftSmaller PercIAPrac Prime_9N Target_4N eFCldac CAIabgM Incongruent left error Normal 849.5142
1 7 LeftSmaller PercIAPrac Prime_1N Target_6N KaBmgHb FkehdbG Incongruent right error Normal 925.8576
1 8 LeftSmaller PercIAPrac Prime_1N Target_9N cHdClLI EgMDIle Incongruent left correct Normal 679.885
1 9 LeftSmaller PercIAPrac Prime_6A Target_1A IDEMGbj fEGAFMm Incongruent left error Normal 1098.807
1 10 LeftSmaller PercIAPrac Prime_6N Target_4A mFJCajl mGbckFB Incongruent left error Normal 1184.351
1 11 LeftSmaller PercIAPrac Prime_6A Target_4A fFaBJdi eLMHJlI Incongruent right correct Normal 1310.669
1 12 LeftSmaller PercIAPrac Prime_9A Target_6A CDjgMeb caBlKGJ Congruent right correct Normal 768.8283
1 13 LeftSmaller PercIAPrac Prime_6N Target_1A DbCaBFJ kiMaBfL Incongruent left error Normal 579.9989
1 14 LeftSmaller PercIAPrac Prime_4N Target_6A hbBLDeC DGHckBa Incongruent right error Normal 1077.723
1 15 LeftSmaller PercIAPrac Prime_4A Target_6A JLmcaKb DbegAil Incongruent left correct Normal 1116.495
1 16 LeftSmaller PercIAPrac Prime_4A Target_1N IlFAEjb eLAHaKh Congruent left correct Normal 1393.026
1 17 LeftSmaller PercIAExp1 Prime_9N Target_4N KMcCBFi DafAlEb Incongruent left error Normal 750.7607
1 18 LeftSmaller PercIAExp1 Prime_9N Target_6N aCfBmKF gheHmGC Congruent right correct Normal 970.4135
1 19 LeftSmaller PercIAExp1 Prime_6N Target_1A ClMEBdJ CAgLEMf Incongruent right correct Normal 1233.46
1 20 LeftSmaller PercIAExp1 Prime_1N Target_9A adBfcAi dKfmalF Incongruent right error Normal 1622.927
1 21 LeftSmaller PercIAExp1 Prime_6N Target_9N dgGDAhK aIcdCMD Congruent left error Normal 1245.29
1 22 LeftSmaller PercIAExp1 Prime_6A Target_4N daBklJj FhfGIjl Incongruent right correct Normal 1799.402
1 23 LeftSmaller PercIAExp1 Prime_4N Target_9A FMjELAf ecBKham Incongruent left correct Normal 1443.227
1 24 LeftSmaller PercIAExp1 Prime_1N Target_9N eGKaIEm bMBcCLJ Incongruent right error Normal 1449.763
1 25 LeftSmaller PercIAExp1 Prime_4A Target_4N EgHhjLG GiHfleD Congruent left correct Normal 1102.334
1 26 LeftSmaller PercIAExp1 Prime_4A Target_9N GhibJFE CcjIGmi Incongruent right error Normal 837.6169
1 27 LeftSmaller PercIAExp1 Prime_6N Target_9A jcEfhAa dCJkhgD Congruent left error Normal 1079.883
1 28 LeftSmaller PercIAExp1 Prime_9A Target_9A cbDgaCG AGcFKId Congruent left error Normal 1418.077
1 29 LeftSmaller PercIAExp1 Prime_1N Target_6N clLABdg BKbFIeJ Incongruent left correct Normal 1290.386
1 30 LeftSmaller PercIAExp1 Prime_6N Target_4N LfEeBiK bgChEMm Incongruent right correct Normal 1241.179
1 31 LeftSmaller PercIAExp1 Prime_1N Target_4N gmiKELl GehmKLi Congruent left correct Normal 1484.877
1 32 LeftSmaller PercIAExp1 Prime_6A Target_4A khGlMFL kcBlmME Incongruent left error Normal 1017.368
1 33 LeftSmaller PercIAExp1 Prime_1A Target_4A eGhAEkM LBEblFd Congruent right error Normal 1181.248
1 34 LeftSmaller PercIAExp1 Prime_4A Target_9A lGIMbJB ChEAmgL Incongruent left correct Normal 1805.492
1 35 LeftSmaller PercIAExp1 Prime_9A Target_6A KALCbBF lmMJfdb Congruent right correct Normal 1093.835
1 36 LeftSmaller PercIAExp1 Prime_9N Target_1N GlhBDEH gmfiahF Incongruent left error Normal 1392.48
1 37 LeftSmaller PercIAExp1 Prime_1N Target_1A HkcAGID AJfLBgF Congruent right error Normal 1198.057
1 38 LeftSmaller PercIAExp1 Prime_9N Target_1A BbJkFGa CKamcGh Incongruent right correct Normal 2215.077
1 39 LeftSmaller PercIAExp1 Prime_9A Target_1A idGHkAD djGMCeh Incongruent left error Normal 2066.425
1 40 LeftSmaller PercIAExp1 Prime_4A Target_6N KfLBECl MKFkeiG Incongruent left correct Normal 1349.064
1 41 LeftSmaller PercIAExp1 Prime_9N Target_4A aEeALbl HhkeDEd Incongruent left error Normal 1578.505
1 42 LeftSmaller PercIAExp1 Prime_6N Target_6N FilcmfG gImfadh Congruent right correct Normal 1585.255
1 43 LeftSmaller PercIAExp1 Prime_6A Target_9N HLgfGAk BFjAGcd Congruent right correct Normal 1009.428
1 44 LeftSmaller PercIAExp1 Prime_9A Target_9N eJGfIbi cMfJbKh Congruent right correct Normal 989.1822
1 45 LeftSmaller PercIAExp1 Prime_9A Target_4N DAjiHMd mfhgIKc Incongruent left error Normal 1043.045
1 46 LeftSmaller PercIAExp1 Prime_6A Target_1N FfDkAcb dMIkKbj Incongruent left error Normal 1039.106
1 47 LeftSmaller PercIAExp1 Prime_1N Target_6A ImDbcMa eFmCdKa Incongruent right error Normal 1109.544
1 48 LeftSmaller PercIAExp1 Prime_4N Target_6A BigJkMD bliafLC Incongruent right error Normal 1087.379
1 49 LeftSmaller PercIAExp1 Prime_4A Target_1N HCFjklJ DEkcMgi Congruent right error Normal 890.3856
1 50 LeftSmaller PercIAExp1 Prime_4N Target_4N BAjFcDE gJBLdCH Congruent right error Normal 1015.798
1 51 LeftSmaller PercIAExp1 Prime_4N Target_9N AhEmIkf JFIaECb Incongruent left correct Normal 1370.833
1 52 LeftSmaller PercIAExp1 Prime_4N Target_1N MljgHci AGbiefd Congruent left correct Normal 1096.01
1 53 LeftSmaller PercIAExp1 Prime_4A Target_1A fCLeKFi AGiHMJC Congruent right error Normal 801.4636
1 54 LeftSmaller PercIAExp1 Prime_1A Target_6A KGiFmgH ckeGfai Incongruent left correct Normal 886.6532
1 55 LeftSmaller PercIAExp1 Prime_6A Target_6N AJGbgIh KljgMid Congruent right correct Normal 975.3281
1 56 LeftSmaller PercIAExp1 Prime_4N Target_1A clfMbjG JKCmdfM Congruent right error Normal 940.0043
1 57 LeftSmaller PercIAExp1 Prime_6N Target_1N DmcMJjE ELmaDgc Incongruent left error Normal 463.5674
1 58 LeftSmaller PercIAExp1 Prime_9A Target_1N IBMKChF HFkhlKc Incongruent right correct Normal 1018.969
1 59 LeftSmaller PercIAExp1 Prime_1A Target_4N mLKcejk CiLJAIl Congruent left correct Normal 985.4547
1 60 LeftSmaller PercIAExp1 Prime_9N Target_6A bkHiKeJ HkfLFIC Congruent right correct Normal 1411.197
1 61 LeftSmaller PercIAExp1 Prime_6A Target_1A HGlMAhE JgbakHh Incongruent right correct Normal 1326.994
1 62 LeftSmaller PercIAExp1 Prime_4A Target_4A JdfeiBA AceaBCK Congruent right error Normal 1053.271
1 63 LeftSmaller PercIAExp1 Prime_1A Target_1A mckGMBj GIbfBlE Congruent left correct Normal 1178.757
1 64 LeftSmaller PercIAExp1 Prime_9N Target_9N aABdJEk geHClKJ Congruent right correct Normal 1050.052
1 65 LeftSmaller PercIAExp1 Prime_9N Target_9A EkLcCAJ fgkhMLD Congruent right correct Normal 1413.131
1 66 LeftSmaller PercIAExp1 Prime_4N Target_6N MCKAmkH HeLaJEF Incongruent left correct Normal 1322.663
1 67 LeftSmaller PercIAExp1 Prime_6N Target_4A MejhLiG emgabjE Incongruent right correct Normal 1664.122
1 68 LeftSmaller PercIAExp1 Prime_4A Target_6A JbhGEAB HJeKbmc Incongruent right error Normal 1531.667
1 69 LeftSmaller PercIAExp1 Prime_4N Target_4A DaEkAHj dKGHEah Congruent left correct Normal 713.3813
1 70 LeftSmaller PercIAExp1 Prime_1N Target_1N ChJIcak hBKDfkl Congruent left correct Normal 1063.41
1 71 LeftSmaller PercIAExp1 Prime_1A Target_1N eICJgif lGJedCm Congruent right error Normal 795.8501
1 72 LeftSmaller PercIAExp1 Prime_6A Target_6A MaEbgFh mgBhJdC Congruent right correct Normal 1092.885
1 73 LeftSmaller PercIAExp1 Prime_1A Target_6N EiadIJm BAicGja Incongruent left correct Normal 1095.912
1 74 LeftSmaller PercIAExp1 Prime_1A Target_9A ChMBGgI EMdaifD Incongruent left correct Normal 858.398
1 75 LeftSmaller PercIAExp1 Prime_9A Target_6N AlBdjgJ CHJblIA Congruent right correct Normal 922.6894
1 76 LeftSmaller PercIAExp1 Prime_9A Target_4A lMkgIHi gbEJiHe Incongruent right correct Normal 926.4689
1 77 LeftSmaller PercIAExp1 Prime_1N Target_4A EBFIMfL AilIcJa Congruent left correct Normal 879.4074
1 78 LeftSmaller PercIAExp1 Prime_6A Target_9A iJDAIkf eHjJcGD Congruent right correct Normal 1438.827
1 79 LeftSmaller PercIAExp1 Prime_6N Target_6A iHjgcME ILmbMlh Congruent left error Normal 1337.394
1 80 LeftSmaller PercIAExp1 Prime_1A Target_9N CfjBkMm IacLliB Incongruent left correct Normal 1535.402
1 81 LeftLarger PercIBPrac Prime_4N Target_4N AGfcIDM kmfHFig Congruent left error Normal 1621.718
1 82 LeftLarger PercIBPrac Prime_6A Target_4N hbHMcIE BkjEhLA Incongruent left correct Normal 2091.294
1 83 LeftLarger PercIBPrac Prime_9A Target_6N eEMAclk HFeDjJb Congruent right error Normal 1178.767
1 84 LeftLarger PercIBPrac Prime_1N Target_6N jJDbLMk HamILlc Incongruent right correct Normal 1527.949
1 85 LeftLarger PercIBPrac Prime_9N Target_1A hMjFJad eJcHahG Incongruent left correct Normal 1502.12
1 86 LeftLarger PercIBPrac Prime_4N Target_4A feIlFBg jIKEegb Congruent right correct Normal 2153.162
1 87 LeftLarger PercIBPrac Prime_9N Target_4N FcgmMBb hmfHaGB Incongruent left correct Normal 1348
1 88 LeftLarger PercIBPrac Prime_4N Target_6N kilBcCf BAjhECl Incongruent left error Normal 1287.073
1 89 LeftLarger PercIBPrac Prime_1N Target_1A CAblFjK FHcdkDI Congruent right correct Normal 1053.834
1 90 LeftLarger PercIBPrac Prime_1N Target_6A bmAdlIM bFDJAdf Incongruent right correct Normal 1478.134
1 91 LeftLarger PercIBPrac Prime_9N Target_1N JiGfLmh AcIdFgH Incongruent left correct Normal 976.755
1 92 LeftLarger PercIBPrac Prime_1A Target_4A HLIjlig DIcMGgA Congruent right correct Normal 1107.071
1 93 LeftLarger PercIBPrac Prime_4N Target_6A fmEAFJM fhBGAEl Incongruent right correct Normal 1250.977
1 94 LeftLarger PercIBPrac Prime_4A Target_9A hCmGLKB hCGIdlL Incongruent right correct Normal 1761.032
1 95 LeftLarger PercIBPrac Prime_6N Target_4A gcCGkiK JdDlAmb Incongruent left correct Normal 1615.858
1 96 LeftLarger PercIBPrac Prime_6N Target_1N iDMFBKm fLCadEm Incongruent left correct Normal 1084.172
1 97 LeftLarger PercIBExp1 Prime_4N Target_4N lMKEDJf JmgabEG Congruent left error Normal 1497.942
1 98 LeftLarger PercIBExp1 Prime_1A Target_6N JjAfikh CDaGBEK Incongruent left error Normal 1314.435
1 99 LeftLarger PercIBExp1 Prime_6A Target_9A IgjGAmC dHaBfjb Congruent left correct Normal 1520.71
1 100 LeftLarger PercIBExp1 Prime_4A Target_9N mGKEelL efdIgBD Incongruent right correct Normal 972.6077
1 101 LeftLarger PercIBExp1 Prime_1N Target_4N lKJbHFm jdEgDlH Congruent right correct Normal 1297.588
1 102 LeftLarger PercIBExp1 Prime_9N Target_9N AbkIMjd mKJgCEb Congruent left correct Normal 831.1183
1 103 LeftLarger PercIBExp1 Prime_4N Target_6A KmGkhiH lEjmicB Incongruent left error Normal 1122.702
1 104 LeftLarger PercIBExp1 Prime_4A Target_1N DgGhIcM JILcglG Congruent left error Normal 1281.593
1 105 LeftLarger PercIBExp1 Prime_1A Target_1N IJFBmcK jHicdef Congruent right correct Normal 1113.902
1 106 LeftLarger PercIBExp1 Prime_1A Target_6A kifCIhb BKeIcFb Incongruent right correct Normal 1109.374
1 107 LeftLarger PercIBExp1 Prime_1N Target_6N hKjfmDG haHmKLE Incongruent right correct Normal 1761.033
1 108 LeftLarger PercIBExp1 Prime_9N Target_4A KeMdbim AFaIdjC Incongruent left correct Normal 1476.991
1 109 LeftLarger PercIBExp1 Prime_9A Target_4A MIaeidj fBLlhMG Incongruent left correct Normal 1935.436
1 110 LeftLarger PercIBExp1 Prime_4N Target_9N cdgLaie eEhdIfM Incongruent right correct Normal 1218.2
1 111 LeftLarger PercIBExp1 Prime_1A Target_9N KdelbmH JKGLFcj Incongruent right correct Normal 1331.182
1 112 LeftLarger PercIBExp1 Prime_1A Target_4A CMclfhB EfHibKL Congruent right correct Normal 1279.565
1 113 LeftLarger PercIBExp1 Prime_9N Target_6N eEfFDGL aikljBe Congruent right error Normal 1951.543
1 114 LeftLarger PercIBExp1 Prime_9A Target_4N LfIbiGl KMjJBCk Incongruent left correct Normal 1260.035
1 115 LeftLarger PercIBExp1 Prime_1N Target_1A BACmFhf jCEfKHF Congruent left error Normal 1050.561
1 116 LeftLarger PercIBExp1 Prime_6A Target_4A cJAGieB bfcKEGH Incongruent right error Normal 1551.85
1 117 LeftLarger PercIBExp1 Prime_6A Target_1A igmaKJI gBKhEeF Incongruent left correct Normal 1550.001
1 118 LeftLarger PercIBExp1 Prime_9N Target_9A HbJDMcA DCcBIeH Congruent right error Normal 1605.872
1 119 LeftLarger PercIBExp1 Prime_9N Target_1N MELJAbD CDHmkIg Incongruent right error Normal 1423.176
1 120 LeftLarger PercIBExp1 Prime_4A Target_6A jIEDfbC dGJDMIe Incongruent left error Normal 1125.713
1 121 LeftLarger PercIBExp1 Prime_6N Target_9A FIkgedi CciAMba Congruent right error Normal 2085.178
1 122 LeftLarger PercIBExp1 Prime_1N Target_1N lFgbmcH kfDHCMa Congruent left error Normal 1679.353
1 123 LeftLarger PercIBExp1 Prime_9N Target_4N eilHLgM igjFcCK Incongruent left correct Normal 1693.822
1 124 LeftLarger PercIBExp1 Prime_6N Target_9N imGeAMD EgiaCKd Congruent right error Normal 885.013
1 125 LeftLarger PercIBExp1 Prime_1A Target_9A DmLfged lLGFcJH Incongruent left error Normal 1772.031
1 126 LeftLarger PercIBExp1 Prime_9A Target_6N FjbCieg hdDIAFa Congruent left correct Normal 1560.636
1 127 LeftLarger PercIBExp1 Prime_9N Target_6A HglaCEk DCKmiIk Congruent right error Normal 1875.316
1 128 LeftLarger PercIBExp1 Prime_4A Target_6N HkGEbjh KIeDlEh Incongruent left error Normal 1298.257
1 129 LeftLarger PercIBExp1 Prime_9A Target_6A MBHdlDK GkdIAef Congruent left correct Normal 2372.148
1 130 LeftLarger PercIBExp1 Prime_4N Target_6N heEDcHA EfDHldG Incongruent right correct Normal 2067.629
1 131 LeftLarger PercIBExp1 Prime_9A Target_1N MKlmFac gIJldEh Incongruent right error Normal 1596.219
1 132 LeftLarger PercIBExp1 Prime_6A Target_1N jfmbJFl ChicLlB Incongruent right error Normal 1484.657
1 133 LeftLarger PercIBExp1 Prime_6N Target_1N MIkHFKg IJKGFHd Incongruent left correct Normal 1044.463
1 134 LeftLarger PercIBExp1 Prime_4A Target_4A EFGieDm AHEGaDd Congruent right correct Normal 2248.145
1 135 LeftLarger PercIBExp1 Prime_1N Target_9N gkiLGDl lJiAaDF Incongruent right correct Normal 2054.237
1 136 LeftLarger PercIBExp1 Prime_1A Target_1A cMaEdBb MIfmJBg Congruent left error Normal 1376.794
1 137 LeftLarger PercIBExp1 Prime_6A Target_6A daLEJAh bEGFaKm Congruent left correct Normal 1976.852
1 138 LeftLarger PercIBExp1 Prime_4N Target_4A BCgfeIK IjFhaAg Congruent right correct Normal 2570.778
1 139 LeftLarger PercIBExp1 Prime_6N Target_6N EhMGdae gBEkaIi Congruent left correct Normal 1882.088
1 140 LeftLarger PercIBExp1 Prime_1N Target_9A KicgGAk BEehLKk Incongruent right correct Normal 1059.34
1 141 LeftLarger PercIBExp1 Prime_6N Target_1A IBdihKM ecfhlKH Incongruent left correct Normal 1762.894
1 142 LeftLarger PercIBExp1 Prime_6N Target_4A cMEDgif jlKbFhG Incongruent right error Normal 1164.083
1 143 LeftLarger PercIBExp1 Prime_6A Target_4N eMckKIH kFgEDHe Incongruent left correct Normal 951.5231
1 144 LeftLarger PercIBExp1 Prime_9A Target_1A aHLgdBC DhbAKcl Incongruent left correct Normal 1810.413
1 145 LeftLarger PercIBExp1 Prime_1N Target_6A ehHJMcB dMigkbJ Incongruent left error Normal 1186.763
1 146 LeftLarger PercIBExp1 Prime_1N Target_4A MmJeald AgmMGje Congruent right correct Normal 1098.779
1 147 LeftLarger PercIBExp1 Prime_4A Target_1A GHAhKDl bMgkmaB Congruent right correct Normal 1684.38
1 148 LeftLarger PercIBExp1 Prime_9A Target_9N DgMcFJK cDMKALf Congruent left correct Normal 2079.911
1 149 LeftLarger PercIBExp1 Prime_6N Target_4N mfELIAh kGEeDAd Incongruent right error Normal 2607.248
1 150 LeftLarger PercIBExp1 Prime_4N Target_9A DfMabld kKCMLml Incongruent left error Normal 1185.232
1 151 LeftLarger PercIBExp1 Prime_4A Target_4N mHhDbIG mhbiIfB Congruent right correct Normal 1785.415
1 152 LeftLarger PercIBExp1 Prime_4N Target_1N MDfBjlh DMCkiaB Congruent right correct Normal 1221.716
