"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high"
"1","data_Bang_2019_Exp1.csv",0.736333333333333,0.0014,0.0144085031779255,0.1362,-0.00375632659857968,0.0289457359794828
"2","data_Chandravadia_2020.csv",0.54168115942029,0.0995,0.0902212333179968,0,0.0610773831818745,0.120596164058747
"3","data_Clark_2018.csv",0.6395,0.335,0.0217283222707607,0.4948,-0.0145045323163941,0.0579611768579156
"4","data_Clark_unpub.csv",0.4665,0.6972,0.00619922677161966,0.6984,-0.0227440335273521,0.03544388435299
"5","data_Desender_2014.csv",0.610984615384615,NA,0.0610901292790891,0,0.0356741976548645,0.0872659937590618
"6","data_Filevich_unpub.csv",0.568823529411765,0.1345,0.0347731727626597,0.0172,0.0106662343614213,0.0602572459962849
"7","data_Gajdos_2019.csv",0.561545454545455,0.188,0.00222352662027812,0.8662,-0.0217583956102957,0.0264342641198391
"8","data_Hetland_unpub.csv",0.393777777777778,NA,0.0558822385263486,0.1586,-0.0136503870213144,0.122524076220818
"9","data_Hu_2017.csv",0.51941935483871,NA,0.00917950169256851,0.636,-0.0302486091068323,0.0482113912883613
"10","data_Jachs_2015_Exp1.csv",0.586461538461538,0.1438,0.0329810701688398,0.1758,-0.00945864824816872,0.0777616686564424
"11","data_Jachs_2015_Exp2.csv",0.503333333333333,0.5363,-0.000907645076043709,0.9436,-0.0259114576844046,0.0232738609625577
"12","data_Jachs_2015_Exp3.csv",0.4646,0.6668,0.0144550816162816,0.5028,-0.0258422694482185,0.0531691548247493
"13","data_Jaquiery_unpub.csv",0.50331847133758,0.3068,-0.00895225338661615,0.116,-0.0198314521382454,0.00192944375834707
"14","data_Kantner_2010.csv",0.65808,0,0.120760356403912,0,0.0950083170980273,0.146794101762443
"15","data_Kantner_2012_E1.csv",0.84325,0,0.183879997742682,0,0.153332859584399,0.214082918063381
"16","data_Kantner_2012_E2.csv",0.682636363636364,0,0.112056684242246,0,0.085237217934138,0.138220493456771
"17","data_Kantner_2012_E3.csv",0.747370629370629,0,0.144392759387949,0,0.123341369912417,0.164904890260266
"18","data_Kantner_2012_E4.csv",0.645111111111111,0,0.147351798108334,0,0.112781991257279,0.182808148364132
"19","data_Kantner_2014_E1.csv",0.811532467532468,0,0.196448995244594,0,0.169714485503057,0.223188414408153
"20","data_Kantner_2014_E2.csv",0.72,0,0.134920453093452,0,0.11393303527009,0.155652001920498
"21","data_Kantner_unpub1.csv",0.565076923076923,NA,0.0922529329131137,0,0.0542521112473956,0.13058448593613
"22","data_Kantner_unpub2.csv",0.676030769230769,0,0.107326717795973,0,0.0761638275986732,0.137942735013784
"23","data_Lempert_2015.csv",0.49805,0.61,0.0228080807612654,0.1382,-0.0064140600938604,0.0528440112245106
"24","data_Lindsay_2014.csv",0.725659574468085,0,0.126647906159259,0,0.092703802779883,0.158514671695755
"25","data_Lo_unpub.csv",0.933806451612903,0,-0.249508326372873,0,-0.290352113689334,-0.204688815682914
"26","data_Martin_unpub.csv",0.479333333333333,0.5035,-0.0264507047712424,0.246,-0.0695140217337739,0.00849463565173087
"27","data_Massoni_2017.csv",0.542266666666667,NA,0.0339442409815824,0.0846,-0.004598212095709,0.0718035710739271
"28","data_Massoni_unpub.csv",0.49788,0.4836,-0.00310640211859468,0.7972,-0.0273138521817989,0.0214711813989461
"29","data_Matthews_2019.csv",0.637294117647059,0.002,-0.0222485210181071,0.0407999999999999,-0.042815759710402,-0.0018884742911331
"30","data_Mazor_2020.csv",0.720782608695652,0,0.0754410823235258,0,0.0497867411258889,0.100753790967816
"31","data_Mazor_2021_Expt1.csv",0.535025,0.0349,-0.0218640383421221,0.0600000000000001,-0.0440854456687252,0.000620623573410096
"32","data_Mazor_2021_Expt2.csv",0.526082474226804,0.0812,0.0222986404400788,0.1034,-0.00444168410212294,0.0487527343697461
"33","data_Mazor_2021_Expt3.csv",0.610892307692308,0,-0.0154129463591775,0.5342,-0.0633525887770614,0.0312334228805989
"34","data_Mazor_2021_Expt4.csv",0.538783783783784,0.1058,-0.0155999012367172,0.3746,-0.0501752600397059,0.0177954265063823
"35","data_Mazor_2021_Expt5.csv",0.472654867256637,NA,-0.0198565289984411,0.0860000000000001,-0.0421691898101246,0.00210213270968336
"36","data_Mazor_2021_Expt6.csv",0.511529411764706,0.3204,0.00132869566658989,0.9328,-0.0243500165219124,0.0266463403604901
"37","data_Mazor_2021_Expt7.csv",0.556877192982456,0.0072,-0.0793902719007261,0,-0.103996761640325,-0.054813387474621
"38","data_Mei_2019_Exp1.csv",0.514933333333333,0.4874,-0.00793391292044205,0.6354,-0.0396745626451601,0.0238955801787463
"39","data_Mei_2019_Exp2.csv",0.570875,0.1611,-0.00596207172979724,0.7408,-0.0384204151925761,0.0282703645475835
"40","data_OHora_2017.csv",0.515185185185185,0.2938,0.0190023242389176,0.0762,-0.00175209695309993,0.038526579772624
"41","data_OHora_unpub_1.csv",0.551055555555556,0.1401,0.00235382269556853,0.8376,-0.0191629043082982,0.0237465173319863
"42","data_OHora_unpub_2.csv",0.526814814814815,0.395,-0.00583029637283855,0.6884,-0.0348271972922856,0.023128435005076
