"","exp","signcon.statistic","signcon.p","directional_test.statistic","directional_test.p","directional_test.ci_low","directional_test.ci_high"
"1","Adam_1a_VHe_3",0.622083333333333,0.0144985501449855,10.1929034181492,0.0847915208479153,-0.770422238427812,20.8171128150003
"2","Adam_1a_VHe_4",0.4455,0.86001399860014,-5.55763247426029,0.460953904609539,-19.7116191978779,7.53389063687033
"3","Adam_1a_VHe_5",0.673083333333333,0.000399960003999555,-15.0441608904204,0.107389261073893,-31.5371780193047,3.06563596391939
"4","Adam_1a_VHe_6",0.600916666666667,0.0326967303269673,0.164442759143929,0.98030196980302,-16.0625766724594,16.4024425913974
"5","Adam_1b_CHe_3",0.94425,0,-67.790798813651,0.000199980001999833,-77.0458828348395,-57.8477398865117
"6","Adam_1b_CHe_4",0.92175,0,-70.6015942527014,0.000199980001999833,-81.24403242842,-60.0027622136654
"7","Adam_1b_CHe_5",0.775166666666667,0,-55.7753493302654,0.000199980001999833,-68.6333222461999,-42.3940851850176
"8","Adam_1b_CHe_6",0.794916666666667,0,-56.1585247117492,0.000199980001999833,-66.566204712418,-45.8616868703609
"9","Adam_1c_VHo_3",0.78925,0,31.6604692108152,0,22.7606445080271,40.6943384713041
"10","Adam_1c_VHo_4",0.820833333333333,0,31.9872000234316,0,23.5944310858391,42.1962752125546
"11","Adam_1c_VHo_5",0.88175,0,42.7555124794092,0,32.6100314389642,53.3944110482775
"12","Adam_1c_VHo_6",0.933083333333333,0,51.2182103325051,0,40.6567535386726,62.5215786958611
"13","Adam_1d_CHo_3",0.61075,0.0235976402359764,-21.7375741478791,0.000199980001999833,-30.8932778719657,-13.242895630458
"14","Adam_1d_CHo_4",0.4065,0.947505249475053,-8.57004323581702,0.0045995400459955,-14.4344492754574,-3.02925914298428
"15","Adam_1d_CHo_5",0.54825,0.208479152084792,-4.74731606029081,0.301969803019698,-13.3635122289813,3.59173807864508
"16","Adam_1d_CHo_6",0.593416666666667,0.0306969303069693,6.31517605255732,0.204179582041796,-2.82085962586246,15.2455999488399
"17","Adam_2a_VHe_4",0.49125,0.68033196680332,15.7085972024679,0.0371962803719628,2.56618814457761,29.4928040188285
"18","Adam_2a_VHo_4",0.61375,0.0122987701229877,28.7531318988782,0.000199980001999833,17.5711566255119,40.6971347088124
"19","Adam_2b_CHe_4",0.787909090909091,0,-66.0698645311384,0.000199980001999833,-83.0935915805983,-49.469122817236
"20","Adam_2b_CHo_4",0.461636363636364,0.776522347765223,0.632567042003126,0.917908209179082,-12.0602358548231,13.0337592541773
"21","Adam_3a_IC_4",0.581166666666667,0.141085891410859,23.2077510102338,0.000199980001999833,13.5162610714028,33.125948315664
"22","Adam_3a_IV_4",0.832833333333333,0,47.5042418326863,0,36.1848416372948,59.1472635534944
"23","Adam_3b_GC_4",0.5465,0.152684731526847,8.94727195418565,0.125787421257874,-1.96038128951332,19.68756400779
"24","Adam_3b_GV_4",0.754,0,38.752821631171,0,28.208679102507,51.1431906128517
"25","Battich_etal_2021_resp_1",0.623375,0,-0.0133435697444318,0.679532046795321,-0.0689417241642457,0.0460648176655719
"26","Battich_etal_2021_resp_2",0.585446808510638,0.00029997000299975,-0.0367871371020972,0.144985501449855,-0.0845857171376096,0.0113796451238466
"27","Battich_etal_2021_rt_1",0.600612244897959,0.00139986001399861,-0.0891249080478485,0.000399960003999666,-0.141406513662302,-0.0410741742956084
"28","Battich_etal_2021_rt_2",0.666204081632653,0,0.0282876592862245,0.194780521947805,-0.0140926215816042,0.0694926116989661
"29","Estes_etal_2008",0.587363636363636,0.0734926507349265,0.229526507974774,0.983701629837016,-11.7960437550955,12.6074846992088
"30","Forti_Humphreys_2008",0.552222222222222,0.231176882311769,0.0270904290191001,0.30956904309569,-0.0224106802644537,0.0757069407170045
"31","Janssen_etal_2008",0.493846153846154,0.543345665433457,-1.6260989010989,0.792920707929207,-14.0703365384615,10.8019917582417
"32","Mirman_Magnuson_2008",0.5508,0.123987601239876,14.0156752512624,0.00819918008199183,4.57728615320602,23.2541407923828
"33","Roelofs",0.503034482758621,0.574342565743426,9.51510902917438,0.536546345365464,-20.1474703595994,40.166432276633
"34","Yap_etal_2008",0.774676056338028,0,55.5210800811651,0.0143985601439856,12.0300647993639,98.5228111197412
