"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high"
"1","data_Bang_2019_Exp1.csv",0.736333333333333,0.0014,0.0144085031779255,0.1362,-0.00375632659857968,0.0289457359794828
"2","data_Chandravadia_2020.csv",0.532787878787879,0.1016,0.0874239705436795,0,0.0575630359549871,0.118312142809108
"3","data_Clark_2018.csv",0.6395,0.335,0.0217283222707607,0.4948,-0.0145045323163941,0.0579611768579156
"4","data_Clark_unpub.csv",0.4665,0.6972,0.00619922677161966,0.6984,-0.0227440335273521,0.03544388435299
"5","data_Desender_2014.csv",0.6083125,0.0011943539630836,0.0603677881355164,2e-04,0.0346145577470807,0.0870710080357528
"6","data_Filevich_unpub.csv",0.568823529411765,0.1345,0.0347731727626597,0.0172,0.0106662343614213,0.0602572459962849
"7","data_Gajdos_2019.csv",0.561545454545455,0.188,0.00222352662027812,0.8662,-0.0217583956102957,0.0264342641198391
"8","data_Hetland_unpub.csv",0.39475,0.930898116349256,0.0474840922444304,0.2898,-0.0283918201681364,0.121768801374065
"9","data_Hu_2017.csv",0.51941935483871,0.404774314604399,0.00917950169256851,0.636,-0.0302486091068323,0.0482113912883613
"10","data_Jachs_2015_Exp1.csv",0.586461538461538,0.1438,0.0329810701688398,0.1758,-0.00945864824816872,0.0777616686564424
"11","data_Jachs_2015_Exp2.csv",0.503333333333333,0.5363,-0.000907645076043709,0.9436,-0.0259114576844046,0.0232738609625577
"12","data_Jachs_2015_Exp3.csv",0.4646,0.6668,0.0144550816162816,0.5028,-0.0258422694482185,0.0531691548247493
"13","data_Jaquiery_unpub.csv",0.504232258064516,0.2402,-0.00943539228032315,0.089,-0.020284802192232,0.00146337756882347
"14","data_Kantner_2010.csv",0.663616438356164,0,0.122377556773656,0,0.0960399088595848,0.149160803904998
"15","data_Kantner_2012_E1.csv",0.84325,0,0.183879997742682,0,0.153332859584399,0.214082918063381
