"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Benthien & Hesselmann_2021",0.559307692307692,0.1851,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"2","Biderman & Mudrik_2018_1",0.502622222222222,0.6574,-6.90797551595022,0.5622,-30.24422743844,16.3079952558884,57.8347041510349,0,0.0630493016740546,0
"3","Biderman & Mudrik_2018_2",0.531288888888889,0.2564,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"4","Biderman & Mudrik_2018_3",0.569244444444444,0.027,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"5","Chien_et_al._2022_2A",0.534583333333333,0.4443,18.9351503192625,0.017,5.46615084214471,33.3897326246319,0.176421041522471,0,0.245595524690231,0.0789473684210526
"6","Chien_et_al._2022_2B",0.571826086956522,0.1117,-9.01573346295107,0.173,-21.0727146542569,4.22563097409289,8.54894838360363,0,0.157915031397081,0
"7","Chien_et_al._2022_2C",0.429181818181818,0.7848,4.32489653946498,0.4542,-6.36915064229034,14.7867036415903,37.6555238506391,0,0.122123388906523,0
"8","Faivre et al._1_cong",0.456588235294118,0.7202,51.8945585033196,0.071,1.87346166803391,106.212350099743,2.91798283791161,0,0.153317553957278,0
"9","Faivre et al._1_incong",0.458470588235294,0.8513,-20.1664713389206,0.4808,-71.0094384111989,35.3493358439436,5.80322758275032,0,0.211617687420381,0.00928792569659442
"10","Faivre et al._2_cong",0.371909090909091,0.9734,-27.8833467407482,0.0434000000000001,-54.2534135750779,-4.10350339248691,8.44014287843447,0,0.122123388906523,0
"11","Faivre et al._2_incong",0.447454545454545,0.7784,47.1119389057666,0.0662,2.1570014883613,96.66513933912,1.24767923911823,0,0.122123388906523,0
"12","Faivre et al._3_cong",0.512857142857143,0.4581,48.9886500046828,0.2528,-15.8552094831769,132.637589341981,1.85142731546465,0,0.172720766001974,0
"13","Faivre et al._3_incong",0.562190476190476,0.107,-41.6678699096919,0.141,-93.3004805240923,11.2118324994803,1.30699324252879,0,0.172720766001974,0
"14","Faivre et al._4_cong",0.533727272727273,0.3095,-30.3911638100174,0.236,-78.4287207884025,14.496087566749,2.77887400161511,0,0.165009050146206,0
"15","Faivre et al._4_incong",0.518909090909091,0.5742,-12.6822588267598,0.5238,-50.2179938892651,26.13939603232,12.4589196457708,0,0.122123388906523,0
"16","Hurme et al_2020_Masking_Blue",0.669066666666667,0.0148,20.4693885968838,0.0356,2.86103221111832,35.2657589576233,0.0372810229555439,0.0100197546581094,0.394212924370585,0.157894736842105
"17","Hurme et al_2020_Masking_Red",0.563142857142857,0.1993,15.7717698508282,0.0314,3.39701444932395,27.9731012333531,0.298532863523666,0,0.253234319360409,0.0225563909774436
"18","Hurme et al_2020_TMS_Blue",0.616666666666667,0.054,-3.08602318448535,0.6472,-15.6379781761417,8.81884413983839,5.22997869965424,0,0.290432245415513,0.0350877192982456
"19","Hurme et al_2020_TMS_Red",0.586833333333333,0.0958,-5.39188628113402,0.5806,-23.6569316773941,11.0776388708184,2.27082784127415,0,0.205816665186551,0
"20","Noel et al._2020_A",0.496758620689655,0.3725,8.50729982014368,0.0282,1.62395609431166,15.6136600298507,4.80708099357258,0,0.201165479433714,0.0562613430127042
