"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p"
"1","Benthien & Hesselmann_2021",0.534461538461538,0.328,-0.000305961538461544,0.99
"2","Biderman & Mudrik_2018_1",0.49295652173913,0.504,-0.00662180802551897,0.646
"3","Biderman & Mudrik_2018_2",0.535066666666667,0.225,0.0119741329215753,0.218
"4","Biderman & Mudrik_2018_3",0.566133333333333,0.059,0.0154273693107669,0.186
"5","Faivre et al._2014_1_cong",0.466235294117647,0.737,51.8945585033196,0.068
"6","Faivre et al._2014_1_incong",0.460823529411765,0.801,-20.1664713389206,0.454
"7","Faivre et al._2014_2_cong",0.374454545454545,0.976,-27.8833467407482,0.038
"8","Faivre et al._2014_2_incong",0.443818181818182,0.809,47.1119389057666,0.064
"9","Faivre et al._2014_3_cong",0.506857142857143,0.405,48.9886500046828,0.21
"10","Faivre et al._2014_3_incong",0.563142857142857,0.198,-41.6678699096919,0.128
"11","Faivre et al._2014_4_cong",0.534090909090909,0.354,-30.3911638100174,0.276
"12","Faivre et al._2014_4_incong",0.518727272727273,0.425,-12.6822588267598,0.522
"13","Hurme et al_2020_Masking_Blue",0.696545454545455,0.002,-28.9606375930759,0
"14","Hurme et al_2020_Masking_Red",0.540181818181818,0.389,-12.9115662792315,0.0940000000000001
"15","Hurme et al_2020_TMS_Blue",0.628,0.058,6.530797340099,0.376
"16","Hurme et al_2020_TMS_Red",0.6686,0.028,7.25322149531879,0.534
"17","Noel et al_2020_A",0.499428571428571,0.603,0.0070458992725947,0.048
"18","Noel et al_2020_AV",0.657285714285714,0.001,0.0192009427284695,0.002
"19","Noel et al_2020_V",0.590142857142857,0.03,0.0126761499523702,0.002
"20","Skora et al_2020_1",0.393891891891892,0.978,-0.00587001914391285,0.808
"21","Skora et al_2020_2",0.538736842105263,0.299,-0.0983453863891276,0.306
"22","Stein & van Peelen_2020_3_1",0.44868085106383,0.947,-0.0236893751262143,0.13
"23","Stein & van Peelen_2020_3_2",0.492106382978723,0.443,-0.0633813437579709,0
"24","Stein & van Peelen_2020_4b_1",0.478,0.771,-0.00441857679441306,0.822
"25","Zerweck et al_2021_1",0.718333333333333,0,11.2747395833333,0
"26","Zerweck et al_2021_2_20",0.4294,0.916,-2.60660166666667,0.546
"27","Zerweck et al_2021_2_29",0.4933,0.655,4.69020708333334,0.348
"28","Zerweck et al_2021_3_Duration_10",0.358153846153846,0.961,-0.792982211538476,0.702
