"","exp","non_directional.p","non_directional.statistic","non_directional.consistency_per_id.idv","non_directional.consistency_per_id.score","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"1",0.162,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"2","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"10",0.446,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"3","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"11",0.924,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"4","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"12",0.512,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"5","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"13",0.578,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"6","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"14",0.866,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"7","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"15",0.488,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"8","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"16",0.908,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"9","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"17",0.414,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"10","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"2",0.88,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"11","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"20",0.51,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"12","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"21",0.682,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
"13","Benthien & Hesselmann_2021",0.1851,0.559307692307692,"22",0.232,0.275789011201484,0.9504,-7.54145417014544,7.6745177077027,-99999,0,0.139692234292342,0
