"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","pos_bf","pbt.low","pbt.high"
"1","Benthien & Hesselmann_2021",0.534461538461538,0.328,-0.000305961538461544,0.99,-99999,-99999,-99999
"2","Biderman & Mudrik_2018_1",0.422391304347826,0.977,-0.0201750143478261,0.122,0,0,0.0661941387363435
"3","Biderman & Mudrik_2018_2",0.4708,0.829,0.00300551244444445,0.772,0.0204189607455174,0,0.0843474548352331
"4","Biderman & Mudrik_2018_3",0.465333333333333,0.818,0.0243454346777778,0.024,0.00928228768376171,0,0.0843474548352331
"5","Faivre et al._2014_1_cong",0.536941176470588,0.37,48.9294117647059,0.182,1.27700503982194,0,0.163748969049626
"6","Faivre et al._2014_1_incong",0.524470588235294,0.402,16.6529411764706,0.76,0.0778155659236926,0,0.290245568533308
"7","Faivre et al._2014_2_cong",0.387181818181818,0.994,-1.94318181818181,0.926,0.0291347640285719,0,0.130599271784092
"8","Faivre et al._2014_2_incong",0.433363636363636,0.868,62.6954545454546,0.086,1.18659059207829,0,0.130599271784092
"9","Faivre et al._2014_3_cong",0.564857142857143,0.044,91.9380952380952,0.042,0.693274454038877,0,0.13611233629741
"10","Faivre et al._2014_3_incong",0.508571428571429,0.517,-24.2833333333333,0.536,0.00251766444871864,0,0.182874398605618
"11","Faivre et al._2014_4_cong",0.450090909090909,0.81,-42.5272727272727,0.288,0.000628192040612048,0,0.279572598318737
"12","Faivre et al._2014_4_incong",0.525545454545455,0.311,-15.9454545454545,0.446,0.0182888566721953,0,0.174794207260831
"13","Hurme et al_2020_Masking_Blue",0.610727272727273,0.038,-22.1818181818182,0.02,0,0,0.426202489729668
"14","Hurme et al_2020_Masking_Red",0.553636363636364,0.275,-6.77272727272727,0.278,0.00278155233388217,0,0.23527550866827
"15","Hurme et al_2020_TMS_Blue",0.5048,0.429,10.8,0.356,0.995105835900554,0,0.355882194780198
"16","Hurme et al_2020_TMS_Red",0.5402,0.352,12.7,0.276,0.470096656046172,0,0.460219383796038
"17","Noel et al_2020_A",0.484857142857143,0.556,0.00560964285714285,0.204,0.0797973613740399,0,0.218376202735734
"18","Noel et al_2020_AV",0.644928571428571,0.001,0.0145435714285714,0.004,0.021168603121295,0.122777591840969,0.483064699143522
"19","Noel et al_2020_V",0.593071428571429,0.079,0.00767678571428571,0.042,0.842142493804953,0,0.261404332647783
"20","Skora et al_2020_1",0.39172972972973,0.972,-0.00587001914391285,0.848,-99999,-99999,-99999
"21","Skora et al_2020_2",0.534842105263158,0.217,-0.0983453863891276,0.354,-99999,-99999,-99999
"22","Stein & van Peelen_2020_3_1",0.503170212765957,0.367,0.239336486422322,0.252,-99999,-99999,-99999
"23","Stein & van Peelen_2020_3_2",0.501659574468085,0.352,-0.0327662024521063,0.906,-99999,-99999,-99999
"24","Stein & van Peelen_2020_4b_1",0.51232,0.295,0.118404536962278,0.402,-99999,-99999,-99999
"25","Zerweck et al_2021_2_20",0.4817,0.541,-0.462997500000009,0.976,0.0447412394335565,0,0.191680369225914
"26","Zerweck et al_2021_2_29",0.4519,0.85,3.904795,0.466,0.400036866082619,0,0.142110350313168
"27","Zerweck et al_2021_2_39",0.5272,0.463,1.2011125,0.83,0.167333026247061,0,0.2482671425506
"28","Zerweck et al_2021_3_Duration_10",0.357076923076923,0.997,0.722638461538465,0.696,0.048748041879415,0,0.205402595298148
"29","Zerweck et al_2021_3_Duration_20",0.559090909090909,0.257,-8.50494090909089,0.0920000000000001,0.000554588587457375,0,0.328917353561452
"30","Zerweck et al_2021_3_Duration_30",0.4275,0.822,1.06477500000002,0.784,0.0316368780930936,0,0.219332403706783
"31","Zerweck et al_2021_3_Duration_40",0.648133333333333,0.016,12.2882733333334,0.01,2.14629082444608,0.0890365498133976,0.563007565013871
