"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Benthien & Hesselmann_2021",0.534461538461538,0.3405,0.445228846153846,0.624538461538461,-0.305961538461529,0.9402,-8.03731249999999,7.14404807692307,-99999,0,0.105019230176344,0
"2","Biderman & Mudrik_2018_1",0.433777777777778,0.9746,0.374533333333333,0.495777777777778,-13.3695073651625,0.2434,-34.950575486177,8.78185893401084,54.6777754488812,0,0.0630493016740546,0
"3","Biderman & Mudrik_2018_2",0.471111111111111,0.7551,0.396533333333333,0.547467777777778,3.00551249666597,0.7328,-13.7110852436419,19.0840238000436,42.0697668216161,0,0.079117442145712,0
"4","Biderman & Mudrik_2018_3",0.466222222222222,0.7648,0.387022222222222,0.548266666666667,24.3454347392249,0.0342,3.14020091962103,45.7835547623893,20.9944958924129,0,0.079117442145712,0
"5","Chien_et_al._2022_2A",0.503083333333333,0.4207,0.381833333333333,0.628166666666667,12.6197203958333,0.1088,-1.60598679531249,27.3804318395833,0.16431334766306,0,0.245595524690231,0.0789473684210526
"6","Chien_et_al._2022_2B",0.476521739130435,0.5376,0.393391304347826,0.557565217391304,-1.82009528260869,0.7542,-11.7398205554348,8.99018051684785,8.72923458409601,0,0.117346156154949,0
"7","Chien_et_al._2022_2C",0.506818181818182,0.4947,0.408,0.609363636363636,-0.384364818181831,0.944,-13.9781143840909,11.7400958130682,38.5522630617255,0,0.122123388906523,0
"8","Faivre et al._1_cong",0.537058823529412,0.2143,0.424114705882353,0.643647058823529,48.9294117647059,0.1774,-13.8619117647059,114.997279411765,2.4345102019908,0,0.153317553957278,0
"9","Faivre et al._1_incong",0.523764705882353,0.3722,0.418823529411765,0.633176470588235,16.6529411764706,0.7576,-49.7530882352941,101.979705882353,5.68314493431756,0,0.277461497257911,0.0712074303405573
"10","Faivre et al._2_cong",0.388363636363636,0.9934,0.307270454545455,0.478545454545455,-1.94318181818181,0.9318,-43.4183522727272,37.2955113636363,7.7697114721912,0,0.122123388906523,0
"11","Faivre et al._2_incong",0.432181818181818,0.897,0.337272727272727,0.532909090909091,62.6954545454546,0.0876,0.597613636363664,140.313693181818,2.53602280613223,0,0.122123388906523,0
"12","Faivre et al._3_cong",0.559714285714286,0.1348,0.461238095238095,0.658095238095238,91.9380952380952,0.0564,5.86416666666667,209.861964285714,2.28012057386081,0,0.127305431654839,0
"13","Faivre et al._3_incong",0.514857142857143,0.4169,0.407904761904762,0.620476190476191,-24.2833333333333,0.539,-94.1071428571428,48.8380952380953,1.25453536111437,0,0.172720766001974,0
"14","Faivre et al._4_cong",0.441181818181818,0.8458,0.323181818181818,0.568727272727273,-42.5272727272727,0.2654,-112.99125,14.1364772727272,2.73461713481951,0,0.268329023178601,0.0909090909090909
"15","Faivre et al._4_incong",0.530090909090909,0.3607,0.435272727272727,0.626727272727273,-15.9454545454545,0.4514,-55.5227840909091,23.7410227272727,12.6444982527167,0,0.165009050146206,0
"16","Hurme et al_2020_Masking_Blue",0.592666666666667,0.0953,0.4464,0.7372,14.1666666666667,0.0918,-1.03333333333333,28.3,0.0367976860024306,0,0.312062049598051,0.087719298245614
"17","Hurme et al_2020_Masking_Red",0.540428571428571,0.1917,0.406714285714286,0.675428571428571,6.42857142857143,0.215,-3.57142857142857,15.8571428571429,0.255141372218652,0,0.181036272522085,0
"18","Hurme et al_2020_TMS_Blue",0.521333333333333,0.2899,0.3525,0.7015,-8.125,0.446,-26.5416666666667,5.875,5.56962235506495,0,0.380820874515511,0.12280701754386
"19","Hurme et al_2020_TMS_Red",0.501166666666667,0.5572,0.327,0.683166666666667,-11.1666666666667,0.245,-28,2.58333333333333,2.18096693736903,0,0.380820874515511,0.12280701754386
"20","Noel et al._2020_A",0.480827586206897,0.6191,0.377310344827586,0.588275862068966,6.67827586206897,0.0956,-0.684168103448286,14.3525948275862,4.51198003881259,0,0.201165479433714,0.0562613430127042
"21","Noel et al._2020_AV",0.648428571428571,3e-04,0.537357142857143,0.754714285714286,14.5435714285714,0.0036,5.97497321428572,23.7432410714286,4.33731570945886e-06,0.129027837890116,0.473865508479647,0.285714285714286
"22","Noel et al._2020_V",0.597103448275862,0.0144,0.50303275862069,0.689655172413793,11.1224137931035,0.0196,2.37739655172415,21.7260344827586,0.119857016125159,0,0.242392181094013,0.0925589836660617
"23","Skora et al_2020_1",0.623459459459459,1e-04,0.526756756756757,0.715081081081081,0.0344277241481386,0.4624,-0.0538936193218408,0.124356680822658,-99999,0.00395366686388845,0.221662035234383,0.0896159317211949
"24","Skora et al_2020_2",0.532315789473684,0.2487,0.360102631578948,0.701160526315789,-0.0986421425155336,0.329,-0.287820197586634,0.0881726477553892,-99999,0,0.310023077976048,0.113573407202216
"25","Stein & van Peelen_2020_3_LOC_1",0.525085106382979,0.1857,0.46563829787234,0.584872340425532,0.04374403321418,0.4102,-0.0582862764097041,0.144052331733444,-99999,0,0.0785485386648632,0.0145576707726764
"26","Stein & van Peelen_2020_3_LOC_2",0.499170212765957,0.4194,0.436127659574468,0.562872872340425,0.224857353818014,0,0.120301949700532,0.333487501336455,-99999,0.0138795837138073,0.148262040667254,0.070548712206047
"27","Stein & van Peelen_2020_3_PAS_1",0.367255319148936,1,0.317765957446809,0.417744680851064,-0.00626091000938683,0.8594,-0.0704318928259923,0.0589612224724173,-99999,0,0.0310420118679536,0
"28","Stein & van Peelen_2020_3_PAS_2",0.49263829787234,0.6765,0.434914893617021,0.551489893617021,0.193715114862223,0,0.114327780517821,0.274389278021101,-99999,0,0.0577390092917969,0
