"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Benthien & Hesselmann_2021",0.559307692307692,0.1887,0.459076923076923,0.659692307692308,0.275789011201484,0.9418,-7.48719997222499,7.69123454232931,-99999,0,0.139692234292342,0
"2","Biderman & Mudrik_2018_1",0.502622222222222,0.3409,0.424133333333333,0.580977777777778,-6.90797551595022,0.5622,-30.1015784248015,16.181564684336,54.6777754488812,0,0.0630493016740546,0
"3","Biderman & Mudrik_2018_2",0.531288888888889,0.2199,0.443644444444444,0.617734444444444,11.9741329141485,0.2398,-7.40214315538003,31.4859318761075,42.0697668216161,0,0.0990162091266499,0
"4","Biderman & Mudrik_2018_3",0.569244444444444,0.0253,0.4852,0.65049,15.4273693190503,0.197,-7.38847263937019,38.2624428841742,20.9944958924129,0,0.174617820324777,0.064327485380117
"5","Chien_et_al._2022_2A",0.534583333333333,0.262,0.403916666666667,0.661666666666667,18.9351503192625,0.0128,5.41243240258659,33.4327372607626,0.16431334766306,0,0.245595524690231,0.0789473684210526
"6","Chien_et_al._2022_2B",0.571826086956522,0.0895,0.450608695652174,0.686782608695652,-9.01573346295107,0.1822,-21.0865960927346,4.17755028337858,8.72923458409601,0,0.157915031397081,0
"7","Chien_et_al._2022_2C",0.429181818181818,0.9126,0.319,0.541363636363636,4.32489653946498,0.455,-6.44212046379046,14.8022643117494,38.5522630617255,0,0.122123388906523,0
"8","Faivre et al._1_cong",0.456588235294118,0.7458,0.355882352941176,0.556705882352941,51.8945585033196,0.0706,1.68954411386753,106.070262519091,2.4345102019908,0,0.153317553957278,0
"9","Faivre et al._1_incong",0.458470588235294,0.7173,0.330823529411765,0.592470588235294,-20.1664713389206,0.4986,-71.0295293503333,35.713672404227,5.68314493431756,0,0.211617687420381,0.00928792569659442
"10","Faivre et al._2_cong",0.371909090909091,0.9943,0.260636363636364,0.490818181818182,-27.8833467407482,0.0376000000000001,-54.1107416433286,-3.88905630280105,7.7697114721912,0,0.122123388906523,0
"11","Faivre et al._2_incong",0.447454545454545,0.7738,0.336181818181818,0.563454545454545,47.1119389057666,0.0724,2.44619638053301,96.9326646255662,2.53602280613223,0,0.122123388906523,0
"12","Faivre et al._3_cong",0.512857142857143,0.3183,0.413714285714286,0.615619047619048,48.9886500046828,0.2388,-15.8709245900508,132.131629259307,2.28012057386081,0,0.172720766001974,0
"13","Faivre et al._3_incong",0.562190476190476,0.1673,0.456666666666667,0.663333333333333,-41.6678699096919,0.149,-92.7644681350673,10.8609076641961,1.25453536111437,0,0.172720766001974,0
"14","Faivre et al._4_cong",0.533727272727273,0.3687,0.420636363636364,0.648545454545455,-30.3911638100174,0.2308,-78.6436524237134,14.6140940381896,2.73461713481951,0,0.165009050146206,0
