"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","pos_bf","pbt.low","pbt.high"
"1","Biderman & Mudrik_2018_1",0.424608695652174,0.967,-0.0201750143478261,0.146,59.628752843101,0,0.0617501347108245
"2","Biderman & Mudrik_2018_2",0.4708,0.81,0.00300551244444445,0.678,41.6901508724838,0,0.079117442145712
"3","Biderman & Mudrik_2018_3",0.469333333333333,0.838,0.0243454346777778,0.03,20.8188072633545,0,0.079117442145712
"4","Faivre et al._2014_1_cong",0.539411764705882,0.336,48.9294117647059,0.218,2.59246073151962,0,0.153317553957278
"5","Faivre et al._2014_1_incong",0.527058823529412,0.35,16.6529411764706,0.784,6.19838871609567,0,0.277461497257911
"6","Faivre et al._2014_2_cong",0.390818181818182,0.997,-1.94318181818181,0.946,7.75458258606,0,0.122123388906523
"7","Faivre et al._2014_2_incong",0.432454545454545,0.921,62.6954545454546,0.098,2.36907777847932,0,0.122123388906523
"8","Faivre et al._2014_3_cong",0.568952380952381,0.07,91.9380952380952,0.048,2.0622269689977,0,0.127305431654839
"9","Faivre et al._2014_3_incong",0.507428571428571,0.359,-24.2833333333333,0.518,1.24854623682341,0,0.172720766001974
"10","Faivre et al._2014_4_cong",0.444090909090909,0.829,-42.5272727272727,0.298,2.98396192737611,0,0.268329023178601
"11","Faivre et al._2014_4_incong",0.526181818181818,0.23,-15.9454545454545,0.408,14.2224145008368,0,0.165009050146206
"12","Hurme et al_2020_Masking_Blue",0.617636363636364,0.049,-22.1818181818182,0.02,0.00974507155993704,0,0.409999855810983
"13","Hurme et al_2020_Masking_Red",0.545454545454545,0.142,-6.77272727272727,0.29,0.956775827941058,0,0.220922191945556
"14","Hurme et al_2020_TMS_Blue",0.4946,0.406,10.8,0.378,4.23658002201889,0,0.339165226974911
"15","Hurme et al_2020_TMS_Red",0.523,0.246,12.7,0.252,0.972598352499928,0,0.443382814476546
"16","Noel et al_2020_A",0.486214285714286,0.514,0.00560964285714285,0.162,5.20490013171717,0,0.20889785883397
"17","Noel et al_2020_AV",0.642857142857143,0.001,0.0145435714285714,0.002,4.47648025513948e-06,0.129027837890116,0.473865508479647
"18","Noel et al_2020_V",0.5885,0.066,0.00767678571428571,0.024,0.151382383918428,0.000911477425072002,0.25241628726471
"19","Skora et al_2020_1",0.387837837837838,0.966,-0.00587001914391285,0.848,-99999,0,0.123478494418657
"20","Skora et al_2020_2",0.538526315789474,0.282,-0.0983453863891276,0.304,-99999,0,0.310023077976048
