"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","quid_bf","pbt.low","pbt.high"
"1","1a_Variable_Heterogenous_3",0.527416666666667,0.277,0.00994446873664861,0.1,6.41922774573101,0,0.196804362497369
"2","1a_Variable_Heterogenous_4",0.440916666666667,0.89,-0.0112209816773733,0.192,19.3223256034303,0,0.245595524690231
"3","1a_Variable_Heterogenous_5",0.664166666666667,0.002,-0.0203617413838709,0.11,0.238583922366293,0,0.245595524690231
"4","1a_Variable_Heterogenous_6",0.550083333333333,0.237,0.0119271924098324,0.256,17.5028882398806,0,0.196804362497369
"5","1d_Constant_Homogenous_3",0.605916666666667,0.011,-0.015856092174848,0,7.07461230609614e-08,0.163826020346997,0.545676058646036
"6","1d_Constant_Homogenous_4",0.51775,0.304,-0.0125346332788468,0.002,22.6241217548422,0,0.196804362497369
"7","1d_Constant_Homogenous_5",0.580583333333333,0.062,-0.00201974809169765,0.678,11.7639033099954,0,0.151369229889393
"8","1d_Constant_Homogenous_6",0.575333333333333,0.102,0.00896254678567252,0.05,6.26879856041998,0,0.196804362497369
"9","2a_Variable_Heterogeneous",0.505333333333333,0.383,0.0127580414215729,0.246,3.53728635197888,0,0.196804362497369
"10","2b_Constant_Homogeneous",0.542454545454545,0.21,-0.00389780781485808,0.61,18.0939049545336,0,0.165009050146206
"11","3b_Grouped_Constant",0.529,0.205,0.00483260552088438,0.496,11.5011458496199,0,0.245595524690231
"12","Estes_colleagues_RT",0.555727272727273,0.121,5.04545454545455,0.54,3.81362187147325,0,0.268329023178601
"13","Forti_Humphreys_0",0.707,0.27,0.111111111111111,0.51,-99999,0,0.200454419074308
"14","Forti_Humphreys_1",0.750666666666667,0.543,0,0,-99999,0,0.262616570242638
"15","Janssen_colleagues",0.492791208791209,0.644,4.30769230769231,0.482,94.6428703190121,0,0.0512524191915094
"16","jasifi_resp_1",0.639142857142857,0,-0.0130712519945455,0.656,-99999,0.782911159055929,0.960010037509883
"17","jasifi_resp_2",0.599387755102041,0,-0.0352856213020116,0.126,-99999,0.782911159055929,0.960010037509883
"18","jasifi_rt_1",0.599673469387755,0.005,-0.0891249100371259,0,-99999,0.130190458457325,0.388462498342349
"19","jasifi_rt_2",0.665020408163265,0,0.0282876567363883,0.21,-99999,0.045935095079381,0.268675483858157
"20","Mirman_Magnuson",0.592266666666667,0.026,13.5333333333333,0.042,10.2291749256234,0,0.155430994586976
"21","PTKE_Truth_Rep",0.526202247191011,0,0.48689138576779,0,2.18299049385446e-72,0.139320939170094,0.245462792812484
"22","Roelofs_pic",0.472275862068966,0.729,-8.72413793103448,0.324,2.45205129407521,0,0.125039562567444
"23","Roelofs_word",0.416689655172414,0.958,9.1551724137931,0.15,5.92428026148346,0,0.125039562567444
"24","Yap_colleagues_CleanProc",0.970478873239437,0,202.140845070423,0,0,0.866695723289345,0.981399074443268
"25","Yap_colleagues_DegradedProc",0.884394366197183,0,280.077464788732,0,2.77436906721125e-301,0.619716267585439,0.828473910669999
