"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high"
"1","1a_Variable_Heterogenous_3",0.622083333333333,0.0145,0.0101929028488611,0.0848,-0.000770422078184507,0.020817111787116
"2","1a_Variable_Heterogenous_4",0.4455,0.8601,-0.00555763124003413,0.4608,-0.0197116179720631,0.00753389164006042
"3","1a_Variable_Heterogenous_5",0.673083333333333,4e-04,-0.0150441610446931,0.1072,-0.0315371785619498,0.00306563530645882
"4","1a_Variable_Heterogenous_6",0.600916666666667,0.0327,0.000164443092126066,0.9804,-0.0160625757299357,0.0164024428152959
"5","1d_Constant_Homogenous_3",0.61075,0.0236,-0.0217375743099854,0,-0.0308932787277682,-0.0132428946889653
"6","1d_Constant_Homogenous_4",0.4065,0.9476,-0.00857004357357728,0.00439999999999996,-0.0144344490028001,-0.00302925909732748
"7","1d_Constant_Homogenous_5",0.54825,0.2085,-0.00474731587397753,0.3018,-0.0133635122296332,0.00359173829490376
"8","1d_Constant_Homogenous_6",0.593416666666667,0.0307,0.006315175508915,0.2042,-0.00282086048505209,0.0152456010381216
"9","2a_Variable_Heterogeneous",0.49125,0.6804,0.0157085973855604,0.0372,0.00256618801065105,0.0294928039427649
"10","2b_Constant_Homogeneous",0.461636363636364,0.7766,0.000632567781625596,0.918,-0.0120602352918888,0.0130337603776246
"11","3b_Grouped_Constant",0.5465,0.1527,0.00894727182117951,0.1258,-0.00196038220112863,0.0196875628956553
"12","Estes_colleagues_RT",0.587363636363636,0.0735,0.229526507974774,0.9838,-11.7960437550955,12.6074846992088
"13","Forti_Humphreys_0",0.425222222222222,0.8109,0.028386825900796,0.0974,-0.00142893728242081,0.0615398748653535
"14","Forti_Humphreys_1",0.518777777777778,0.3563,0.0554772549198961,0.0012,0.0285804897342812,0.0839617812078146
"15","Janssen_colleagues",0.493846153846154,0.5434,-1.6260989010989,0.7928,-14.0703365384615,10.8019917582417
"16","jasifi_resp_1",0.634489795918367,0,-0.0130712519945455,0.661,-0.0674421936262189,0.0453477514158373
"17","jasifi_resp_2",0.603551020408163,7e-04,-0.0352856213020116,0.1414,-0.0810228573355045,0.0104077457950649
"18","jasifi_rt_1",0.600612244897959,0.0014,-0.0891249100371259,0.000199999999999978,-0.141406516219023,-0.0410741750820812
"19","jasifi_rt_2",0.666204081632653,0,0.0282876567363883,0.1948,-0.0140926250970824,0.0694926106438238
"20","Mirman_Magnuson",0.5654,0.1452,3.9965123816159,0.7756,-21.2468024818161,25.5212049476541
"21","PTKE_Truth_Rep",0.552943820224719,0,0.391385767790262,0,0.31123595505618,0.473033707865169
"22","Roelofs_pic",0.554758620689655,0.17,-7.06725944847542,0.631,-35.6817070636706,22.2225697245479
"23","Roelofs_word",0.474137931034483,0.6446,4.54017215596163,0.5906,-10.5597795132142,20.7331266963424
"24","Yap_colleagues_CleanProc",0.966816901408451,0,215.510859924431,0,189.897029456484,241.90003767095
"25","Yap_colleagues_DegradedProc",0.92030985915493,0,271.031940005596,0,224.086258470292,319.90237356789
