"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","1a_Variable_Heterogenous_3",0.527416666666667,0.3178,0.426416666666667,0.631583333333333,0.00994446873664861,0.0924,-0.000922665993372581,0.0207408094157778,7.62290689268037,0,0.196804362497369,0.0350877192982456
"2","1a_Variable_Heterogenous_4",0.431166666666667,0.8231,0.323416666666667,0.547416666666667,-0.0112209816773733,0.1944,-0.0278224854419629,0.00473576635122282,18.8349107568411,0,0.245595524690231,0.0789473684210526
"3","1a_Variable_Heterogenous_5",0.668583333333333,0,0.57133125,0.757666666666667,-0.0203617413838709,0.1126,-0.0428065236657857,0.00391789339482709,0.237779356960877,0,0.245595524690231,0.0789473684210526
"4","1a_Variable_Heterogenous_6",0.54175,0.2097,0.447416666666667,0.638333333333333,0.0119271924098324,0.2676,-0.00913055899242657,0.0314014113197717,16.8575732064541,0,0.196804362497369,0.0350877192982456
"5","1d_Constant_Homogenous_3",0.602083333333333,0.0152,0.478583333333333,0.72475,-0.015856092174848,0,-0.0225721653550863,-0.00973572209477431,7.12120558829763e-08,0.163826020346997,0.545676058646036,0.342105263157895
"6","1d_Constant_Homogenous_4",0.511583333333333,0.4171,0.39758125,0.627583333333333,-0.0125346332788468,0.000399999999999956,-0.0193563838799795,-0.00648376730581124,17.8942885954788,0,0.196804362497369,0.0350877192982456
"7","1d_Constant_Homogenous_5",0.581166666666667,0.0942,0.479833333333333,0.6785,-0.00201974809169765,0.6618,-0.0109446916729212,0.00612671139339606,10.7231697307902,0,0.151369229889393,0
"8","1d_Constant_Homogenous_6",0.583166666666667,0.0628,0.474166666666667,0.692918749999999,0.00896254678567252,0.049,0.000982554629445125,0.0176051532228788,6.74057869593008,0,0.196804362497369,0.0350877192982456
"9","2a_Variable_Heterogeneous",0.506333333333333,0.4866,0.404833333333333,0.612666666666667,0.0127580414215729,0.245,-0.00635661333799285,0.0342035676042247,3.48380420077156,0,0.196804362497369,0.0350877192982456
"10","2b_Constant_Homogeneous",0.541727272727273,0.2666,0.438,0.643454545454546,-0.00389780781485808,0.6314,-0.0190333581783556,0.00983792597597282,18.4375075708155,0,0.165009050146206,0
"11","3b_Grouped_Constant",0.5355,0.3089,0.414666666666667,0.65875,0.00483260552088438,0.5206,-0.00937316839893634,0.0164406442393861,11.4881068109812,0,0.245595524690231,0.0789473684210526
"12","Estes_colleagues_RT",0.562909090909091,0.0688,0.453363636363636,0.674454545454545,5.04545454545455,0.5124,-9.52272727272727,20.0227272727273,3.69191557207247,0,0.268329023178601,0.0909090909090909
"13","Forti_Humphreys_0",0.693444444444444,0.2899,0.548666666666667,0.832555555555556,0.111111111111111,0.4804,0,0.277777777777778,-99999,0,0.200454419074308,0.00584795321637426
"14","Forti_Humphreys_1",0.748555555555556,0.5149,0.597666666666667,0.884,0,0,0,0,-99999,0,0.262616570242638,0.064327485380117
"15","Janssen_colleagues",0.494021978021978,0.613,0.442812637362637,0.546703296703297,4.30769230769231,0.4984,-8.07692307692308,17.1373626373626,88.400898862086,0,0.0512524191915094,0
"16","jasifi_resp_1",0.637020408163265,0,0.545469387755102,0.726245918367347,-0.0130712519945455,0.6614,-0.0673146168281636,0.0453595472671826,-99999,0.0784564094090256,0.317767925205865,0.183673469387755
"17","jasifi_resp_2",0.604040816326531,2e-04,0.515428571428571,0.691224489795918,-0.0352856213020116,0.154,-0.0809366923702317,0.0107846052465217,-99999,0.045935095079381,0.268675483858157,0.140708915145005
"18","jasifi_rt_1",0.598816326530612,0.0038,0.50134693877551,0.694938775510204,-0.0891249100371259,0.00140000000000007,-0.141580691702512,-0.0408253069807592,-99999,0.112603609708613,0.365233883532986,0.226638023630505
"19","jasifi_rt_2",0.664530612244898,0,0.581182653061225,0.745469387755102,0.0282876567363883,0.1906,-0.0140187190215881,0.0695130742015382,-99999,0.0619626113161966,0.293462793661901,0.16219119226638
"20","Mirman_Magnuson",0.588933333333333,0.0121,0.495931666666667,0.680533333333333,13.5333333333333,0.0356,1.66666666666667,24.8504166666666,11.9903787048523,0,0.155430994586976,0.0175438596491228
"21","PTKE_Truth_Rep",0.528951310861423,0,0.493572846441948,0.564883895131086,0.48689138576779,0,0.378277153558052,0.595505617977528,2.18185709314981e-72,0.139320939170094,0.245462792812484,0.189672293942403
"22","Roelofs_pic",0.481241379310345,0.6653,0.397931034482759,0.565724137931034,-8.72413793103448,0.2974,-24.448275862069,7.48275862068965,2.39914452225604,0,0.125039562567444,0
"23","Roelofs_word",0.414137931034483,0.9644,0.337931034482759,0.495793103448276,9.1551724137931,0.147,-1.91379310344828,21.7068965517241,6.08491451001309,0,0.125039562567444,0
"24","Yap_colleagues_CleanProc",0.970901408450704,0,0.943211267605634,0.992225352112676,202.140845070423,0,175.5,230.028169014085,0,0.866695723289345,0.981399074443268,0.940696812453669
"25","Yap_colleagues_DegradedProc",0.884676056338028,0,0.834169014084507,0.929915492957746,280.077464788732,0,228.225352112676,334.148063380282,2.7744656568527e-301,0.619716267585439,0.828473910669999,0.733135656041512
