,exp,non_directional.statistic,non_directional.p,non_directional.ci_low,non_directional.ci_high,directional_effect.statistic,directional_effect.p,directional_effect.ci_low,directional_effect.ci_high,quid_bf,pbt.low,pbt.high,pbt.MAP
1,Benthien & Hesselmann_2021,0.559307692,0.1887,0.459076923,0.659692308,0.275789011,0.9418,-7.487199972,7.691234542,-99999,0,0.139692234,0
2,Biderman & Mudrik_2018_1,0.502622222,0.3409,0.424133333,0.580977778,-6.907975516,0.5622,-30.10157842,16.18156468,54.67777545,0,0.063049302,0
3,Biderman & Mudrik_2018_2,0.531288889,0.2199,0.443644444,0.617734444,11.97413291,0.2398,-7.402143155,31.48593188,42.06976682,0,0.099016209,0
4,Biderman & Mudrik_2018_3,0.569244444,0.0253,0.4852,0.65049,15.42736932,0.197,-7.388472639,38.26244288,20.99449589,0,0.17461782,0.064327485
5,Chien_et_al._2022_2A,0.534583333,0.262,0.403916667,0.661666667,18.93515032,0.0128,5.412432403,33.43273726,0.164313348,0,0.245595525,0.078947368
6,Chien_et_al._2022_2B,0.571826087,0.0895,0.450608696,0.686782609,-9.015733463,0.1822,-21.08659609,4.177550283,8.729234584,0,0.157915031,0
7,Chien_et_al._2022_2C,0.429181818,0.9126,0.319,0.541363636,4.324896539,0.455,-6.442120464,14.80226431,38.55226306,0,0.122123389,0
8,Faivre et al._1_cong,0.456588235,0.7458,0.355882353,0.556705882,51.8945585,0.0706,1.689544114,106.0702625,2.434510202,0,0.153317554,0
9,Faivre et al._1_incong,0.458470588,0.7173,0.330823529,0.592470588,-20.16647134,0.4986,-71.02952935,35.7136724,5.683144934,0,0.211617687,0.009287926
10,Faivre et al._2_cong,0.371909091,0.9943,0.260636364,0.490818182,-27.88334674,0.0376,-54.11074164,-3.889056303,7.769711472,0,0.122123389,0
11,Faivre et al._2_incong,0.447454545,0.7738,0.336181818,0.563454545,47.11193891,0.0724,2.446196381,96.93266463,2.536022806,0,0.122123389,0
12,Faivre et al._3_cong,0.512857143,0.3183,0.413714286,0.615619048,48.98865,0.2388,-15.87092459,132.1316293,2.280120574,0,0.172720766,0
13,Faivre et al._3_incong,0.562190476,0.1673,0.456666667,0.663333333,-41.66786991,0.149,-92.76446814,10.86090766,1.254535361,0,0.172720766,0
14,Faivre et al._4_cong,0.533727273,0.3687,0.420636364,0.648545455,-30.39116381,0.2308,-78.64365242,14.61409404,2.734617135,0,0.16500905,0
