"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Benthien & Hesselmann_2021",0.534461538461538,0.3405,0.445228846153846,0.624538461538461,-0.305961538461529,0.9402,-8.03731249999999,7.14404807692307,-99999,0,0.105019230176344,0
"2","Biderman & Mudrik_2018_1",0.437422222222222,0.9508,0.376666666666667,0.500444444444444,-13.3695073651625,0.2396,-34.8816592831115,8.72908474332712,56.8047229180454,0,0.0630493016740546,0
"3","Biderman & Mudrik_2018_2",0.469644444444444,0.7932,0.395733333333333,0.545734444444444,3.00551249666597,0.7242,-13.7455743694901,19.1137426754131,42.6208218947463,0,0.079117442145712,0
"4","Biderman & Mudrik_2018_3",0.468133333333333,0.8362,0.389865555555556,0.549733333333333,24.3454347392249,0.032,3.13611638848989,46.0305299863511,21.162173778424,0,0.079117442145712,0
"5","Faivre et al._2014_1_cong",0.534588235294118,0.2373,0.422117647058824,0.640235294117647,48.9294117647059,0.1668,-13.9148529411765,115.185367647059,2.61772974370003,0,0.153317553957278,0
"6","Faivre et al._2014_1_incong",0.524705882352941,0.349,0.420352941176471,0.633885294117646,16.6529411764706,0.7494,-49.141544117647,101.776617647059,6.09699530263039,0,0.277461497257911,0.0712074303405573
"7","Faivre et al._2014_2_cong",0.389636363636364,0.9834,0.307636363636364,0.482090909090909,-1.94318181818181,0.9348,-43.2773863636364,37.6363636363636,7.93467219439762,0,0.122123388906523,0
"8","Faivre et al._2014_2_incong",0.435090909090909,0.9408,0.340181818181818,0.536727272727273,62.6954545454546,0.0856,0.547613636363667,140.061477272727,2.15288142949703,0,0.122123388906523,0
"9","Faivre et al._2014_3_cong",0.558285714285714,0.1147,0.457619047619048,0.658573809523809,91.9380952380952,0.0486,6.30422619047626,211.781488095238,2.26199215185773,0,0.127305431654839,0
"10","Faivre et al._2014_3_incong",0.51447619047619,0.5247,0.410666666666667,0.617333333333333,-24.2833333333333,0.5466,-93.7931547619047,49.0429166666667,1.27235818881772,0,0.172720766001974,0
"11","Faivre et al._2014_4_cong",0.439181818181818,0.8284,0.317545454545455,0.568818181818182,-42.5272727272727,0.273,-112.707045454545,14.0162499999999,2.78281416665105,0,0.268329023178601,0.0909090909090909
"12","Faivre et al._2014_4_incong",0.531909090909091,0.2828,0.435636363636364,0.630365909090909,-15.9454545454545,0.4628,-55.5704545454545,23.5410227272727,13.2601187080539,0,0.165009050146206,0
"13","Hurme et al_2020_Masking_Blue",0.624181818181818,0.0198,0.445454545454545,0.794909090909091,-22.1818181818182,0.0187999999999999,-36.2727272727273,-8.18181818181818,0.00977394701761146,0,0.409999855810983,0.138755980861244
"14","Hurme et al_2020_Masking_Red",0.537272727272727,0.2329,0.376545454545455,0.696727272727273,-6.77272727272727,0.3106,-18,5.22727272727273,0.95562838419481,0,0.220922191945556,0
"15","Hurme et al_2020_TMS_Blue",0.4924,0.4718,0.3158,0.6864,10.8,0.3842,-5.65,32.2,4.17932596579305,0,0.339165226974911,0.0526315789473684
"16","Hurme et al_2020_TMS_Red",0.5368,0.2271,0.3388,0.7392,12.7,0.292,-3.85,32.35,1.05703959881766,0,0.443382814476546,0.157894736842105
"17","Noel et al._2020_A",0.483642857142857,0.5402,0.374214285714286,0.595571428571429,5.60964285714285,0.1644,-1.76303571428571,13.264125,4.73248247176854,0,0.20889785883397,0.0601503759398496
"18","Noel et al._2020_AV",0.649928571428571,4e-04,0.5375,0.759642857142857,14.5435714285714,0.0012,6.01748660714285,23.61,4.19410969610365e-06,0.129027837890116,0.473865508479647,0.285714285714286
"19","Noel et al._2020_V",0.589785714285714,0.0139,0.496498214285714,0.682714285714286,7.67678571428573,0.0408,0.862316964285718,15.7139508928572,0.14985070565279,0.000911477425072002,0.25241628726471,0.0977443609022556
"20","Skora et al_2020_1",0.390378378378378,0.9761,0.302972972972973,0.480756756756757,-0.00579099861864874,0.839,-0.0607926979748198,0.049510895556409,-99999,0,0.123478494418657,0.0042674253200569
"21","Skora et al_2020_2",0.528842105263158,0.3236,0.357789473684211,0.69652894736842,-0.0986421425155336,0.332,-0.287640982535905,0.0894214786751746,-99999,0,0.310023077976048,0.113573407202216
"22","Stein & van Peelen_2020_3_LOC_1",0.463297297297297,0.7179,0.368917567567568,0.559783783783784,-0.108101530163478,0.1218,-0.237743766845408,0.0262953262323351,-99999,0,0.123478494418657,0.0042674253200569
"23","Stein & van Peelen_2020_3_LOC_2",0.471567567567568,0.7541,0.383135135135135,0.56172972972973,-0.200620997979983,0.00299999999999989,-0.323491167055488,-0.0776092468681218,-99999,0,0.0972067101862952,0
"24","Stein & van Peelen_2020_3_PAS_1",0.454594594594595,0.8924,0.372054054054054,0.538595945945946,-0.0164774917440117,0.7992,-0.143567880231083,0.106265379653512,-99999,0,0.0758076516829646,0
"25","Stein & van Peelen_2020_3_PAS_2",0.529783783783784,0.2256,0.444972972972973,0.614540540540541,-0.251523531021853,0.000199999999999978,-0.379972833066523,-0.126853659197172,-99999,0,0.153498785144557,0.0327169274537696
