"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Benthien & Hesselmann_2021",0.559307692307692,0.1887,0.459076923076923,0.659692307692308,0.275789011201484,0.9418,-7.48719997222499,7.69123454232931,-99999,0,0.139692234292342,0
"2","Biderman & Mudrik_2018_1",0.502622222222222,0.3409,0.424133333333333,0.580977777777778,-6.90797551595022,0.5622,-30.1015784248015,16.181564684336,54.6777754488812,0,0.0630493016740546,0
"3","Biderman & Mudrik_2018_2",0.531288888888889,0.2199,0.443644444444444,0.617734444444444,11.9741329141485,0.2398,-7.40214315538003,31.4859318761075,42.0697668216161,0,0.079117442145712,0
"4","Biderman & Mudrik_2018_3",0.569244444444444,0.0253,0.4852,0.65049,15.4273693190503,0.197,-7.38847263937019,38.2624428841742,20.9944958924129,0,0.079117442145712,0
"5","Chien_et_al._2022_2A",0.534583333333333,0.262,0.403916666666667,0.661666666666667,18.9351503192625,0.0128,5.41243240258659,33.4327372607626,0.16431334766306,0,0.245595524690231,0.0789473684210526
"6","Chien_et_al._2022_2B",0.571826086956522,0.0895,0.450608695652174,0.686782608695652,-9.01573346295107,0.1822,-21.0865960927346,4.17755028337858,8.72923458409601,0,0.117346156154949,0
"7","Chien_et_al._2022_2C",0.429181818181818,0.9126,0.319,0.541363636363636,4.32489653946498,0.455,-6.44212046379046,14.8022643117494,38.5522630617255,0,0.122123388906523,0
"8","Faivre et al._1_cong",0.522235294117647,0.3512,0.438235294117647,0.605058823529412,0.0497063222468384,0.0502,0.0038162479014117,0.0926747386743137,2.61344842297142,0,0.153317553957278,0
"9","Faivre et al._1_incong",0.521294117647059,0.359,0.396117647058824,0.646235294117647,-0.0258723524483907,0.3814,-0.0776434938693738,0.0292428801467454,3.68402292503972,0,0.277461497257911,0.0712074303405573
"10","Faivre et al._2_cong",0.379090909090909,0.9897,0.273272727272727,0.493093181818181,-0.0159298783479187,0.2672,-0.0438118641221933,0.0114064747872809,9.73396826909459,0,0.122123388906523,0
"11","Faivre et al._2_incong",0.414090909090909,0.9103,0.303090909090909,0.531002272727272,0.0402242606275095,0.0364,0.00641975337807448,0.074469732011847,3.97276576414166,0,0.122123388906523,0
"12","Faivre et al._3_cong",0.488095238095238,0.5672,0.375714285714286,0.604952380952381,0.0657622974103513,0.027,0.0120261448326962,0.127269573960617,0.998936516116076,0,0.127305431654839,0
"13","Faivre et al._3_incong",0.568095238095238,0.1512,0.465904761904762,0.668095238095238,-0.0321708485514202,0.2684,-0.0839352784835864,0.0215778110160794,1.55441280440275,0,0.172720766001974,0
"14","Faivre et al._4_cong",0.491818181818182,0.5874,0.350090909090909,0.636454545454545,-0.0222517430103365,0.4168,-0.0753192272217713,0.0261360861758431,2.04842917780833,0,0.268329023178601,0.0909090909090909
