"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","Benthien & Hesselmann_2021",0.559307692307692,0.1887,0.459076923076923,0.659692307692308,0.275789011201484,0.9418,-7.48719997222499,7.69123454232931,-99999,0,0.139692234292342,0
"2","Biderman & Mudrik_2018_1",0.504888888888889,0.525,0.425733333333333,0.584178888888889,-6.90797551595022,0.5684,-30.2914779436962,16.4574385030398,56.8047229180454,0,0.0630493016740546,0
"3","Biderman & Mudrik_2018_2",0.533822222222222,0.235,0.445466666666667,0.620844444444444,11.9741329141485,0.2408,-7.26591742045834,31.3931226925044,42.6208218947463,0,0.079117442145712,0
"4","Biderman & Mudrik_2018_3",0.566666666666667,0.0906,0.4824,0.649733333333333,15.4273693190503,0.2006,-7.36574608690529,38.391291098473,21.162173778424,0,0.079117442145712,0
"5","Faivre et al._1_cong",0.52,0.4226,0.437058823529412,0.601647058823529,0.0497063222468384,0.0472,0.00430024340509804,0.0928721549141329,2.76534908400302,0,0.153317553957278,0
"6","Faivre et al._1_incong",0.522470588235294,0.2345,0.400235294117647,0.646,-0.0258723524483907,0.3656,-0.0776553113637366,0.029209559522656,2.97265147118198,0,0.277461497257911,0.0712074303405573
"7","Faivre et al._2_cong",0.386818181818182,0.9872,0.281181818181818,0.500545454545455,-0.0159298783479187,0.2838,-0.0439193133855886,0.0113234505108698,10.0217811610414,0,0.122123388906523,0
"8","Faivre et al._2_incong",0.421,0.9226,0.311727272727273,0.536909090909091,0.0402242606275095,0.0376,0.00621209909330313,0.0745293959071315,3.94394217499051,0,0.122123388906523,0
"9","Faivre et al._3_cong",0.486571428571429,0.5815,0.373904761904762,0.603335714285714,0.0657622974103513,0.0334,0.0120792623221147,0.127583949888526,0.860651828039183,0,0.127305431654839,0
"10","Faivre et al._3_incong",0.563428571428571,0.2195,0.460666666666667,0.665238095238095,-0.0321708485514202,0.2494,-0.0839004328696495,0.0214380952635254,1.61075306150299,0,0.172720766001974,0
"11","Faivre et al._4_cong",0.482363636363636,0.6531,0.337088636363637,0.628,-0.0222517430103365,0.4328,-0.0750046137999771,0.0263382826869889,2.07446250448591,0,0.268329023178601,0.0909090909090909
"12","Faivre et al._4_incong",0.507727272727273,0.5453,0.397454545454545,0.618636363636364,-0.000836684452011046,0.953,-0.0315340642671896,0.0313634285725128,16.1311650431596,0,0.165009050146206,0
"13","Hurme et al_2020_Masking_Blue",0.706,0.0049,0.560727272727273,0.848,-28.9606375930759,0.002,-42.1159188933698,-15.946407894394,0.0104912194977062,0,0.409999855810983,0.138755980861244
"14","Hurme et al_2020_Masking_Red",0.547272727272727,0.217,0.363818181818182,0.723454545454545,-12.9115662792315,0.1028,-25.7946151706426,0.737717575447422,0.919252195657894,0,0.220922191945556,0
"15","Hurme et al_2020_TMS_Blue",0.6366,0.1102,0.5046,0.7724,6.530797340099,0.399,-6.7525644840745,20.0432492662224,4.18308147837781,0,0.339165226974911,0.0526315789473684
"16","Hurme et al_2020_TMS_Red",0.6678,0.0301,0.5266,0.81,7.25322149531879,0.5458,-12.5899470278953,28.798736503009,1.27165890182185,0,0.443382814476546,0.157894736842105
"17","Noel et al._2020_A",0.504428571428571,0.492,0.392071428571429,0.618214285714286,7.04589927259469,0.0512,0.481454328449602,13.7085388396147,5.22226239394878,0,0.20889785883397,0.0601503759398496
"18","Noel et al._2020_AV",0.651714285714286,5e-04,0.527569642857143,0.769142857142857,19.2009427284695,0.0016,7.92190431476598,31.6023871671385,4.30006342748746e-06,0.129027837890116,0.473865508479647,0.285714285714286
"19","Noel et al._2020_V",0.600714285714286,0.0467,0.496357142857143,0.7035,12.6761499523702,0.0014,5.87305754253961,20.2491066283668,0.149692955806656,0.000911477425072002,0.25241628726471,0.0977443609022556
"20","Skora et al_2020_1",0.396216216216216,0.9745,0.308918918918919,0.486594594594595,-0.00579099861864874,0.822,-0.0606822652256293,0.049494932315389,-99999,0,0.123478494418657,0.0042674253200569
"21","Skora et al_2020_2",0.527368421052632,0.1822,0.358105263157895,0.695473684210526,-0.0986421425155336,0.3372,-0.288620416419687,0.0879813122085277,-99999,0,0.310023077976048,0.113573407202216
"22","Stein & van Peelen_2020_3_LOC_1",0.470216216216216,0.7877,0.379135135135135,0.56427027027027,-0.108101530163478,0.12,-0.238631986617824,0.026159961864891,-99999,0,0.123478494418657,0.0042674253200569
"23","Stein & van Peelen_2020_3_LOC_2",0.469783783783784,0.7037,0.382322972972973,0.559135135135135,-0.200620997979983,0.00419999999999998,-0.323922465680696,-0.0771199984361058,-99999,0,0.0972067101862952,0
"24","Stein & van Peelen_2020_3_PAS_1",0.454540540540541,0.8422,0.373243243243243,0.537351351351351,-0.0164774917440117,0.8024,-0.142444966538206,0.105778977090925,-99999,0,0.0758076516829646,0
"25","Stein & van Peelen_2020_3_PAS_2",0.528486486486486,0.2553,0.445783783783784,0.612054054054054,-0.251523531021853,0,-0.380160487430518,-0.126457134867094,-99999,0,0.153498785144557,0.0327169274537696
"26","Stein & van Peelen_2020_4b_1",0.581411764705882,0.1501,0.474588235294118,0.687882352941177,-0.131693204731876,0.2986,-0.368826033376928,0.0799619709559452,-99999,0,0.277461497257911,0.0712074303405573
"27","Zerweck et al_2021_2_20",0.431,0.9103,0.3189,0.5492,-2.60660166666667,0.5472,-10.6747455208333,5.59376694270831,7.74995995322975,0,0.181131699780963,0
"28","Zerweck et al_2021_2_29",0.4953,0.4825,0.3709,0.6188,4.69020708333334,0.3654,-5.17929582812499,14.6037675104167,4.14831195185014,0,0.132945911026523,0
"29","Zerweck et al_2021_2_39",0.4817,0.5062,0.3607,0.605602499999999,1.80896666666666,0.7518,-8.29189032812501,12.8598915729167,5.38108244255768,0,0.236809400650052,0.0526315789473684
"30","Zerweck et al_2021_3_Duration_10",0.362461538461538,0.9746,0.249692307692308,0.484307692307692,-0.792982211538476,0.6674,-4.24335813551683,2.67091360426683,58.0604292979274,0,0.192636175650135,0
"31","Zerweck et al_2021_3_Duration_20",0.568181818181818,0.1972,0.364363636363636,0.752909090909091,-6.62160980113634,0.1412,-14.2350787642045,1.00959758522729,4.12324624150281,0,0.31305754870395,0.0430622009569378
"32","Zerweck et al_2021_3_Duration_30",0.5005,0.5714,0.3661625,0.637666666666667,-1.41010921703409,0.6746,-7.09545891927085,4.80248655950973,21.568807280588,0,0.205816665186551,0
"33","Zerweck et al_2021_3_Duration_40",0.6232,0.0298,0.449733333333333,0.789333333333333,11.8311587011466,0.0058,5.00848079539121,18.7740391914466,0.00534237079388013,0.0963763748186194,0.551065855812497,0.298245614035088
