"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","1a_Variable_Heterogenous_3",0.527416666666667,0.3178,0.426416666666667,0.631583333333333,0.00994446873664861,0.0924,-0.000922665993372581,0.0207408094157778,7.62290689268037,0,0.196804362497369,0.0350877192982456
"2","1a_Variable_Heterogenous_4",0.44175,0.9413,0.334416666666667,0.555833333333333,-0.0112209816773733,0.218,-0.0277932627747456,0.00483794882893562,19.2863892602355,0,0.245595524690231,0.0789473684210526
"3","1a_Variable_Heterogenous_5",0.663,0.0018,0.563914583333333,0.754666666666667,-0.0203617413838709,0.1172,-0.0429409990708021,0.00374409643312165,0.239295965275761,0,0.245595524690231,0.0789473684210526
"4","1a_Variable_Heterogenous_6",0.54625,0.1628,0.451916666666667,0.641833333333333,0.0119271924098324,0.2656,-0.00913404822349715,0.0313586441179104,17.1366478473581,0,0.196804362497369,0.0350877192982456
"5","1d_Constant_Homogenous_3",0.6055,0.0152,0.485,0.725583333333333,-0.015856092174848,0,-0.0226014823963246,-0.00976846913496654,7.19846963416996e-08,0.163826020346997,0.545676058646036,0.342105263157895
"6","1d_Constant_Homogenous_4",0.524666666666667,0.3314,0.41,0.639916666666667,-0.0125346332788468,0.000599999999999934,-0.0193578189859787,-0.00649194034437344,19.6361317685453,0,0.196804362497369,0.0350877192982456
"7","1d_Constant_Homogenous_5",0.58175,0.0939,0.480583333333333,0.679583333333333,-0.00201974809169765,0.6582,-0.0109133159120877,0.00612985069553061,11.0651650012806,0,0.151369229889393,0
"8","1d_Constant_Homogenous_6",0.580416666666667,0.0764,0.4725,0.688833333333333,0.00896254678567252,0.0492,0.000934369737903324,0.0175882621357838,6.37953184516573,0,0.196804362497369,0.0350877192982456
"9","2a_Variable_Heterogeneous",0.51225,0.3233,0.40833125,0.619583333333333,0.0127580414215729,0.2634,-0.00650285209218627,0.0342986253400641,3.53282212177086,0,0.196804362497369,0.0350877192982456
"10","2b_Constant_Homogeneous",0.539818181818182,0.1993,0.433636363636364,0.645002272727272,-0.00389780781485808,0.6184,-0.0189084090969778,0.00982906533913206,17.0508416164981,0,0.165009050146206,0
"11","3b_Grouped_Constant",0.535666666666667,0.2782,0.4165,0.657083333333333,0.00483260552088438,0.5234,-0.00920820422470555,0.0163817692548036,11.0995703738249,0,0.245595524690231,0.0789473684210526
"12","Estes_colleagues_RT",0.560909090909091,0.1065,0.448454545454545,0.674818181818182,5.04545454545455,0.5204,-9.65909090909091,20.0227272727273,3.88142665157956,0,0.268329023178601,0.0909090909090909
"13","Forti_Humphreys_0",0.693666666666667,0.2747,0.547333333333333,0.829555555555556,0.111111111111111,0.5068,0,0.277777777777778,-99999,0,0.200454419074308,0.00584795321637426
"14","Forti_Humphreys_1",0.75,0.52,0.602555555555556,0.882444444444444,0,0,0,0,-99999,0,0.262616570242638,0.064327485380117
"15","Janssen_colleagues",0.49556043956044,0.3417,0.44432967032967,0.547516483516484,4.30769230769231,0.5184,-8.12087912087912,17.1703296703297,95.5627288406914,0,0.0512524191915094,0
"16","jasifi_resp_1",0.634489795918367,0,0.541836734693877,0.723919387755102,-0.0130712519945455,0.6512,-0.0671867642092836,0.0452943530197224,-99999,0.0784564094090256,0.317767925205865,0.183673469387755
"17","jasifi_resp_2",0.603551020408163,2e-04,0.515428571428571,0.689795918367347,-0.0352856213020116,0.1492,-0.0806789195614969,0.0105179652237373,-99999,0.0619626113161966,0.293462793661901,0.16219119226638
"18","jasifi_rt_1",0.600612244897959,0.0018,0.503428571428571,0.697061224489796,-0.0891249100371259,0.00099999999999989,-0.142092701878561,-0.0409348051974482,-99999,0.112603609708613,0.365233883532986,0.226638023630505
"19","jasifi_rt_2",0.666204081632653,0,0.583102040816327,0.746979591836735,0.0282876567363883,0.2074,-0.0139195202819707,0.0698073398930014,-99999,0.045935095079381,0.268675483858157,0.140708915145005
"20","Mirman_Magnuson",0.5868,0.0225,0.495866666666667,0.677066666666667,13.5333333333333,0.0314,1.58333333333333,24.9166666666667,11.8005819376667,0,0.155430994586976,0.0175438596491228
"21","PTKE_Truth_Rep",0.526082397003745,0,0.490404494382022,0.562037453183521,0.48689138576779,0,0.378277153558052,0.595505617977528,2.13347133591922e-72,0.139320939170094,0.245462792812484,0.189672293942403
"22","Roelofs_pic",0.481448275862069,0.6773,0.402413793103448,0.56248275862069,-8.72413793103448,0.3056,-24.4827586206897,7.44827586206897,1.89131884441168,0,0.125039562567444,0
"23","Roelofs_word",0.411448275862069,0.9648,0.333172413793103,0.49551724137931,9.1551724137931,0.145,-1.87931034482759,21.5689655172414,6.10219506450576,0,0.125039562567444,0
"24","Yap_colleagues_CleanProc",0.970929577464789,0,0.943605633802817,0.992281690140845,202.140845070423,0,175.443661971831,229.93661971831,0,0.866695723289345,0.981399074443268,0.940696812453669
"25","Yap_colleagues_DegradedProc",0.887042253521127,0,0.83656338028169,0.931521126760563,280.077464788732,0,228.5,333.901936619718,2.70022094828683e-301,0.619716267585439,0.828473910669999,0.733135656041512
