"","exp","non_directional.statistic","non_directional.p","non_directional.ci_low","non_directional.ci_high","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"1","1a_Variable_Heterogenous_3",0.622083333333333,0.0207,0.520916666666667,0.714416666666667,0.0101929028488611,0.0838,-0.00077738735395181,0.0207642894952247,7.62290689268037,0,0.196804362497369,0.0350877192982456
"2","1a_Variable_Heterogenous_4",0.4455,0.8942,0.321916666666667,0.575,-0.00555763124003413,0.4544,-0.019744616008007,0.00746671763979737,19.2863892602355,0,0.245595524690231,0.0789473684210526
"3","1a_Variable_Heterogenous_5",0.673083333333333,5e-04,0.572333333333333,0.7695,-0.0150441610446931,0.123,-0.0317104103774344,0.00297183185191319,0.239295965275761,0,0.245595524690231,0.0789473684210526
"4","1a_Variable_Heterogenous_6",0.600916666666667,0.0327,0.491833333333333,0.707666666666667,0.000164443092126066,0.9676,-0.0160378070470392,0.016354713668644,17.1366478473581,0,0.196804362497369,0.0350877192982456
"5","1d_Constant_Homogenous_3",0.61075,0.014,0.455247916666667,0.761,-0.0217375743099854,0,-0.030913590086863,-0.0132818573259743,7.19846963416996e-08,0.163826020346997,0.545676058646036,0.342105263157895
"6","1d_Constant_Homogenous_4",0.4065,0.9393,0.296,0.521166666666667,-0.00857004357357728,0.004,-0.0144799277309704,-0.00304259664842596,19.6361317685453,0,0.196804362497369,0.0350877192982456
"7","1d_Constant_Homogenous_5",0.54825,0.1446,0.434833333333333,0.659083333333333,-0.00474731587397753,0.2908,-0.0133119749242969,0.00352409618481166,11.0651650012806,0,0.151369229889393,0
"8","1d_Constant_Homogenous_6",0.593416666666667,0.0707,0.4805,0.703333333333333,0.006315175508915,0.1932,-0.00282426656549382,0.0152783275346048,6.37953184516573,0,0.196804362497369,0.0350877192982456
"9","2a_Variable_Heterogeneous",0.49125,0.4798,0.3665,0.617335416666666,0.0157085973855604,0.0342,0.00260889256296131,0.0296241982922892,3.53282212177086,0,0.196804362497369,0.0350877192982456
"10","2b_Constant_Homogeneous",0.461636363636364,0.6974,0.332272727272727,0.591272727272727,0.000632567781625596,0.9246,-0.0120305105374765,0.0130326794271682,17.0508416164981,0,0.165009050146206,0
"11","3b_Grouped_Constant",0.5465,0.3488,0.42525,0.667666666666667,0.00894727182117951,0.1306,-0.00199758318701174,0.0196622526115692,11.0995703738249,0,0.245595524690231,0.0789473684210526
"12","Estes_colleagues_RT",0.587363636363636,0.0583,0.457909090909091,0.715545454545455,0.229526507974774,0.9646,-11.7880505629428,12.4729780420729,3.88142665157956,0,0.268329023178601,0.0909090909090909
"13","Forti_Humphreys_0",0.425222222222222,0.8504,0.3,0.556447222222222,0.028386825900796,0.1052,-0.0012747775688847,0.0619008542920118,-99999,0,0.200454419074308,0.00584795321637426
"14","Forti_Humphreys_1",0.518777777777778,0.3965,0.382444444444444,0.656777777777778,0.0554772549198961,0.0012,0.028780187306531,0.083797288944854,-99999,0,0.262616570242638,0.064327485380117
"15","Janssen_colleagues",0.493846153846154,0.3464,0.437274725274725,0.550044505494505,-1.6260989010989,0.8094,-14.0840796703297,10.6928571428571,95.5627288406914,0,0.0512524191915094,0
"16","jasifi_resp_1",0.634489795918367,0,0.541836734693877,0.723919387755102,-0.0130712519945455,0.6512,-0.0671867642092836,0.0452943530197224,-99999,0.0784564094090256,0.317767925205865,0.183673469387755
"17","jasifi_resp_2",0.603551020408163,2e-04,0.515428571428571,0.689795918367347,-0.0352856213020116,0.1492,-0.0806789195614969,0.0105179652237373,-99999,0.0619626113161966,0.293462793661901,0.16219119226638
"18","jasifi_rt_1",0.600612244897959,0.0018,0.503428571428571,0.697061224489796,-0.0891249100371259,0.00099999999999989,-0.142092701878561,-0.0409348051974482,-99999,0.112603609708613,0.365233883532986,0.226638023630505
"19","jasifi_rt_2",0.666204081632653,0,0.583102040816327,0.746979591836735,0.0282876567363883,0.2074,-0.0139195202819707,0.0698073398930014,-99999,0.045935095079381,0.268675483858157,0.140708915145005
"20","Mirman_Magnuson",0.5654,0.1201,0.457466666666667,0.670335,3.9965123816159,0.767,-21.2616138288397,25.5184577821409,11.8005819376667,0,0.155430994586976,0.0175438596491228
"21","PTKE_Truth_Rep",0.552943820224719,0,0.512846441947566,0.593805243445693,0.391385767790262,0,0.311610486891386,0.473408239700375,2.13347133591922e-72,0.139320939170094,0.245462792812484,0.189672293942403
"22","Roelofs_pic",0.554758620689655,0.1791,0.450343103448276,0.657172413793103,-7.06725944847542,0.6544,-35.4835503181704,22.3230824554486,1.89131884441168,0,0.125039562567444,0
"23","Roelofs_word",0.474137931034483,0.6706,0.367931034482759,0.583172413793103,4.54017215596163,0.5922,-10.4995591341202,20.6928309015423,6.10219506450576,0,0.125039562567444,0
"24","Yap_colleagues_CleanProc",0.966816901408451,0,0.932197183098592,0.992591549295775,215.510859924431,0,190.008247231127,242.150534191052,0,0.866695723289345,0.981399074443268,0.940696812453669
"25","Yap_colleagues_DegradedProc",0.92030985915493,0,0.872507042253521,0.960816901408451,271.031940005596,0,224.210325053879,320.046766526632,2.70022094828683e-301,0.619716267585439,0.828473910669999,0.733135656041512
